"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"UK000003005","1931","60.1331","-1.1831","82.0","LERWICK, UK","      0.0","","       0.0","G","","","","","","","","","         0","G","        67","G","         4","G","         1","G","         0","G","   -7.8","G,0304,+","","","","","   21.1","G,0708, ","-1.7","G,1020","-2.2","G,1228","-4.4","G,1229","","","-0.6","G,0605","-2.2","G,0328","-6.1","G,0314","-7.8","G,0304","","","","","","","","","      6.61","G","      9.12","G","      4.10","G"
"UK000003005","1932","60.1331","-1.1831","82.0","LERWICK, UK","      0.0","","       0.0","G","","","","","","","","","         0","G","        48","G","         0","G","         0","G","         0","G","   -5.6","G,0108, ","","","","","   17.2","G,0812, ","-0.6","G,1025","","","","","","","0.0","G,0426","-2.8","G,0412","-5.6","G,0108","","","","","    3977.8","8","    3977.8","G","","","      7.14","G","      9.71","G","      4.57","G"
"UK000003005","1933","60.1331","-1.1831","82.0","LERWICK, UK","      0.0","","       0.0","G","","","","","","","","","         0","G","        34","G","         0","G","         0","G","         0","G","   -5.6","G,0223, ","","","","","   18.9","G,0719,+","0.0","G,1025","","","","","","","-1.1","G,0418","-3.3","G,0414","-5.6","G,0223","","","","","    3988.5","5","    3988.5","G","","","      7.86","G","     10.25","G","      5.47","G"
"UK000003005","1934","60.1331","-1.1831","82.0","LERWICK, UK","","","","","","","","","","","","","         0","G","        29","G","         0","G","         0","G","         0","G","   -5.6","G,0226, ","","","","","   18.9","G,0723, ","-2.2","G,1031","-2.2","G,1031","","","","","-2.2","G,0516","-2.2","G,0516","-5.6","G,0226","","","","","","","","","","","      7.85","G","     10.22","G","      5.47","G"
"UK000003005","1935","60.1331","-1.1831","82.0","LERWICK, UK","","","","","","","","","","","","","         0","G","        50","G","         2","G","         0","G","         0","G","   -6.7","G,0225, ","","","","","   19.4","G,0820, ","0.0","G,1020","-2.2","G,1223","","","","","-1.1","G,0517","-2.2","G,0516","-6.7","G,0225","-6.7","G,0225","","","","","","","","","      7.20","G","      9.49","G","      4.92","G"
"UK000003005","1936","60.1331","-1.1831","82.0","LERWICK, UK","      0.0","","       0.0","G","","","","","","","","","         0","G","        55","G","         2","G","         2","G","         0","G","   -6.1","G,0205, ","","","","","   22.2","G,0623, ","0.0","G,1113","-3.3","G,1205","","","","","-2.2","G,0423","-2.2","G,0423","-4.4","G,0403","","","","","    4078.6","6","    4078.6","G","","","      7.31","G","      9.80","G","      4.81","G"
"UK000003005","1937","60.1331","-1.1831","82.0","LERWICK, UK","      0.0","","       0.0","G","","","","","","","","","         0","G","        65","G","         3","G","         0","G","         0","G","   -7.8","G,0312, ","","","","","   16.7","G,0828,+","-1.1","G,1112","-3.9","G,1211","-6.1","G,1214","","","0.0","G,0329","-7.2","G,0322","-7.2","G,0322","-7.2","G,0322","","","    3832.4","4","    3832.4","G","","","      6.97","G","      9.28","G","      4.66","G"
"UK000003005","1938","60.1331","-1.1831","82.0","LERWICK, UK","      0.0","","       0.0","G","","","","","","","","","         0","G","        34","G","         0","G","         0","G","         0","G","   -6.7","G,1222, ","","","","","   20.6","G,0810, ","0.0","G,1109","-3.9","G,1221","-6.7","G,1222","-6.7","G,1222","0.0","G,0511","-3.9","G,0417","","","","","","","    3789.3","3","    3789.3","G","","","      7.61","G","      9.98","G","      5.25","G"
"UK000003005","1939","60.1331","-1.1831","82.0","LERWICK, UK","      0.0","","       0.0","G","","","","","","","","","         0","G","        45","G","         2","G","         1","G","         0","G","   -3.3","G,1229,+","","","","","   22.8","G,0606, ","0.0","G,1026","-2.2","G,1125","","","","","-0.6","G,0429","-2.8","G,0424","","","","","","","    3850.2","2","    3850.2","G","","","      7.35","G","      9.77","G","      4.94","G"
"UK000003005","1940","60.1331","-1.1831","82.0","LERWICK, UK","      0.0","","       0.0","G","","","","","","","","","         0","G","        65","G","         0","G","         0","G","         0","G","   -7.2","G,0117, ","","","","","   20.0","G,0604, ","0.0","G,1107","-4.4","G,1108","-4.4","G,1108","","","0.0","G,0512","-2.8","G,0329","-6.1","G,0314","-7.2","G,0117","","","    3971.2","2","    3971.2","G","","","      6.63","G","      9.06","G","      4.20","G"
"UK000003005","1941","60.1331","-1.1831","82.0","LERWICK, UK","      0.0","","       0.0","G","","","","","","","","","         0","G","        70","G","         3","G","         0","G","         0","G","   -6.1","G,0116, ","","","","","   20.0","G,0623, ","-1.7","G,1029","-3.3","G,1227","-4.4","G,1228","","","-0.6","G,0516","-2.2","G,0408","-5.0","G,0331","","","","","    4348.5","5","    4348.5","G","","","      6.81","G","      9.28","G","      4.34","G"
"UK000003005","1942","60.1331","-1.1831","82.0","LERWICK, UK","      0.0","","       0.0","G","","","","","","","","","         0","G","        69","G","         1","G","         0","G","         0","G","   -6.7","G,0126, ","","","","","   17.2","G,0827,+","-0.6","G,1120","-2.8","G,1121","-4.4","G,1201","","","0.0","G,0509","-2.8","G,0328","-5.6","G,0302","-6.7","G,0126","","","    4003.9","9","    4003.9","G","","","      6.79","G","      9.08","G","      4.50","G"
"UK000003005","1943","60.1331","-1.1831","82.0","LERWICK, UK","      0.0","","       0.0","G","","","","","","","","","         0","G","        34","G","         0","G","         0","G","         0","G","   -4.4","G,0104, ","","","","","   17.8","G,0727, ","-1.1","G,1116","-2.2","G,1231","","","","","-1.7","G,0408","-2.8","G,0407","-4.4","G,0104","","","","","    3788.1","1","    3788.1","G","","","      7.76","G","     10.06","G","      5.45","G"
"UK000003005","1944","60.1331","-1.1831","82.0","LERWICK, UK","      0.0","","       0.0","G","","","","","","","","","         0","G","        51","G","         1","G","         0","G","         0","G","   -5.0","G,0110, ","","","","","   17.8","G,0818, ","0.0","G,1107","-2.8","G,1231","","","","","-1.1","G,0402","-2.8","G,0331","-4.4","G,0228","","","","","    3888.4","4","    3888.4","G","","","      7.08","G","      9.33","G","      4.83","G"
"UK000003005","1945","60.1331","-1.1831","82.0","LERWICK, UK","      0.0","","       0.0","G","","","","","","","","","         0","G","        42","G","         3","G","         0","G","         0","G","   -5.6","G,0120, ","","","","","   18.9","G,0815, ","-1.7","G,1211","-2.2","G,1212","","","","","-0.6","G,0430","-3.9","G,0203","-4.4","G,0130","","","","","    3966.4","4","    3966.4","G","","","      7.86","G","     10.18","G","      5.55","G"
"UK000003005","1946","60.1331","-1.1831","82.0","LERWICK, UK","      0.0","","       0.0","G","       225","I","       142","I","         1","I","","","         0","G","        33","G","         5","G","         0","G","         0","G","   -6.1","G,0226, ","","","  35.0"," ,I,0713, ","   16.7","G,0808,+","-2.8","G,1114","-2.8","G,1114","","","","","0.0","G,0425","-2.8","G,0315","-5.0","G,0302","","","","","    3752.6","6","    3752.6","G","   1162.0"," ,I","      7.62","G","      9.90","G","      5.34","G"
"UK000003005","1947","60.1331","-1.1831","82.0","LERWICK, UK","      0.0","","       0.0","G","       201","I","       117","I","         0","I","","","         0","G","        85","G","         7","G","         0","G","         0","G","   -8.3","G,0314,+","","","  22.0"," ,I,0922, ","   20.6","G,0813,+","0.0","G,1017","-2.2","G,1116","","","","","-0.6","G,0409","-2.2","G,0405","-5.6","G,0316","-8.3","G,0314","","","    4102.6","6","    4102.6","G","    862.0"," ,I","      7.03","G","      9.45","G","      4.60","G"
"UK000003005","1948","60.1331","-1.1831","82.0","LERWICK, UK","      0.0","","       0.0","G","       220","I","       124","I","         1","I","","","         0","G","        36","G","         1","G","         0","G","         0","G","   -5.0","G,0116, ","","","  33.0"," ,I,0901, ","   20.6","G,0731, ","-1.1","G,1024","-3.3","G,1027","","","","","-0.6","G,0525","-2.8","G,0429","-5.0","G,0116","","","","","    3805.0","0","    3805.0","G","   1139.0"," ,I","      7.21","G","      9.56","G","      4.85","G"
"UK000003005","1949","60.1331","-1.1831","82.0","LERWICK, UK","      0.0","","       0.0","G","       222","I","       138","I","         4","I","","","         0","G","        55","G","         0","G","         0","G","         0","G","   -3.9","G,0103, ","","","  66.0"," ,I,1106, ","   19.4","G,0709, ","0.0","G,1028","-2.2","G,1211","","","","","0.0","G,0508","-3.3","G,0408","","","","","","","    4008.9","9","    4008.9","G","   1108.0"," ,I","      7.54","G","      9.89","G","      5.18","G"
"UK000003005","1950","60.1331","-1.1831","82.0","LERWICK, UK","      0.0","","       0.0","G","       240","I","       140","I","         2","I","","","         0","G","        52","G","         4","G","         0","G","         0","G","   -6.7","G,1213, ","","","  28.0"," ,I,0906,+","   18.9","G,0512, ","0.0","G,1113","-3.9","G,1117","-6.7","G,1213","-6.7","G,1213","-0.6","G,0519","-3.3","G,0314","-5.0","G,0226","","","","","    3790.0","0","    3790.0","G","   1243.0"," ,I","      7.18","G","      9.49","G","      4.88","G"
"UK000003005","1951","60.1331","-1.1831","82.0","LERWICK, UK","      0.0","","       0.0","G","       217","I","       139","I","         2","I","","","         0","G","        69","G","         0","G","         0","G","         0","G","   -7.2","G,0326, ","","","  37.0"," ,I,1230, ","   17.2","G,0801, ","-0.6","G,1022","-2.2","G,1125","","","","","-0.6","G,0611","-5.0","G,0415","-5.0","G,0415","-7.2","G,0326","","","    4253.9","9","    4253.9","G","   1193.0"," ,I","      6.71","G","      9.05","G","      4.38","G"
