"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"UK000003377","1949","53.1658","0.5239","68.0","WADDINGTON, UK","     45.8","","      45.8","G","       111","I","        54","I","         1","I","","","         0","G","        46","G","         1","G","        64","G","         1","G","   -6.1","G,0206, ","","","  30.0"," ,I,0715, ","   32.2","G,0712, ","-0.6","G,1027","-2.2","G,1119","","","","","","","-1.1","G,0409","-2.8","G,0310","-6.1","G,0206","","","","","","","","","    494.0"," ,I","     10.15","G","     14.32","G","      5.98","G"
"UK000003377","1950","53.1658","0.5239","68.0","WADDINGTON, UK","     20.5","","      20.5","G","       144","I","        73","I","         1","I","","","         0","G","        69","G","         4","G","        48","G","         0","G","   -7.2","G,1215, ","","","  27.0"," ,I,0715, ","   30.6","G,0607, ","-1.1","G,1027","-3.3","G,1127","-5.0","G,1204","-7.2","G,1215","","","0.0","G,0427","-3.3","G,0426","-5.0","G,0228","-6.7","G,0130","","","    3018.1","1","    3018.1","G","    653.0"," ,I","      9.08","G","     12.95","G","      5.22","G"
"UK000003377","1951","53.1658","0.5239","68.0","WADDINGTON, UK","      5.0","","       5.0","G","       148","I","        79","I","         3","I","","","         0","G","        60","G","         2","G","        37","G","         0","G","   -5.6","G,1214,+","","","  32.0"," ,I,0830, ","   27.2","G,0803, ","-1.1","G,1023","-3.3","G,1211","-5.6","G,1213","","","","","-1.1","G,0423","-2.2","G,0420","-5.0","G,0131","","","","","    3634.3","3","    3634.3","G","    707.0"," ,I","      8.89","G","     12.73","G","      5.05","G"
"UK000003377","1952","53.1658","0.5239","68.0","WADDINGTON, UK","     21.6","","      21.6","G","       129","I","        61","I","         0","I","","","         0","G","        80","G","         2","G","        51","G","         0","G","   -7.2","G,0127, ","","","  25.0"," ,I,0613, ","   27.8","G,0630, ","0.0","G,1011","-2.8","G,1116","-5.0","G,1125","-6.7","G,1129","","","-1.1","G,0403","-2.2","G,0328","-5.0","G,0227","-6.7","G,0128","","","    3168.3","3","    3168.3","G","    494.0"," ,I","      8.84","G","     12.68","G","      5.00","G"
"UK000003377","1953","53.1658","0.5239","68.0","WADDINGTON, UK","     13.6","","      13.6","G","       112","I","        62","I","         1","I","","","         0","G","        58","G","         0","G","        34","G","         1","G","   -4.4","G,0316,+","",""," 101.0"," ,I,0427, ","   33.3","G,0812, ","-0.6","G,1029","-2.2","G,1221","","","","","","","0.0","G,0426","-2.2","G,0323","-4.4","G,0316","","","","","    3460.3","3","    3460.3","G","    573.0"," ,I","      9.44","G","     13.29","G","      5.59","G"
"UK000003377","1954","53.1658","0.5239","68.0","WADDINGTON, UK","      1.9","","       1.9","G","       163","I","        96","I","         2","I","","","         0","G","        70","G","         8","G","        19","G","         0","G","  -11.1","G,0302,+","","","  27.0"," ,I,1208, ","   27.8","G,0901, ","-2.8","G,1026","-2.8","G,1026","","","","","","","0.0","G,0429","-2.2","G,0407","-4.4","G,0304","-11.1","G,0302","-11.1","G,0302","    3386.7","7","    3386.7","G","    756.0"," ,I","      8.59","G","     12.27","G","      4.91","G"
"UK000003377","1955","53.1658","0.5239","68.0","WADDINGTON, UK","","","","","       117","I","        53","I","         2","I","","","         0","G","        89","G","         7","G","        54","G","         0","G","  -11.7","G,0220,+","","","  37.0"," ,I,0517, ","   27.2","G,0823,+","-1.1","G,1016","-2.2","G,1031","-4.4","G,1220","","","","","0.0","G,0519","-2.2","G,0420","-4.4","G,0331","-6.7","G,0303","-8.9","G,0301","    3601.1","1","    3601.1","G","    536.0"," ,I","      8.81","G","     12.93","G","      4.69","G"
"UK000003377","1956","53.1658","0.5239","68.0","WADDINGTON, UK","","","","","       135","I","        73","I","         2","I","","","         0","G","        69","G","        17","G","        17","G","         0","G","  -15.6","G,0203,+","",""," 100.0"," ,I,0827, ","   24.4","G,0923,+","-2.2","G,1122","-2.2","G,1122","","","","","","","0.0","G,0429","-2.2","G,0315","-5.0","G,0312","-8.9","G,0222","-8.9","G,0222","","","","","    720.0"," ,I","      8.42","G","     12.14","G","      4.69","G"
"UK000003377","1957","53.1658","0.5239","68.0","WADDINGTON, UK","     14.8","","      14.8","G","       147","I","        66","I","         0","I","","","         0","G","        41","G","         0","G","        33","G","         0","G","   -5.0","G,1202, ","","","  23.0"," ,I,0910, ","   30.6","G,0628, ","-1.1","G,1107","-3.3","G,1108","-5.0","G,1202","","","","","-0.6","G,0508","-2.8","G,0222","-4.4","G,0220","","","","","    3149.6","6","    3149.6","G","    557.0"," ,I","      9.53","G","     13.18","G","      5.86","G"
"UK000003377","1958","53.1658","0.5239","68.0","WADDINGTON, UK","      7.3","","       7.3","G","       153","I","        82","I","         1","I","","","         0","G","        71","G","         3","G","        32","G","         0","G","   -8.3","G,0124, ","","","  32.0"," ,I,0810, ","   26.1","G,0709,+","-0.6","G,1114","-3.9","G,1215","","","","","","","-2.2","G,0413","-2.2","G,0413","-5.6","G,0312","-6.7","G,0309","","","    3296.8","8","    3296.8","G","    747.0"," ,I","      8.98","G","     12.57","G","      5.40","G"
