"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"UK000003808","1979","50.2167","-5.3167","88.0","CAMBORNE, UK","      0.0","","       0.0","G","       190","I","       117","I","         6","I","","","         0","G","        22","G","         1","G","         3","G","         0","G","   -6.5","G,0102, ","","","  58.0"," ,I,1227, ","   22.6","G,0726, ","-2.9","G,1222","-2.9","G,1222","","","-1.2","G,0318","-3.9","G,0216","-4.7","G,0215","","","","","","","","","   1203.0"," ,I","      9.76","G","     12.44","G","      7.08","G"
"UK000003808","1980","50.2167","-5.3167","88.0","CAMBORNE, UK","      0.0","","       0.0","G","       183","I","       117","I","         3","I","","","         0","G","        17","G","         0","G","         2","G","         0","G","   -3.8","G,0113, ","","","  40.0"," ,I,1114, ","   23.1","G,0604, ","-1.5","G,1104","","","","","-2.5","G,0322","-2.5","G,0322","","","","","","","    2902.8","8","    2902.8","G","   1080.0"," ,I","     10.13","G","     12.65","G","      7.61","G"
"UK000003808","1981","50.2167","-5.3167","88.0","CAMBORNE, UK","      3.9","","       3.9","G","       184","I","       119","I","         5","I","","","         0","G","        10","G","         0","G","        10","G","         0","G","   -2.1","G,1218, ","","","  39.0"," ,I,1213,+","   25.2","G,0828, ","-0.7","G,1212","","","","","-0.6","G,0221","","","","","","","","","    2826.6","6","    2826.6","G","   1161.0"," ,I","     10.31","G","     12.83","G","      7.78","G"
"UK000003808","1982","50.2167","-5.3167","88.0","CAMBORNE, UK","      0.0","","       0.0","G","       185","I","       123","I","         5","I","","","         0","G","        10","G","         0","G","         7","G","         0","G","   -2.6","G,0112, ","","","  31.0"," ,I,0107, ","   24.3","G,0917, ","-1.4","G,1201","","","","","-0.6","G,0223","-2.6","G,0112","","","","","","","    2768.3","3","    2768.3","G","   1209.0"," ,I","     10.70","G","     13.33","G","      8.06","G"
"UK000003808","1983","50.2167","-5.3167","88.0","CAMBORNE, UK","     33.2","","      33.2","G","       176","I","        99","I","         3","I","","","         0","G","        12","G","         0","G","        29","G","         0","G","   -5.3","G,0214, ","","","  32.0"," ,I,1214, ","   29.3","G,0713, ","-1.1","G,1115","","","","","-1.5","G,0218","-2.8","G,0217","-5.3","G,0214","","","","","    2902.1","1","    2902.1","G","    960.0"," ,I","     10.77","G","     13.30","G","      8.24","G"
"UK000003808","1984","50.2167","-5.3167","88.0","CAMBORNE, UK","     10.4","","      10.4","G","       157","I","       106","I","         4","I","","","         0","G","         9","G","         0","G","        23","G","         0","G","   -1.4","G,0317,+","","","  37.0"," ,I,0522, ","   25.6","G,0819, ","","","","","","","-0.4","G,0402","","","","","","","","","    2761.1","1","    2761.1","G","   1060.0"," ,I","     10.55","G","     13.32","G","      7.78","G"
"UK000003808","1985","50.2167","-5.3167","88.0","CAMBORNE, UK","      1.1","","       1.1","G","       167","I","       101","I","         4","I","","","         0","G","        29","G","         0","G","         6","G","         0","G","   -6.3","G,0114, ","","","  30.0"," ,I,0320, ","   26.5","G,0725, ","-1.4","G,1119","-4.5","G,1228","-4.5","G,1228","-0.2","G,0320","-2.8","G,0118","-5.0","G,0116","","","","","    2823.7","7","    2823.7","G","   1070.0"," ,I","     10.00","G","     12.54","G","      7.45","G"
"UK000003808","1986","50.2167","-5.3167","88.0","CAMBORNE, UK","      1.2","","       1.2","G","       187","I","       123","I","         3","I","","","         0","G","        25","G","         0","G","         4","G","         0","G","   -4.5","G,0227, ","","","  41.0"," ,I,1118, ","   24.6","G,0616, ","","","","","","","0.0","G,0411","-3.2","G,0303","-4.4","G,0228","","","","","    3109.8","8","    3109.8","G","   1211.0"," ,I","      9.44","G","     11.98","G","      6.91","G"
"UK000003808","1987","50.2167","-5.3167","88.0","CAMBORNE, UK","","","","","","","","","","","","","         0","G","        21","G","         1","G","         6","G","         0","G","   -9.4","G,0113, ","","","","","   23.9","G,0705, ","-0.5","G,1208","","","","","-1.3","G,0313","-2.9","G,0221","-5.2","G,0115","-8.5","G,0114","-9.4","G,0113","","","","","","","     10.20","G","     12.69","G","      7.71","G"
"UK000003808","1988","50.2167","-5.3167","88.0","CAMBORNE, UK","      0.3","","       0.3","G","","","","","","","","","         0","G","         2","G","         0","G","         3","G","         0","G","   -1.5","G,1122, ","","","","","   24.3","G,0807, ","-1.5","G,1122","","","","","-0.1","G,0304","","","","","","","","","    2711.1","1","    2711.1","G","","","     10.75","G","     13.13","G","      8.36","G"
