"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"UKE00105630","2003","58.95","-2.9","26.0","KIRKWALL, UK","      0.6","","       0.6","E","","","","","","","","","         0","E","        18","E","         0","E","         3","E","         0","E","   -3.9","E,1230, ","","","","","   24.8","E,0805, ","-0.8","E,1022","-3.9","E,1230","","","-0.4","E,0319","-2.2","E,0131","","","    3377.5","5","    3377.5","E","","","      9.16","E","     11.97","E","      6.34","E"
"UKE00105630","2004","58.95","-2.9","26.0","KIRKWALL, UK","","","","","       251","E","       135","E","         3","E","","","","","","","","","","","","","","","","","  29.2"," ,E,0816, ","","","","","","","","","","","","","","","    3350.4","4","    3350.4","E","   1016.8"," ,E","","","","","",""
"UKE00105630","2005","58.95","-2.9","26.0","KIRKWALL, UK","","","","","       252","E","       126","E","         0","E","","","","","","","","","","","","","","","","","  22.4"," ,E,0913, ","","","","","","","","","","","","","","","","","","","   1049.6"," ,E","","","","","",""
"UKE00105630","2006","58.95","-2.9","26.0","KIRKWALL, UK","      0.0","","       0.0","E","       225","E","       120","E","         3","E","","","         0","E","        19","E","         0","E","         6","E","         0","E","   -5.9","E,0322, ","","","  44.2"," ,E,1026, ","   22.1","E,0721, ","","","","","","","-2.0","E,0408","-2.6","E,0323","-5.9","E,0322","    3500.0","0","    3500.0","E","   1013.6"," ,E","      8.77","E","     11.39","E","      6.14","E"
"UKE00105630","2007","58.95","-2.9","26.0","KIRKWALL, UK","      0.0","","       0.0","E","       228","E","       126","E","         4","E","","","         0","E","        12","E","         0","E","         0","E","         0","E","   -1.4","E,1220, ","","","  35.4"," ,E,0915, ","   21.0","E,0414, ","-0.6","E,1217","","","","","-0.9","E,0321","","","","","    3262.6","6","    3262.6","E","   1088.3"," ,E","      8.61","E","     11.13","E","      6.09","E"
"UKE00105630","2008","58.95","-2.9","26.0","KIRKWALL, UK","","","","","","","","","","","","","         0","E","        22","E","         0","E","         1","E","         0","E","   -4.0","E,0202, ","","","","","   21.6","E,0729, ","-1.1","E,1028","","","","","-0.3","E,0406","-2.2","E,0326","","","","","","","","","      8.42","E","     11.17","E","      5.68","E"
"UKE00105630","2009","58.95","-2.9","26.0","KIRKWALL, UK","      0.0","","       0.0","E","       241","E","       125","E","         2","E","","","         0","E","        30","E","         0","E","         3","E","         0","E","   -4.1","E,0209, ","","","  33.4"," ,E,0903, ","   24.1","E,0701, ","-0.2","E,1201","-3.5","E,1220","","","-1.5","E,0329","-2.6","E,0211","","","","","","","   1045.8"," ,E","      8.79","E","     11.40","E","      6.18","E"
"UKE00105630","2010","58.95","-2.9","26.0","KIRKWALL, UK","      0.0","","       0.0","E","       221","E","       112","E","         0","E","","","         0","E","        57","E","         1","E","         0","E","         0","E","   -5.7","E,1218, ","","","  23.6"," ,E,0922, ","   20.1","E,0627,+","-1.4","E,1126","-4.1","E,1128","-5.0","E,1202","-0.1","E,0512","-3.9","E,0224","","","    3520.8","8","    3520.8","E","    808.9"," ,E","      7.61","E","     10.31","E","      4.90","E"
"UKE00105630","2011","58.95","-2.9","26.0","KIRKWALL, UK","      0.0","","       0.0","E","       236","E","       123","E","         1","E","","","         0","E","        23","E","         0","E","         1","E","         0","E","   -2.9","E,0107, ","","","  43.8"," ,E,0827, ","   22.7","E,0602, ","-1.3","E,1202","","","","","-0.5","E,0328","-2.9","E,0107","","","    3593.8","8","    3593.8","E","   1017.2"," ,E","      8.72","E","     11.40","E","      6.04","E"
"UKE00105630","2012","58.95","-2.9","26.0","KIRKWALL, UK","      0.0","","       0.0","E","       249","E","       131","E","         1","E","        0","","         0","E","        18","E","         0","E","         1","E","         0","E","   -1.7","E,0219, ","     0"," ,E,1231,+","  29.4"," ,E,1222, ","   21.4","E,0525, ","-0.5","E,1130","","","","","-0.2","E,0507","","","","","    3547.1","1","    3547.1","E","   1084.4"," ,E","      7.91","E","     10.59","E","      5.24","E"
