"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"UKE00105672","2001","51.7","-5.15","33.0","DALE FORT, UK","","","","","       153","E","        92","E","         1","E","","","","","","","","","","","","","  44.8"," ,E,0703, ","","","","","","","","","","","","","    849.7"," ,E","","","","","",""
"UKE00105672","2002","51.7","-5.15","33.0","DALE FORT, UK","      0.0","","       0.0","E","       184","E","       114","E","         3","E","         0","E","         6","E","         0","E","        12","E","         0","E","   -2.8","E,0101, ","  37.6"," ,E,1013, ","   23.0","E,0912, ","-1.9","E,1210","-0.6","E,0110","-2.8","E,0101","    2556.1","1","    2556.1","E","   1024.9"," ,E","     10.93","E","     14.01","E","      7.86","E"
"UKE00105672","2003","51.7","-5.15","33.0","DALE FORT, UK","","","","","       137","E","        80","E","         2","E","","","","","","","","","","","","","  36.7"," ,E,0724, ","","","","","","","","","    2692.6","6","    2692.6"," ","    770.3"," ,E","","","","","",""
"UKE00105672","2004","51.7","-5.15","33.0","DALE FORT, UK","","","","","       167","E","        98","E","         5","E","","","","","","","","","","","","","  37.3"," ,E,0816, ","","","","","","","","","","","","","    949.9"," ,E","","","","","",""
"UKE00105672","2010","51.7","-5.15","33.0","DALE FORT, UK","","","","","       151","E","        84","E","         2","E","","","","","","","","","","","","","  31.3"," ,E,0906, ","","","","","","","","","","","","","    798.4"," ,E","","","","","",""
"UKE00105672","2011","51.7","-5.15","33.0","DALE FORT, UK","","","","","       168","E","       101","E","         2","E","","","","","","","","","","","","","  52.3"," ,E,1024, ","","","","","","","","","","","","","    809.7"," ,E","","","","","",""
"UKE00105672","2012","51.7","-5.15","33.0","DALE FORT, UK","","","","","       194","E","       119","E","         5","E","","","","","","","","","","","","","  64.6"," ,E,0804, ","","","","","","","","","","","","","   1156.0"," ,E","","","","","",""
"UKE00105672","2017","51.7","-5.15","33.0","DALE FORT, UK","","","","","       200","E","        97","E","         0","E","","","","","","","","","","","","","  24.4"," ,E,0515, ","","","","","","","","","","","","","    786.2"," ,E","","","","","",""
"UKE00105672","2018","51.7","-5.15","33.0","DALE FORT, UK","","","","","       187","E","        96","E","         4","E","","","","","","","","","","","","","  46.6"," ,E,1106, ","","","","","","","","","","","","","    908.1"," ,E","","","","","",""
"UKE00105672","2019","51.7","-5.15","33.0","DALE FORT, UK","","","","","       189","E","       114","E","         4","E","","","","","","","","","","","","","  46.8"," ,E,1025, ","","","","","","","","","","","","","   1003.6"," ,E","","","","","",""
"UKE00105672","2021","51.7","-5.15","33.0","DALE FORT, UK","","","","","       187","E","       100","E","         1","E","","","","","","","","","","","","","  25.6"," ,E,1029, ","","","","","","","","","","","","","    826.4"," ,E","","","","","",""
