"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"UKE00105856","1960","55.4767","-4.5658","48.0","AUCHINCRUIVE, UK","      3.1","","       3.1","E","","","","","","","         0","E","        61","E","         0","E","        17","E","         0","E","  -10.6","E,0219, ","","","   26.1","E,0622, ","-2.8","E,1013","-2.8","E,1013","-5.0","E,1211","","","","","0.0","E,0416","-2.2","E,0309","-8.9","E,0220","-8.9","E,0220","-8.9","E,0220","","","","","","","      8.90","E","     12.53","E","      5.28","E"
"UKE00105856","1961","55.4767","-4.5658","48.0","AUCHINCRUIVE, UK","      0.5","","       0.5","E","       196","E","       114","E","         3","E","         0","E","        45","E","         3","E","         4","E","         0","E","  -10.6","E,1231, ","  48.3"," ,E,0808, ","   24.4","E,0828, ","-0.6","E,1110","-2.8","E,1111","-5.6","E,1207","-7.2","E,1225","-10.6","E,1231","0.0","E,0408","-2.8","E,0404","-4.4","E,0116","","","","","    3353.5","5","    3353.5","E","   1007.6"," ,E","      8.87","E","     12.09","E","      5.64","E"
"UKE00105856","1962","55.4767","-4.5658","48.0","AUCHINCRUIVE, UK","      0.0","","       0.0","E","       195","E","       106","E","         2","E","         0","E","        63","E","         0","E","         4","E","         0","E","  -11.7","E,0101, ","  31.8"," ,E,0911, ","   24.4","E,0708, ","0.0","E,1027","-2.2","E,1118","-5.0","E,1227","","","","","-0.6","E,0526","-2.2","E,0328","-5.0","E,0315","-6.7","E,0304","-10.6","E,0102","    3626.8","8","    3626.8","E","    954.8"," ,E","      8.11","E","     11.44","E","      4.78","E"
"UKE00105856","1963","55.4767","-4.5658","48.0","AUCHINCRUIVE, UK","","","","","       192","E","        98","E","         0","E","         0","E","        85","E","","","","","","","   -9.4","E,0113, ","  24.4"," ,E,1112, ","","","-0.1","E,1115","-2.8","E,1116","-5.0","E,1218","-6.7","E,1219","","","-0.6","E,0404","-2.2","E,0226","-4.4","E,0222","-6.7","E,0220","-9.4","E,0113","    3707.6","6","    3707.6","E","    828.7"," ,E","","","","","      4.61","E"
"UKE00105856","1964","55.4767","-4.5658","48.0","AUCHINCRUIVE, UK","      0.0","","       0.0","E","       191","E","       105","E","         1","E","         0","E","        53","E","         0","E","         6","E","         0","E","   -5.6","E,1226, ","  29.0"," ,E,0921, ","   23.9","E,0527, ","0.0","E,0921","-2.2","E,1110","-5.0","E,1225","","","","","-0.6","E,0407","-2.2","E,0405","-4.4","E,0307","","","","","","","","","    863.9"," ,E","      8.77","E","     11.99","E","      5.54","E"
"UKE00105856","1965","55.4767","-4.5658","48.0","AUCHINCRUIVE, UK","      0.3","","       0.3","E","       186","E","       111","E","         1","E","         0","E","        72","E","         1","E","         3","E","         0","E","  -11.1","E,0302, ","  26.7"," ,E,0728, ","   23.9","E,0811, ","-2.2","E,1104","-2.2","E,1104","-4.4","E,1115","-6.7","E,1227","","","0.0","E,0520","-3.9","E,0306","-6.1","E,0303","-11.1","E,0302","-11.1","E,0302","    3539.6","6","    3539.6","E","    953.6"," ,E","      8.00","E","     11.38","E","      4.61","E"
"UKE00105856","1966","55.4767","-4.5658","48.0","AUCHINCRUIVE, UK","      0.0","","       0.0","E","       202","E","       103","E","         3","E","         0","E","        57","E","         1","E","         5","E","         0","E","   -6.1","E,0118,+","  64.3"," ,E,0813, ","   23.3","E,0719,+","-0.6","E,1024","-2.8","E,1028","","","","","","","-3.3","E,0417","-3.3","E,0417","-5.0","E,0214","","","","","    3611.8","8","    3611.8","E","    991.0"," ,E","      8.35","E","     11.51","E","      5.19","E"
"UKE00105856","1967","55.4767","-4.5658","48.0","AUCHINCRUIVE, UK","      0.0","","       0.0","E","       215","E","       128","E","         1","E","         0","E","        49","E","         0","E","         4","E","         0","E","   -6.1","E,1210,+","  27.4"," ,E,1008, ","   22.8","E,0711, ","-1.1","E,1018","-3.3","E,1208","-5.0","E,1209","","","","","-2.2","E,0503","-2.2","E,0503","-4.4","E,0109","","","","","    3574.4","4","    3574.4","E","    915.2"," ,E","      8.64","E","     11.76","E","      5.51","E"
"UKE00105856","1968","55.4767","-4.5658","48.0","AUCHINCRUIVE, UK","      0.0","","       0.0","E","       172","E","        97","E","         2","E","         0","E","        75","E","         0","E","        11","E","         0","E","   -5.6","E,1229,+","  50.0"," ,E,0702, ","   22.8","E,0826,+","-1.7","E,1103","-4.4","E,1104","-4.4","E,1104","","","","","-0.6","E,0508","-3.3","E,0408","-5.0","E,0223","","","","","    3513.4","4","    3513.4","E","    932.4"," ,E","      8.42","E","     11.85","E","      4.99","E"
"UKE00105856","1969","55.4767","-4.5658","48.0","AUCHINCRUIVE, UK","","","","","       190","E","        97","E","         0","E","         0","E","        71","E","         1","E","        21","E","         0","E","   -8.3","E,0216, ","  20.6"," ,E,0808, ","   24.4","E,0807, ","-0.1","E,1114","-4.4","E,1117","-4.4","E,1117","","","","","-0.1","E,0418","-2.2","E,0402","-5.0","E,0328","-8.3","E,0216","","","    3546.0","0","    3546.0","E","    746.8"," ,E","      8.42","E","     11.79","E","      5.04","E"
