"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"UKE00105866","1960","52.1389","-4.5717","133.0","ABERPORTH, UK","      1.9","","       1.9","E","       206","E","       141","E","         4","E","        0","","         0","E","        25","E","         0","E","         5","E","         0","E","   -2.8","E,1215, ","    10"," ,E,0219, ","  29.9"," ,E,1002, ","   26.1","E,0603, ","-0.6","E,1207","-2.8","E,1215","","","0.0","E,0309","-2.2","E,0114","","","","","","","","","","","   1292.1"," ,E","      9.85","E","     12.49","E","      7.22","E"
"UKE00105866","1961","52.1389","-4.5717","133.0","ABERPORTH, UK","      3.3","","       3.3","E","       177","E","       121","E","         2","E","        1","","         0","E","        22","E","         0","E","         9","E","         0","E","   -5.4","E,1228, ","    50"," ,E,1230, ","  50.1"," ,E,0807, ","   28.6","E,0831, ","-0.9","E,1207","-4.7","E,1224","-4.7","E,1224","-2.0","E,0127","-2.2","E,0111","","","","","","","    2951.9","9","    2951.9","E","    971.4"," ,E","     10.03","E","     12.72","E","      7.35","E"
"UKE00105866","1962","52.1389","-4.5717","133.0","ABERPORTH, UK","      0.0","","       0.0","E","       174","E","        98","E","         4","E","        4","","         0","E","        35","E","         1","E","         2","E","         0","E","   -8.8","E,0102, ","    70"," ,E,0102, ","  32.7"," ,E,0911, ","   22.2","E,0708, ","-0.3","E,1213","-5.0","E,1224","-5.0","E,1224","-0.1","E,0413","-3.4","E,0318","-4.4","E,0304","-6.7","E,0103","","","    3262.8","8","    3262.8","E","    811.1"," ,E","      8.83","E","     11.49","E","      6.18","E"
"UKE00105866","1963","52.1389","-4.5717","133.0","ABERPORTH, UK","      1.4","","       1.4","E","       165","E","       103","E","         1","E","       20","","         0","E","        62","E","         7","E","        10","E","         0","E","   -9.9","E,0112, ","   180"," ,E,0206, ","  25.7"," ,E,0430, ","   24.7","E,0531, ","-1.0","E,1208","-3.5","E,1209","","","-0.9","E,0324","-3.8","E,0226","-4.5","E,0225","-7.5","E,0125","-9.9","E,0112","    3470.0","0","    3470.0","E","    796.3"," ,E","      8.58","E","     11.26","E","      5.90","E"
"UKE00105866","1964","52.1389","-4.5717","133.0","ABERPORTH, UK","      0.0","","       0.0","E","       153","E","        80","E","         1","E","        0","","         0","E","        22","E","         0","E","         7","E","         0","E","   -5.4","E,1228, ","    20"," ,E,1226, ","  40.9"," ,E,1212, ","   23.3","E,0516, ","-1.1","E,1109","-5.4","E,1228","-5.4","E,1228","-0.1","E,0317","-3.2","E,0221","-4.9","E,0206","","","","","    3091.4","4","    3091.4","E","    681.0"," ,E","      9.69","E","     12.38","E","      6.99","E"
"UKE00105866","1965","52.1389","-4.5717","133.0","ABERPORTH, UK","      3.3","","       3.3","E","       190","E","       103","E","         1","E","        7","","         0","E","        35","E","         1","E","         7","E","         0","E","   -6.6","E,0303, ","   140"," ,E,0304, ","  30.6"," ,E,0908, ","   26.1","E,0811, ","-0.4","E,1105","-2.9","E,1115","","","0.0","E,0309","-3.0","E,0304","-6.6","E,0303","","","","","    3117.9","9","    3117.9","E","    901.7"," ,E","      9.26","E","     11.94","E","      6.57","E"
"UKE00105866","1966","52.1389","-4.5717","133.0","ABERPORTH, UK","      0.0","","       0.0","E","       194","E","       110","E","         2","E","        1","","         0","E","        17","E","         1","E","         2","E","         0","E","   -5.6","E,0119, ","    30"," ,E,0414, ","  34.2"," ,E,0731, ","   23.2","E,0430, ","","","","","","","-1.1","E,0415","-2.3","E,0121","-4.7","E,0120","","","","","    3085.7","7","    3085.7","E","    966.6"," ,E","      9.71","E","     12.24","E","      7.18","E"
"UKE00105866","1967","52.1389","-4.5717","133.0","ABERPORTH, UK","      0.5","","       0.5","E","       191","E","       105","E","         2","E","        0","","         0","E","        13","E","         0","E","         7","E","         0","E","   -4.6","E,0108, ","     0"," ,E,1231,+","  57.9"," ,E,0911, ","   25.5","E,0712, ","-0.5","E,1124","","","","","-1.6","E,0401","-3.7","E,0110","-4.5","E,0109","","","","","    3125.8","8","    3125.8","E","    965.6"," ,E","      9.52","E","     12.05","E","      6.99","E"
"UKE00105866","1968","52.1389","-4.5717","133.0","ABERPORTH, UK","      0.4","","       0.4","E","       166","E","        88","E","         3","E","        0","","         0","E","        34","E","         0","E","         3","E","         0","E","   -5.6","E,1214, ","    10"," ,E,0402, ","  32.9"," ,E,0429, ","   24.0","E,0821, ","-0.6","E,1104","-5.6","E,1214","-5.6","E,1214","0.0","E,0412","-3.4","E,0302","-4.4","E,0110","","","","","    3225.1","1","    3225.1","E","    809.4"," ,E","      9.28","E","     11.95","E","      6.62","E"
"UKE00105866","1969","52.1389","-4.5717","133.0","ABERPORTH, UK","      0.9","","       0.9","E","       174","E","        89","E","         2","E","        4","","         0","E","        33","E","         0","E","        11","E","         0","E","   -7.0","E,0217, ","    70"," ,E,1129, ","  32.8"," ,E,1110, ","   26.9","E,0714, ","-0.4","E,1129","-3.1","E,1130","","","-0.4","E,0328","-4.0","E,0218","-7.0","E,0217","-7.0","E,0217","","","    3180.8","8","    3180.8","E","    800.3"," ,E","      9.35","E","     12.00","E","      6.69","E"
