"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"UKE00105871","1961","50.2917","-3.6508","32.0","SLAPTON, UK","","","","","       174","E","       100","E","         2","E","         0","E","        10","E","         0","E","        22","E","         0","E","   -2.2","E,1228, ","  41.9"," ,E,0129, ","   25.0","E,0630, ","-0.6","E,1206","-2.2","E,1228","","","-0.6","E,0320","","","","","","","","","","","    994.4"," ,E","     11.23","E","     14.48","E","      7.98","E"
"UKE00105871","1962","50.2917","-3.6508","32.0","SLAPTON, UK","","","","","       151","E","        93","E","         2","E","         0","E","        28","E","","","","","","","   -3.9","E,1226, ","  27.7"," ,E,0929, ","","","0.0","E,1114","-3.3","E,1225","","","-1.7","E,0325","-3.3","E,0305","","","","","","","","","    901.0"," ,E","","","","","      6.61","E"
"UKE00105871","1963","50.2917","-3.6508","32.0","SLAPTON, UK","","","","","       193","E","       122","E","         3","E","","","","","         3","E","         8","E","         0","E","","","  30.0"," ,E,1118, ","   23.9","E,0721, ","","","","","","","","","","","","","","","","","","","   1058.8"," ,E","","","     12.45","E","",""
"UKE00105871","1964","50.2917","-3.6508","32.0","SLAPTON, UK","      7.5","","       7.5","E","       165","E","        77","E","         3","E","         0","E","        17","E","         0","E","        28","E","         0","E","   -4.4","E,1229, ","  41.4"," ,E,0318, ","   25.0","E,0804,+","-0.6","E,1216","-2.8","E,1226","-4.4","E,1229","-0.6","E,0309","","","","","","","    2788.7","7","    2788.7","E","    865.1"," ,E","     10.60","E","     13.69","E","      7.50","E"
"UKE00105871","1965","50.2917","-3.6508","32.0","SLAPTON, UK","","","","","       177","E","       106","E","         7","E","         0","E","        33","E","","","","","","","   -3.9","E,0302, ","  33.3"," ,E,0711,+","","","-1.1","E,1115","-2.2","E,1229","","","-0.6","E,0329","-3.3","E,0303","","","","","    2883.9","9","    2883.9"," ","   1164.1"," ,E","","","","","      6.82","E"
"UKE00105871","1966","50.2917","-3.6508","32.0","SLAPTON, UK","      4.7","","       4.7","E","       193","E","       123","E","         4","E","         0","E","         8","E","         1","E","        15","E","         0","E","   -3.9","E,0116,+","  46.7"," ,E,0806, ","   24.4","E,0721,+","","","","","","","-1.1","E,0121","-3.9","E,0116","","","","","","","","","   1272.7"," ,E","     10.85","E","     13.97","E","      7.74","E"
"UKE00105871","1967","50.2917","-3.6508","32.0","SLAPTON, UK","      2.0","","       2.0","E","       197","E","       104","E","         7","E","         0","E","        14","E","         0","E","        16","E","         0","E","   -3.9","E,1210, ","  58.7"," ,E,0722, ","   24.4","E,0822, ","-2.2","E,1208","-2.2","E,1208","","","-0.1","E,0331","-3.3","E,0110","","","","","    2758.3","3","    2758.3","E","   1258.3"," ,E","     10.58","E","     13.74","E","      7.41","E"
"UKE00105871","1968","50.2917","-3.6508","32.0","SLAPTON, UK","      0.3","","       0.3","E","       175","E","       114","E","         3","E","         0","E","        22","E","         0","E","        19","E","         0","E","   -3.3","E,1215, ","  30.2"," ,E,0627, ","   23.9","E,0630, ","-2.2","E,1214","-2.2","E,1214","","","-0.1","E,0404","-2.8","E,0110","","","","","    2866.4","4","    2866.4","E","   1120.6"," ,E","     10.54","E","     13.49","E","      7.59","E"
"UKE00105871","1969","50.2917","-3.6508","32.0","SLAPTON, UK","      7.3","","       7.3","E","       148","E","        90","E","         6","E","         0","E","        35","E","         0","E","        24","E","         0","E","   -5.6","E,0208, ","  81.3"," ,E,0728, ","   25.6","E,0710, ","-0.1","E,1114","-2.2","E,1130","","","0.0","E,0328","-3.3","E,0219","-5.6","E,0208","","","    2638.2","2","    2638.2","E","   1022.4"," ,E","     10.48","E","     13.66","E","      7.31","E"
"UKE00105871","1970","50.2917","-3.6508","32.0","SLAPTON, UK","","","","","       179","E","       110","E","         2","E","","","","","","","","","","","","","  57.7"," ,E,0911, ","","","","","","","","","","","","","","","","","","","","","   1110.3"," ,E","","","","","",""
"UKE00105871","1971","50.2917","-3.6508","32.0","SLAPTON, UK","      8.1","","       8.1","E","       112","E","        72","E","         1","E","         0","E","        23","E","         0","E","        25","E","         0","E","   -3.8","E,0204, ","  27.1"," ,E,0610, ","   24.9","E,0708, ","-0.2","E,1120","","","","","0.0","E,0401","-2.3","E,0307","","","","","","","","","    698.6"," ,E","     10.90","E","     14.48","E","      7.31","E"
"UKE00105871","1972","50.2917","-3.6508","32.0","SLAPTON, UK","      1.6","","       1.6","E","       179","E","       119","E","         4","E","         0","E","         6","E","         0","E","        11","E","         0","E","   -3.8","E,0131, ","  37.4"," ,E,1009, ","   23.7","E,0813,+","-0.8","E,1118","","","","","0.0","E,0302","-3.8","E,0131","","","","","    2682.9","9","    2682.9","E","   1170.4"," ,E","     10.53","E","     13.68","E","      7.37","E"
"UKE00105871","1973","50.2917","-3.6508","32.0","SLAPTON, UK","     10.9","","      10.9","E","       148","E","        73","E","         5","E","         0","E","        11","E","         0","E","        38","E","         0","E","   -1.7","E,0215,+","  54.0"," ,E,0822, ","   26.5","E,0815, ","-0.8","E,1202","","","","","-0.6","E,0410","","","","","","","    2719.6","6","    2719.6","E","    733.0"," ,E","     10.90","E","     14.30","E","      7.51","E"
