"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"UKE00105918","1961","51.3458","1.34","49.0","MANSTON, UK","","","","","       127","E","        62","E","         2","E","        0","","         0","E","        27","E","         1","E","        42","E","         0","E","   -3.9","E,0127, ","     0"," ,E,1231,+","  33.2"," ,E,0504, ","   31.0","E,0630, ","-1.8","E,1124","-3.0","E,1208","","","","","0.0","E,0322","-3.9","E,0127","","","","","","","","","","","    562.7"," ,E","     10.77","E","     14.36","E","      7.18","E"
"UKE00105918","1962","51.3458","1.34","49.0","MANSTON, UK","      0.0","","       0.0","E","       128","E","        52","E","         1","E","        8","","         0","E","        55","E","         1","E","        20","E","         0","E","   -7.5","E,0101, ","    80"," ,E,0101, ","  35.1"," ,E,0806, ","   24.6","E,0902, ","-2.2","E,1116","-2.2","E,1116","-7.2","E,1205","-7.2","E,1205","-1.3","E,0328","-4.4","E,0325","-4.4","E,0325","-7.5","E,0101","","","","","","","    453.8"," ,E","      9.14","E","     12.58","E","      5.70","E"
"UKE00105918","1963","51.3458","1.34","49.0","MANSTON, UK","      0.0","","       0.0","E","       140","E","        69","E","         0","E","       11","","         0","E","        80","E","        19","E","        13","E","         0","E","  -11.6","E,0205, ","   100"," ,E,0205, ","  21.2"," ,E,0802, ","   24.4","E,0916, ","-0.9","E,1121","-2.6","E,1209","-5.1","E,1216","","","-0.6","E,0413","-2.6","E,0401","-5.6","E,0225","-11.6","E,0205","-11.6","E,0205","    3463.6","6","    3463.6","E","    585.2"," ,E","      8.64","E","     11.90","E","      5.39","E"
"UKE00105918","1964","51.3458","1.34","49.0","MANSTON, UK","     23.0","","      23.0","E","       130","E","        50","E","         4","E","        1","","         0","E","        41","E","         0","E","        49","E","         0","E","   -7.0","E,1229, ","    70"," ,E,0113, ","  41.8"," ,E,1014, ","   30.4","E,0825, ","-2.4","E,1111","-2.4","E,1111","-6.1","E,1227","-7.0","E,1229","-1.7","E,0407","-4.0","E,0310","-5.5","E,0118","","","","","    3055.5","5","    3055.5","E","    537.8"," ,E","      9.87","E","     13.42","E","      6.32","E"
"UKE00105918","1965","51.3458","1.34","49.0","MANSTON, UK","      0.6","","       0.6","E","       159","E","        76","E","         1","E","        1","","         0","E","        43","E","         0","E","        20","E","         0","E","   -6.5","E,1229, ","    70"," ,E,0305, ","  48.2"," ,E,0903, ","   24.4","E,0513, ","-1.8","E,1115","-2.3","E,1202","-4.5","E,1227","","","0.0","E,0311","-2.7","E,0309","-4.8","E,0303","","","","","    3061.1","1","    3061.1","E","    581.1"," ,E","      9.32","E","     12.72","E","      5.92","E"
"UKE00105918","1966","51.3458","1.34","49.0","MANSTON, UK","      7.6","","       7.6","E","       164","E","        92","E","         4","E","        6","","         0","E","        30","E","         3","E","        31","E","         0","E","   -7.8","E,0119, ","   160"," ,E,0117, ","  43.2"," ,E,1029, ","   25.4","E,0609, ","-0.2","E,1125","-5.4","E,1226","-5.4","E,1226","","","-0.3","E,0421","-3.3","E,0121","-6.4","E,0120","-7.8","E,0119","","","    3012.8","8","    3012.8","E","    877.9"," ,E","     10.03","E","     13.40","E","      6.65","E"
"UKE00105918","1967","51.3458","1.34","49.0","MANSTON, UK","     27.4","","      27.4","E","       131","E","        61","E","         0","E","        3","","         0","E","        30","E","         0","E","        48","E","         0","E","   -7.0","E,1209, ","    50"," ,E,0107, ","  23.9"," ,E,1103, ","   29.4","E,0731, ","0.0","E,1121","-3.2","E,1208","-7.0","E,1209","-7.0","E,1209","-0.9","E,0503","-5.2","E,0109","-5.2","E,0109","","","","","    2966.4","4","    2966.4","E","    530.0"," ,E","     10.32","E","     13.77","E","      6.88","E"
"UKE00105918","1968","51.3458","1.34","49.0","MANSTON, UK","      6.0","","       6.0","E","       155","E","        69","E","         1","E","        5","","         0","E","        38","E","         0","E","        19","E","         0","E","   -7.2","E,1214, ","    40"," ,E,0111,+","  34.1"," ,E,0806, ","   28.3","E,0630, ","-2.2","E,1110","-2.2","E,1110","-7.2","E,1214","-7.2","E,1214","-3.0","E,0409","-3.0","E,0409","-4.7","E,0113","","","","","    2907.9","9","    2907.9","E","    588.3"," ,E","      9.88","E","     12.96","E","      6.79","E"
"UKE00105918","1969","51.3458","1.34","49.0","MANSTON, UK","     38.4","","      38.4","E","       143","E","        81","E","         4","E","        2","","         0","E","        47","E","         1","E","        45","E","         0","E","   -6.2","E,0208, ","    40"," ,E,0216, ","  67.9"," ,E,0814, ","   29.4","E,0715, ","-0.4","E,1106","-3.4","E,1118","","","","","0.0","E,0429","-2.5","E,0329","-5.6","E,0308","","","","","    2978.4","4","    2978.4","E","    805.5"," ,E","     10.02","E","     13.28","E","      6.76","E"
"UKE00105918","1970","51.3458","1.34","49.0","MANSTON, UK","     17.0","","      17.0","E","       149","E","        71","E","         0","E","       14","","         0","E","        48","E","         1","E","        51","E","         0","E","   -6.0","E,0309,+","   110"," ,E,0305, ","  22.7"," ,E,1114, ","   28.0","E,0706, ","-2.1","E,1116","-3.0","E,1227","","","","","-0.2","E,0411","-3.6","E,0409","-5.7","E,0310","","","","","    2864.0","0","    2864.0","E","    558.4"," ,E","     10.14","E","     13.51","E","      6.77","E"
