"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"UKE00105923","1960","50.7789","-1.8339","10.0","HURN, UK","      5.0","","       5.0","E","       191","E","       113","E","         6","E","        3","","         0","E","        58","E","         0","E","        28","E","         0","E","   -7.2","E,0114, ","    40"," ,E,0117,+","  59.9"," ,E,1008, ","   26.7","E,0619, ","-1.7","E,1013","-2.8","E,1107","","","","","","","0.0","E,0430","-3.3","E,0224","-6.1","E,0218","-6.7","E,0217","","","","","","","   1252.9"," ,E","     10.11","E","     14.10","E","      6.12","E"
"UKE00105923","1961","50.7789","-1.8339","10.0","HURN, UK","","","","","       140","E","        77","E","         2","E","        0","","         0","E","        53","E","         1","E","        47","E","         0","E","   -8.5","E,1228, ","     0"," ,E,1231,+","  37.8"," ,E,0425, ","   28.1","E,0828, ","-1.0","E,1030","-4.5","E,1124","-4.5","E,1124","-8.5","E,1228","","","-1.1","E,0528","-3.1","E,0325","-4.4","E,0320","","","","","    2897.1","1","    2897.1","E","    754.6"," ,E","     10.35","E","     14.85","E","      5.85","E"
"UKE00105923","1962","50.7789","-1.8339","10.0","HURN, UK","      0.0","","       0.0","E","       134","E","        72","E","         1","E","        5","","         0","E","        78","E","         4","E","        19","E","         0","E","   -9.9","E,0102, ","   130"," ,E,1231, ","  26.2"," ,E,0929, ","   24.0","E,0701, ","-0.4","E,0922","-2.3","E,1027","-4.7","E,1120","-8.6","E,1226","","","-2.1","E,0502","-3.5","E,0328","-7.5","E,0325","-7.5","E,0325","-9.9","E,0102","","","","","    674.5"," ,E","      8.78","E","     13.11","E","      4.44","E"
"UKE00105923","1963","50.7789","-1.8339","10.0","HURN, UK","      3.4","","       3.4","E","       155","E","        98","E","         4","E","       34","","         0","E","        91","E","        15","E","        25","E","         0","E","  -13.4","E,0123, ","   150"," ,E,0104, ","  47.8"," ,E,0901, ","   26.6","E,0530, ","-2.0","E,1114","-4.0","E,1208","-6.6","E,1215","-8.4","E,1221","","","-2.2","E,0413","-2.2","E,0413","-5.5","E,0324","-7.8","E,0225","-11.7","E,0126","    3633.8","8","    3633.8","E","    922.8"," ,E","      8.62","E","     12.44","E","      4.79","E"
"UKE00105923","1964","50.7789","-1.8339","10.0","HURN, UK","     12.9","","      12.9","E","       135","E","        62","E","         2","E","        1","","         0","E","        51","E","         0","E","        51","E","         0","E","  -10.5","E,1229, ","    50"," ,E,1229, ","  27.6"," ,E,0612, ","   26.9","E,0802, ","-1.0","E,1012","-2.4","E,1108","-6.6","E,1216","-8.4","E,1226","-10.5","E,1229","-0.9","E,0411","-2.6","E,0407","-4.9","E,0209","-8.0","E,0207","","","    3089.1","1","    3089.1","E","    634.3"," ,E","      9.74","E","     13.83","E","      5.64","E"
"UKE00105923","1965","50.7789","-1.8339","10.0","HURN, UK","","","","","       164","E","        91","E","         3","E","        2","","         0","E","        70","E","         0","E","        15","E","         0","E","  -10.2","E,0303, ","    40"," ,E,0305, ","  27.3"," ,E,1107, ","   24.5","E,0811, ","-1.6","E,1103","-2.2","E,1113","-7.1","E,1115","-7.1","E,1115","","","-0.7","E,0520","-4.0","E,0329","-5.3","E,0309","-10.2","E,0303","-10.2","E,0303","    3138.3","3","    3138.3","E","    847.3"," ,E","      9.27","E","     13.48","E","      5.06","E"
"UKE00105923","1966","50.7789","-1.8339","10.0","HURN, UK","      2.3","","       2.3","E","       176","E","       102","E","         4","E","        1","","         0","E","        41","E","         1","E","        31","E","         0","E","   -6.9","E,0115, ","   100"," ,E,0415, ","  49.9"," ,E,1022, ","   26.6","E,0609, ","-0.8","E,1026","-5.0","E,1104","-5.0","E,1104","","","","","0.0","E,0329","-5.1","E,0320","-5.1","E,0320","-6.9","E,0115","","","","","","","    993.5"," ,E","     10.11","E","     14.14","E","      6.08","E"
"UKE00105923","1967","50.7789","-1.8339","10.0","HURN, UK","      5.1","","       5.1","E","       149","E","        91","E","         2","E","        0","","         0","E","        61","E","         0","E","        31","E","         0","E","   -7.2","E,1209, ","    20"," ,E,1211,+","  28.1"," ,E,0227, ","   27.9","E,0711, ","-0.1","E,1023","-4.5","E,1117","-4.5","E,1117","-7.2","E,1209","","","-3.6","E,0503","-3.6","E,0503","-4.9","E,0401","-6.8","E,0109","","","    3003.7","7","    3003.7","E","    921.8"," ,E","      9.95","E","     14.00","E","      5.89","E"
"UKE00105923","1968","50.7789","-1.8339","10.0","HURN, UK","      2.5","","       2.5","E","       145","E","        81","E","         3","E","        0","","         0","E","        69","E","         0","E","        27","E","         0","E","   -8.3","E,0204, ","     0"," ,E,1231,+","  33.7"," ,E,0108, ","   28.7","E,0630, ","-2.0","E,1104","-3.8","E,1109","-7.6","E,1215","-7.6","E,1215","","","-2.4","E,0414","-2.4","E,0414","-5.0","E,0304","-8.3","E,0204","","","    3118.4","4","    3118.4","E","    858.3"," ,E","      9.74","E","     13.68","E","      5.79","E"
"UKE00105923","1969","50.7789","-1.8339","10.0","HURN, UK","     18.3","","      18.3","E","       146","E","        78","E","         3","E","        1","","         0","E","        75","E","         0","E","        52","E","         0","E","   -7.7","E,0216, ","    70"," ,E,0221, ","  36.0"," ,E,1114, ","   27.0","E,0715, ","-2.8","E,1030","-2.8","E,1030","-5.4","E,1118","","","","","-0.7","E,0430","-2.5","E,0418","-4.7","E,0328","-7.7","E,0216","","","    2989.6","6","    2989.6","E","    816.3"," ,E","      9.80","E","     14.17","E","      5.44","E"
