"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"UKE00105926","1960","50.7839","0.9839","4.0","HAYLING ISLAND, UK","","","","","","","","","","","","","","","         0","E","        11","E","         0","E","","","","","   26.7","E,0625, ","","","","","","","","","","","","","","","","","","","","","","","","","","","     13.34","E","",""
"UKE00105926","1961","50.7839","0.9839","4.0","HAYLING ISLAND, UK","","","","","       142","E","        72","E","         2","E","         0","E","        22","E","         0","E","        27","E","         0","E","   -6.1","E,1228, ","  30.2"," ,E,0129, ","   27.2","E,0828, ","-1.1","E,1124","-2.8","E,1207","-4.4","E,1225","","","-1.1","E,0320","-2.2","E,0112","","","","","","","    2620.4","4","    2620.4","E","    631.9"," ,E","     11.06","E","     14.16","E","      7.97","E"
"UKE00105926","1962","50.7839","0.9839","4.0","HAYLING ISLAND, UK","      0.0","","       0.0","E","","","","","","","         0","E","        50","E","         3","E","         9","E","         0","E","   -6.7","E,0101, ","","","   23.9","E,0724,+","0.0","E,1114","-2.8","E,1120","-5.0","E,1224","","","-0.6","E,0328","-3.3","E,0325","-5.0","E,0102","-6.7","E,0101","","","","","","","","","      9.46","E","     12.53","E","      6.39","E"
"UKE00105926","1963","50.7839","0.9839","4.0","HAYLING ISLAND, UK","","","","","       167","E","        85","E","         0","E","         0","E","        78","E","","","","","","","   -9.4","E,0113, ","  21.6"," ,E,0415, ","","","-1.1","E,1208","-2.2","E,1209","","","","","0.0","E,0413","-2.2","E,0324","-6.1","E,0225","-8.3","E,0126","-8.9","E,0125","    3406.4","4","    3406.4","E","    655.7"," ,E","","","","","      6.36","E"
"UKE00105926","1964","50.7839","0.9839","4.0","HAYLING ISLAND, UK","     16.5","","      16.5","E","","","","","","","         0","E","        28","E","         0","E","        37","E","         0","E","   -5.6","E,1229, ","","","   27.2","E,0716, ","-1.7","E,1130","-3.9","E,1226","-5.6","E,1229","","","-0.6","E,0406","-2.2","E,0309","","","","","","","","","","","","","     10.25","E","     13.17","E","      7.33","E"
"UKE00105926","1965","50.7839","0.9839","4.0","HAYLING ISLAND, UK","","","","","       170","E","        82","E","         3","E","         0","E","        41","E","","","","","","","   -5.6","E,0303, ","  29.0"," ,E,0616, ","","","0.0","E,1113","-2.8","E,1114","-4.4","E,1229","","","-0.6","E,0329","-2.2","E,0308","-5.6","E,0303","","","","","    2939.2","2","    2939.2","E","    722.4"," ,E","","","","","      6.89","E"
"UKE00105926","1966","50.7839","0.9839","4.0","HAYLING ISLAND, UK","      2.5","","       2.5","E","       183","E","        93","E","         3","E","         0","E","        21","E","         3","E","        16","E","         0","E","   -5.0","E,0119,+","  29.5"," ,E,1022, ","   27.2","E,0608, ","-1.1","E,1104","","","","","","","-0.1","E,0415","-3.9","E,0120","-5.0","E,0119","","","","","","","","","    785.1"," ,E","     10.55","E","     13.46","E","      7.64","E"
"UKE00105926","1967","50.7839","0.9839","4.0","HAYLING ISLAND, UK","      7.2","","       7.2","E","       168","E","        82","E","         0","E","         0","E","        27","E","         0","E","        21","E","         0","E","   -7.2","E,1209, ","  24.6"," ,E,1101, ","   26.1","E,0711, ","-0.1","E,1110","-7.2","E,1209","-7.2","E,1209","-7.2","E,1209","-0.6","E,0503","-2.2","E,0214","-4.4","E,0109","","","","","    2809.0","0","    2809.0","E","    743.0"," ,E","     10.62","E","     13.52","E","      7.72","E"
"UKE00105926","1968","50.7839","0.9839","4.0","HAYLING ISLAND, UK","","","","","       147","E","        77","E","         1","E","         0","E","        42","E","         0","E","        19","E","         0","E","   -4.4","E,1215,+","  25.9"," ,E,0914, ","   28.9","E,0630, ","-0.6","E,1109","-3.9","E,1214","-4.4","E,1215","","","-1.1","E,0409","-2.2","E,0301","-4.4","E,0110","","","","","    2869.1","1","    2869.1","E","    716.5"," ,E","     10.30","E","     13.11","E","      7.49","E"
"UKE00105926","1969","50.7839","0.9839","4.0","HAYLING ISLAND, UK","","","","","       146","E","        74","E","         1","E","","","","","","","","","","","","","  32.8"," ,E,0706, ","","","","","","","","","","","","","","","","","","","","","","","","","    665.2"," ,E","","","","","",""
