"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"UKE00107640","1960","56.4967","-6.8867","9.0","TIREE, UK","","","","","       222","E","       123","E","         0","E","        0","","","","","","         0","E","         3","E","         0","E","","","    10"," ,E,0220, ","  22.5"," ,E,0821, ","   23.3","E,0622, ","","","","","","","","","","","","","","","","","","","   1022.3"," ,E","","","     12.00","E","",""
"UKE00107640","1961","56.4967","-6.8867","9.0","TIREE, UK","      0.0","","       0.0","E","       224","E","       140","E","         1","E","        4","","         0","E","        16","E","         0","E","         0","E","         0","E","   -6.7","E,1231, ","    70"," ,E,1205, ","  32.2"," ,E,1016, ","   17.7","E,0828, ","-1.0","E,1127","-3.2","E,1204","-4.5","E,1227","-6.7","E,1231","-0.8","E,0404","","","","","    3191.9","9","    3191.9","E","   1230.8"," ,E","      9.11","E","     11.52","E","      6.70","E"
"UKE00107640","1962","56.4967","-6.8867","9.0","TIREE, UK","      0.0","","       0.0","E","       211","E","       122","E","         1","E","        1","","         0","E","        23","E","         0","E","         0","E","         0","E","   -4.5","E,0305, ","    30"," ,E,0303, ","  44.3"," ,E,0929, ","   20.1","E,0709, ","-1.0","E,1118","-2.2","E,1229","","","","","-0.8","E,0404","-3.6","E,0315","-4.5","E,0305","    3507.4","4","    3507.4","E","   1100.3"," ,E","      8.62","E","     11.24","E","      6.00","E"
"UKE00107640","1963","56.4967","-6.8867","9.0","TIREE, UK","      0.0","","       0.0","E","       197","E","       110","E","         0","E","        1","","         0","E","        34","E","         0","E","         2","E","         0","E","   -5.4","E,0118, ","    40"," ,E,0206, ","  21.8"," ,E,0823, ","   21.2","E,0605, ","0.0","E,1117","-2.8","E,1214","","","","","-0.4","E,0413","-3.4","E,0219","-4.6","E,0217","    3562.8","8","    3562.8","E","    855.6"," ,E","      8.37","E","     10.88","E","      5.85","E"
"UKE00107640","1964","56.4967","-6.8867","9.0","TIREE, UK","      0.0","","       0.0","E","       225","E","       126","E","         0","E","        0","","         0","E","        10","E","         0","E","         0","E","         0","E","   -3.6","E,0219, ","     0"," ,E,1231,+","  24.5"," ,E,1006, ","   20.1","E,0526, ","-1.8","E,1218","","","","","","","-1.3","E,0403","-3.6","E,0219","","","    3327.0","0","    3327.0","E","   1109.0"," ,E","      9.15","E","     11.55","E","      6.76","E"
"UKE00107640","1965","56.4967","-6.8867","9.0","TIREE, UK","      0.0","","       0.0","E","       205","E","       123","E","         6","E","        1","","         0","E","        22","E","         0","E","         0","E","         0","E","   -4.6","E,0302, ","    30"," ,E,0302, ","  37.4"," ,E,1031, ","   19.8","E,0718, ","-0.9","E,1125","-2.7","E,1228","","","","","-1.1","E,0306","-4.6","E,0302","-4.6","E,0302","    3359.2","2","    3359.2","E","   1126.6"," ,E","      8.53","E","     10.91","E","      6.14","E"
"UKE00107640","1966","56.4967","-6.8867","9.0","TIREE, UK","      0.0","","       0.0","E","       219","E","       122","E","         0","E","        0","","         0","E","        24","E","         0","E","         0","E","         0","E","   -3.5","E,0117,+","    20"," ,E,0325, ","  23.2"," ,E,1207,+","   19.6","E,0610, ","-0.7","E,1119","","","","","","","-1.2","E,0417","-2.9","E,0118","","","    3486.6","6","    3486.6","E","    995.4"," ,E","      8.64","E","     11.13","E","      6.16","E"
"UKE00107640","1967","56.4967","-6.8867","9.0","TIREE, UK","      0.0","","       0.0","E","       245","E","       157","E","         2","E","        0","","         0","E","        12","E","         0","E","         0","E","         0","E","   -2.1","E,1209, ","    10"," ,E,1209,+","  32.1"," ,E,0707, ","   19.4","E,0808, ","-0.2","E,1207","","","","","","","0.0","E,0503","","","","","    3419.6","6","    3419.6","E","   1268.2"," ,E","      8.95","E","     11.39","E","      6.52","E"
"UKE00107640","1968","56.4967","-6.8867","9.0","TIREE, UK","      0.0","","       0.0","E","       193","E","       115","E","         1","E","        0","","         0","E","        22","E","         0","E","         0","E","         0","E","   -4.2","E,0221, ","    10"," ,E,0402,+","  27.6"," ,E,0930, ","   21.0","E,0610, ","-0.9","E,1219","","","","","","","-0.3","E,0408","-3.8","E,0402","","","    3435.7","7","    3435.7","E","    901.6"," ,E","      8.91","E","     11.55","E","      6.26","E"
"UKE00107640","1969","56.4967","-6.8867","9.0","TIREE, UK","      0.0","","       0.0","E","       214","E","       118","E","         1","E","        0","","         0","E","        27","E","         0","E","         0","E","         0","E","   -5.8","E,0207, ","    20"," ,E,0215,+","  42.2"," ,E,1015, ","   21.0","E,0610, ","-0.5","E,1115","","","","","","","-0.3","E,0328","-3.2","E,0309","-5.7","E,0208","    3339.4","4","    3339.4","E","    994.3"," ,E","      8.66","E","     11.29","E","      6.02","E"
"UKE00107640","1970","56.4967","-6.8867","9.0","TIREE, UK","      0.0","","       0.0","E","       234","E","       140","E","         2","E","        0","","         0","E","        34","E","         0","E","         6","E","         0","E","   -3.8","E,0215, ","    20"," ,E,0107,+","  35.7"," ,E,0708, ","   23.1","E,0609, ","-0.5","E,1107","","","","","","","-0.9","E,0413","-2.2","E,0305","","","    3336.2","2","    3336.2","E","   1127.4"," ,E","      8.74","E","     11.22","E","      6.25","E"
"UKE00107640","1971","56.4967","-6.8867","9.0","TIREE, UK","      0.0","","       0.0","E","       216","E","       118","E","         3","E","        0","","         0","E","         7","E","         0","E","         0","E","         0","E","   -2.3","E,1231, ","     0"," ,E,1231,+","  38.1"," ,E,0423, ","   20.6","E,0802, ","-0.3","E,1013","-2.3","E,1231","","","","","-1.4","E,0315","","","","","    3319.6","6","    3319.6","E","    994.6"," ,E","      9.60","E","     12.06","E","      7.13","E"
"UKE00107640","1972","56.4967","-6.8867","9.0","TIREE, UK","      0.0","","       0.0","E","       213","E","       138","E","         1","E","        0","","         0","E","        13","E","         0","E","         1","E","         0","E","   -2.0","E,0131, ","    20"," ,E,0131, ","  34.8"," ,E,0730, ","   22.7","E,0717, ","-1.3","E,1117","","","","","","","-0.9","E,0312","","","","","    3231.2","2","    3231.2","E","   1070.2"," ,E","      8.79","E","     11.25","E","      6.34","E"
"UKE00107640","1973","56.4967","-6.8867","9.0","TIREE, UK","      0.0","","       0.0","E","       230","E","       128","E","         2","E","        3","","         0","E","        14","E","         0","E","         0","E","         0","E","   -4.1","E,0214, ","    60"," ,E,0214, ","  38.7"," ,E,0119, ","   20.5","E,0714, ","0.0","E,1127","","","","","","","-0.6","E,0430","-2.6","E,0225","","","    3394.9","9","    3394.9","E","   1049.2"," ,E","      8.88","E","     11.32","E","      6.44","E"
"UKE00107640","1974","56.4967","-6.8867","9.0","TIREE, UK","      0.0","","       0.0","E","       247","E","       152","E","         1","E","        0","","         0","E","         7","E","         0","E","         1","E","         0","E","   -1.5","E,0305, ","     0"," ,E,1231,+","  29.0"," ,E,0910, ","   21.9","E,0620, ","-1.1","E,1120","","","","","","","0.0","E,0313","","","","","    3258.3","3","    3258.3","E","   1223.4"," ,E","      8.98","E","     11.52","E","      6.44","E"
"UKE00107640","1975","56.4967","-6.8867","9.0","TIREE, UK","      0.0","","       0.0","E","       209","E","       123","E","         1","E","        0","","         0","E","        12","E","         0","E","         2","E","         0","E","   -1.9","E,0317, ","    10"," ,E,0115, ","  41.8"," ,E,0924, ","   23.9","E,0803, ","","","","","","","","","-0.2","E,0410","","","","","    3413.5","5","    3413.5","E","   1107.9"," ,E","      9.31","E","     11.74","E","      6.88","E"
"UKE00107640","1976","56.4967","-6.8867","9.0","TIREE, UK","      0.8","","       0.8","E","       218","E","       133","E","         2","E","        0","","         0","E","         8","E","         0","E","        11","E","         0","E","   -2.9","E,1204, ","     0"," ,E,1231,+","  34.7"," ,E,1117, ","   23.5","E,0824, ","-0.2","E,1203","-2.9","E,1204","","","","","-0.2","E,0401","","","","","    3107.7","7","    3107.7","E","   1118.5"," ,E","      9.32","E","     11.75","E","      6.88","E"
"UKE00107640","1977","56.4967","-6.8867","9.0","TIREE, UK","      0.0","","       0.0","E","       206","E","       116","E","         2","E","        0","","         0","E","        18","E","         0","E","         3","E","         0","E","   -2.4","E,0128, ","     0"," ,E,1231,+","  34.6"," ,E,1011, ","   22.5","E,0705, ","-0.1","E,1120","","","","","","","0.0","E,0515","-2.3","E,0225","","","    3344.7","7","    3344.7","E","    990.8"," ,E","      8.87","E","     11.40","E","      6.33","E"
"UKE00107640","1978","56.4967","-6.8867","9.0","TIREE, UK","      0.0","","       0.0","E","       217","E","       125","E","         1","E","        0","","         0","E","        24","E","         0","E","         1","E","         0","E","   -4.4","E,0212, ","    10"," ,E,0117,+","  39.7"," ,E,1211, ","   22.2","E,0603, ","-1.1","E,1128","-2.4","E,1230","","","","","-0.9","E,0411","-3.4","E,0218","-4.4","E,0212","    3322.3","3","    3322.3","E","   1104.0"," ,E","      8.90","E","     11.30","E","      6.49","E"
