"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"UK000003162","1931","55.3167","-3.2","242.0","ESKDALEMUIR, UK","","","","","       223","E","       137","E","        13","E","","","","","","","","","","","","","  70.3"," ,E,1103, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   1562.1"," ,E","","","","","",""
"UK000003162","1932","55.3167","-3.2","242.0","ESKDALEMUIR, UK","","","","","       206","E","       132","E","        15","E","","","","","","","","","","","","","  80.1"," ,E,1216, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   1800.9"," ,E","","","","","",""
"UK000003162","1933","55.3167","-3.2","242.0","ESKDALEMUIR, UK","","","","","       183","E","       102","E","         7","E","","","","","","","","","","","","","  66.2"," ,E,0131, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   1119.7"," ,E","","","","","",""
"UK000003162","1934","55.3167","-3.2","242.0","ESKDALEMUIR, UK","","","","","       238","E","       150","E","         9","E","","","","","","","","","","","","","  38.3"," ,E,0101, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   1675.5"," ,E","","","","","",""
"UK000003162","1935","55.3167","-3.2","242.0","ESKDALEMUIR, UK","","","","","       209","E","       150","E","        11","E","","","","","","","","","","","","","  43.9"," ,E,0918, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   1521.6"," ,E","","","","","",""
"UK000003162","1936","55.3167","-3.2","242.0","ESKDALEMUIR, UK","","","","","       206","E","       132","E","         8","E","","","","","","","","","","","","","  60.6"," ,E,1024, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   1484.8"," ,E","","","","","",""
"UK000003162","1937","55.3167","-3.2","242.0","ESKDALEMUIR, UK","","","","","       207","E","       132","E","         4","E","","","","","","","","","","","","","  40.1"," ,E,0814, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   1300.7"," ,E","","","","","",""
"UK000003162","1938","55.3167","-3.2","242.0","ESKDALEMUIR, UK","","","","","       234","E","       165","E","        11","E","","","","","","","","","","","","","  60.6"," ,E,0729, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   1984.0"," ,E","","","","","",""
"UK000003162","1939","55.3167","-3.2","242.0","ESKDALEMUIR, UK","","","","","       203","E","       133","E","         9","E","","","","","","","","","","","","","  54.9"," ,E,0728, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   1464.5"," ,E","","","","","",""
"UK000003162","1940","55.3167","-3.2","242.0","ESKDALEMUIR, UK","","","","","       205","E","       120","E","         6","E","","","","","","","","","","","","","  48.2"," ,E,0916, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   1390.1"," ,E","","","","","",""
