"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"UKE00105857","1960","55.0989","-4.1858","55.0","GLENLEE, UK","      1.1","","       1.1","E","","","","","","","         0","E","       100","E","         0","E","        20","E","         0","E","  -11.7","E,0219, ","","","   27.2","E,0621, ","0.0","E,0921","-4.4","E,1013","-4.4","E,1013","-7.2","E,1119","","","-1.1","E,0502","-3.3","E,0418","-5.0","E,0224","-10.6","E,0223","-10.6","E,0223","","","","","","","      8.30","E","     12.83","E","      3.76","E"
"UKE00105857","1961","55.0989","-4.1858","55.0","GLENLEE, UK","","","","","       209","E","       132","E","        12","E","         0","E","        73","E","","","","","","","  -15.0","E,1231, ","  47.5"," ,E,1005, ","","","-1.1","E,1029","-2.8","E,1104","-4.4","E,1109","-10.0","E,1207","-10.0","E,1207","0.0","E,0528","-2.8","E,0408","-6.7","E,0116","-6.7","E,0116","","","","","","","   1604.7"," ,E","","","","","      4.40","E"
"UKE00105857","1962","55.0989","-4.1858","55.0","GLENLEE, UK","      0.0","","       0.0","E","       205","E","       133","E","        17","E","         0","E","        94","E","         0","E","         5","E","         0","E","  -11.1","E,0102, ","  71.6"," ,E,0115, ","   23.3","E,0708, ","-4.4","E,1027","-4.4","E,1027","-4.4","E,1027","-7.2","E,1121","-9.4","E,1229","-1.7","E,0601","-4.4","E,0416","-4.4","E,0416","-9.4","E,0315","-9.4","E,0315","","","","","   1752.6"," ,E","      7.61","E","     11.83","E","      3.39","E"
"UKE00105857","1963","55.0989","-4.1858","55.0","GLENLEE, UK","      0.0","","       0.0","E","       208","E","       134","E","        12","E","         0","E","       107","E","         2","E","        18","E","         0","E","  -12.8","E,0220,+","  48.5"," ,E,1123, ","   25.0","E,0731,+","0.0","E,1110","-3.9","E,1115","-5.6","E,1116","-7.2","E,1117","","","-1.1","E,0523","-2.2","E,0404","-4.4","E,0313","-8.9","E,0304","-8.9","E,0304","    4016.2","2","    4016.2","E","   1605.7"," ,E","      7.27","E","     11.56","E","      2.99","E"
"UKE00105857","1964","55.0989","-4.1858","55.0","GLENLEE, UK","      0.3","","       0.3","E","       206","E","       136","E","         7","E","         0","E","        89","E","         0","E","        18","E","         0","E","  -11.7","E,1228, ","  45.5"," ,E,1211, ","   23.3","E,0803,+","0.0","E,0821","-2.2","E,1013","-5.6","E,1109","-7.8","E,1110","-11.7","E,1228","0.0","E,0620","-2.8","E,0407","-4.4","E,0405","-6.7","E,0222","-10.0","E,0221","    3642.4","4","    3642.4","E","   1369.2"," ,E","      8.19","E","     12.23","E","      4.15","E"
"UKE00105857","1965","55.0989","-4.1858","55.0","GLENLEE, UK","      0.3","","       0.3","E","       206","E","       138","E","         6","E","         0","E","       110","E","         1","E","         6","E","         0","E","  -13.9","E,0302, ","  53.8"," ,E,0113, ","   23.9","E,0811, ","0.0","E,1010","-2.2","E,1020","-7.2","E,1115","-7.2","E,1115","-8.9","E,1228","-2.2","E,0520","-2.2","E,0520","-4.4","E,0331","-7.2","E,0311","-8.9","E,0303","    3770.4","4","    3770.4","E","   1492.6"," ,E","      7.43","E","     11.77","E","      3.08","E"
"UKE00105857","1966","55.0989","-4.1858","55.0","GLENLEE, UK","      0.0","","       0.0","E","       222","E","       141","E","        11","E","         0","E","        88","E","         2","E","        11","E","         0","E","   -8.9","E,0118, ","  51.3"," ,E,0813, ","   26.1","E,0720, ","-0.6","E,1005","-2.2","E,1028","-6.1","E,1103","","","","","-0.6","E,0528","-2.2","E,0417","-4.4","E,0404","-6.7","E,0214","-8.9","E,0118","    3781.7","7","    3781.7","E","   1578.7"," ,E","      7.96","E","     11.88","E","      4.04","E"
"UKE00105857","1967","55.0989","-4.1858","55.0","GLENLEE, UK","      0.0","","       0.0","E","       234","E","       165","E","         5","E","         0","E","        64","E","         0","E","        16","E","         0","E","   -9.4","E,1220, ","  46.5"," ,E,1008, ","   23.9","E,0711,+","0.0","E,1018","-3.3","E,1107","-4.4","E,1108","-6.7","E,1218","-9.4","E,1220","0.0","E,0518","-5.0","E,0503","-5.0","E,0503","-6.7","E,0214","","","    3659.6","6","    3659.6","E","   1727.1"," ,E","      8.40","E","     12.28","E","      4.53","E"
"UKE00105857","1968","55.0989","-4.1858","55.0","GLENLEE, UK","      0.0","","       0.0","E","       180","E","       128","E","        11","E","         0","E","        96","E","         0","E","        30","E","         0","E","  -11.1","E,0110, ","  56.6"," ,E,1019, ","   26.1","E,0613, ","-0.6","E,1009","-6.1","E,1104","-6.1","E,1104","-7.8","E,1214","","","0.0","E,0522","-2.2","E,0518","-4.4","E,0412","-6.7","E,0408","-8.9","E,0111","    3643.0","0","    3643.0","E","   1427.6"," ,E","      8.16","E","     12.34","E","      3.97","E"
"UKE00105857","1969","55.0989","-4.1858","55.0","GLENLEE, UK","      2.0","","       2.0","E","       193","E","       114","E","         2","E","         0","E","       103","E","         1","E","        26","E","         0","E","  -15.6","E,0216, ","  51.8"," ,E,1213, ","   26.7","E,0714, ","-1.1","E,1104","-2.8","E,1112","-5.6","E,1117","-6.7","E,1126","","","-0.6","E,0521","-3.9","E,0419","-5.0","E,0402","-6.7","E,0328","-9.4","E,0306","    3747.2","2","    3747.2","E","   1150.6"," ,E","      7.90","E","     12.14","E","      3.66","E"
"UKE00105857","1970","55.0989","-4.1858","55.0","GLENLEE, UK","      6.3","","       6.3","E","       211","E","       141","E","         6","E","         0","E","        86","E","         1","E","        30","E","         0","E","  -15.6","E,0107, ","  50.0"," ,E,1123, ","   28.9","E,0608, ","0.0","E,0916","-2.2","E,1009","-4.4","E,1209","-7.2","E,1231","","","-1.7","E,0428","-3.3","E,0427","-4.4","E,0402","-6.7","E,0325","-8.9","E,0213","    3559.6","6","    3559.6","E","   1512.5"," ,E","      8.24","E","     12.32","E","      4.15","E"
"UKE00105857","1971","55.0989","-4.1858","55.0","GLENLEE, UK","      0.0","","       0.0","E","       175","E","       111","E","         6","E","         0","E","        81","E","         0","E","        21","E","         0","E","  -10.0","E,0101, ","  46.5"," ,E,1015, ","   24.9","E,0706, ","-0.7","E,0924","-2.3","E,1013","-6.0","E,1014","-7.9","E,1120","","","-0.3","E,0521","-3.1","E,0428","-6.1","E,0316","-7.8","E,0103","-10.0","E,0101","    3535.3","3","    3535.3","E","   1116.1"," ,E","      8.68","E","     13.05","E","      4.31","E"
"UKE00105857","1972","55.0989","-4.1858","55.0","GLENLEE, UK","","","","","       198","E","       134","E","         9","E","","","","","","","","","","","","","  46.0"," ,E,0118, ","","","","","","","","","","","","","","","","","","","","","","","","","","","   1585.7"," ,E","","","","","",""
"UKE00105857","1973","55.0989","-4.1858","55.0","GLENLEE, UK","      0.1","","       0.1","E","       196","E","       112","E","         4","E","         0","E","        77","E","         2","E","        25","E","         0","E","  -14.6","E,0215, ","  38.0"," ,E,0403, ","   27.4","E,0814, ","-0.2","E,0927","-2.4","E,1011","-4.5","E,1018","-8.8","E,1129","-9.2","E,1130","-0.2","E,0515","-6.6","E,0429","-6.6","E,0429","-7.6","E,0227","-11.0","E,0217","    3586.0","0","    3586.0","E","   1101.7"," ,E","      8.04","E","     12.39","E","      3.69","E"
"UKE00105857","1974","55.0989","-4.1858","55.0","GLENLEE, UK","      1.0","","       1.0","E","       214","E","       139","E","        11","E","         0","E","        71","E","         0","E","         5","E","         0","E","   -6.2","E,1120, ","  63.7"," ,E,0129, ","   26.4","E,0620, ","-1.4","E,0927","-3.6","E,0928","-6.2","E,1120","","","","","-0.5","E,0530","-2.4","E,0501","-4.4","E,0414","","","","","    3535.8","8","    3535.8","E","   1752.6"," ,E","      8.26","E","     12.44","E","      4.09","E"
"UKE00105857","1975","55.0989","-4.1858","55.0","GLENLEE, UK","     15.0","","      15.0","E","       182","E","       121","E","         9","E","         0","E","        94","E","         0","E","        40","E","         0","E","   -6.2","E,0328, ","  45.5"," ,E,0113, ","   28.8","E,0803, ","0.0","E,0927","-2.9","E,1018","-4.4","E,1122","","","","","-1.0","E,0604","-2.5","E,0521","-6.2","E,0328","","","","","    3649.5","5","    3649.5","E","   1345.7"," ,E","      8.55","E","     13.10","E","      4.00","E"
"UKE00105857","1976","55.0989","-4.1858","55.0","GLENLEE, UK","     15.4","","      15.4","E","       195","E","       124","E","        11","E","         0","E","        74","E","         1","E","        39","E","         0","E","  -10.5","E,1203, ","  43.0"," ,E,0516, ","   29.2","E,0824, ","-1.0","E,1005","-5.2","E,1113","-5.2","E,1113","-10.5","E,1203","-10.5","E,1203","-4.5","E,0428","-4.5","E,0428","-4.5","E,0428","-7.5","E,0309","","","    3371.8","8","    3371.8","E","   1472.3"," ,E","      8.51","E","     12.68","E","      4.33","E"
"UKE00105857","1977","55.0989","-4.1858","55.0","GLENLEE, UK","","","","","       200","E","       140","E","        13","E","","","","","","","","","","","","","  70.5"," ,E,1030, ","","","","","","","","","","","","","","","","","","","","","","","    3761.5","5","    3761.5","E","   1745.7"," ,E","","","","","",""
"UKE00105857","1978","55.0989","-4.1858","55.0","GLENLEE, UK","      0.1","","       0.1","E","       200","E","       133","E","         6","E","         0","E","        84","E","         2","E","        17","E","         0","E","  -10.4","E,0118, ","  43.0"," ,E,0222, ","   27.0","E,0531, ","-2.6","E,1101","-2.6","E,1101","-6.6","E,1127","-7.4","E,1218","","","-0.2","E,0519","-3.8","E,0415","-5.2","E,0411","-8.7","E,0218","-8.9","E,0215","","","","","   1410.8"," ,E","      8.33","E","     12.24","E","      4.43","E"
"UKE00105857","1979","55.0989","-4.1858","55.0","GLENLEE, UK","      0.0","","       0.0","E","       234","E","       145","E","        10","E","         0","E","       102","E","        10","E","        10","E","         0","E","  -17.5","E,0113, ","  64.5"," ,E,1125, ","   26.5","E,0602, ","-1.8","E,0922","-4.5","E,1110","-4.5","E,1110","-7.4","E,1113","","","-0.5","E,0519","-5.3","E,0504","-5.3","E,0504","-7.6","E,0209","-10.0","E,0203","    3812.1","1","    3812.1","E","   1654.4"," ,E","      7.29","E","     11.24","E","      3.33","E"
"UKE00105857","1980","55.0989","-4.1858","55.0","GLENLEE, UK","      1.3","","       1.3","E","       212","E","       154","E","         7","E","         0","E","        89","E","         1","E","        13","E","         0","E","  -10.0","E,0102, ","  43.1"," ,E,0926, ","   25.5","E,0512, ","-0.3","E,1010","-2.4","E,1011","-4.6","E,1103","","","","","-1.5","E,0509","-3.4","E,0506","-6.7","E,0323","-6.7","E,0323","-9.6","E,0103","    3708.6","6","    3708.6","E","   1702.1"," ,E","      8.06","E","     12.20","E","      3.92","E"
"UKE00105857","1981","55.0989","-4.1858","55.0","GLENLEE, UK","","","","","       214","E","       129","E","        11","E","         0","E","       105","E","         2","E","        11","E","         0","E","  -15.8","E,1219, ","  46.3"," ,E,1001, ","   23.6","E,0825, ","-0.3","E,1014","-5.0","E,1015","-5.0","E,1015","-7.8","E,1208","-10.5","E,1209","-0.7","E,0509","-2.3","E,0502","-4.8","E,0423","-7.5","E,0225","","","    3494.8","8","    3494.8","E","   1549.7"," ,E","      7.81","E","     12.06","E","      3.55","E"
"UKE00105857","1982","55.0989","-4.1858","55.0","GLENLEE, UK","     11.0","","      11.0","E","       219","E","       163","E","        21","E","         0","E","        78","E","         3","E","        35","E","         0","E","  -16.5","E,0111, ","  70.5"," ,E,1017, ","   28.4","E,0604, ","-1.2","E,1015","-2.2","E,1023","-5.0","E,1202","-6.7","E,1223","","","-1.5","E,0509","-3.5","E,0508","-4.7","E,0305","-12.0","E,0116","-12.0","E,0116","","","","","   2128.1"," ,E","      8.58","E","     12.89","E","      4.27","E"
"UKE00105857","1983","55.0989","-4.1858","55.0","GLENLEE, UK","","","","","       216","E","       134","E","         8","E","         0","E","        66","E","         0","E","        41","E","         0","E","   -8.0","E,1122,+","  47.9"," ,E,0505, ","   30.2","E,0711, ","-0.4","E,0907","-4.0","E,1021","-5.1","E,1029","-8.0","E,1122","","","-1.4","E,0523","-3.7","E,0422","-4.5","E,0407","-7.6","E,0223","","","","","","","   1435.8"," ,E","      8.71","E","     12.90","E","      4.53","E"
"UKE00105857","1984","55.0989","-4.1858","55.0","GLENLEE, UK","","","","","       192","E","       128","E","         8","E","         0","E","        73","E","","","","","","","  -11.1","E,0121, ","  50.0"," ,E,1127, ","","","-0.2","E,1027","-4.8","E,1105","-4.8","E,1105","","","","","-3.4","E,0515","-3.4","E,0515","-4.6","E,0403","-11.1","E,0121","-11.1","E,0121","    3382.8","8","    3382.8","E","   1475.7"," ,E","","","","","      4.08","E"
"UKE00105857","1985","55.0989","-4.1858","55.0","GLENLEE, UK","      0.8","","       0.8","E","       218","E","       138","E","        12","E","         0","E","        97","E","         5","E","         7","E","         0","E","  -11.9","E,1230, ","  56.1"," ,E,1130, ","   24.8","E,0724, ","-1.2","E,1023","-3.2","E,1101","-4.5","E,1103","-7.0","E,1113","-11.3","E,1129","-1.2","E,0608","-2.8","E,0512","-8.2","E,0320","-8.2","E,0320","-10.8","E,0217","","","","","   1613.9"," ,E","      7.48","E","     11.35","E","      3.61","E"
"UKE00105857","1986","55.0989","-4.1858","55.0","GLENLEE, UK","      3.3","","       3.3","E","       225","E","       146","E","        15","E","         0","E","        85","E","         1","E","        12","E","         0","E","  -11.5","E,0302, ","  43.9"," ,E,1024, ","   27.1","E,0627, ","-1.8","E,0911","-2.7","E,0918","-5.5","E,1102","","","","","-0.4","E,0502","-2.5","E,0424","-5.2","E,0411","-8.9","E,0303","-8.9","E,0303","    3847.8","8","    3847.8","E","   1872.6"," ,E","      7.51","E","     11.46","E","      3.57","E"
"UKE00105857","1987","55.0989","-4.1858","55.0","GLENLEE, UK","      0.4","","       0.4","E","       195","E","       125","E","        15","E","         0","E","        84","E","         4","E","        10","E","         0","E","  -11.8","E,0112, ","  43.6"," ,E,0812, ","   25.2","E,0721, ","-0.2","E,0927","-3.0","E,1011","-6.2","E,1126","-7.5","E,1208","-9.2","E,1209","-0.4","E,0520","-2.2","E,0516","-6.6","E,0321","-8.4","E,0312","-10.0","E,0201","    3746.3","3","    3746.3","E","   1525.4"," ,E","      7.68","E","     11.86","E","      3.50","E"
"UKE00105857","1988","55.0989","-4.1858","55.0","GLENLEE, UK","      0.0","","       0.0","E","       238","E","       160","E","        15","E","         0","E","        62","E","         0","E","        18","E","         0","E","   -6.3","E,1121, ","  39.6"," ,E,0130, ","   25.9","E,0613, ","-1.4","E,0930","-4.2","E,1029","-4.4","E,1030","","","","","-0.4","E,0521","-3.8","E,0430","-4.4","E,0314","","","","","    3495.7","7","    3495.7","E","   1831.3"," ,E","      8.60","E","     12.65","E","      4.55","E"
