"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"UKE00105881","1960","57.205","-2.2039","65.0","DYCE, UK","      0.0","","       0.0","E","       207","E","       107","E","         2","E","       19","","         0","E","        80","E","         3","E","        15","E","         0","E","   -9.4","E,0218,+","   210"," ,E,0120, ","  31.1"," ,E,0131, ","   26.1","E,0616, ","-2.8","E,1108","-2.8","E,1108","-5.0","E,1129","-6.7","E,1208","","","-1.1","E,0502","-3.3","E,0309","-6.1","E,0225","-8.3","E,0224","-9.4","E,0218","","","","","    999.3"," ,E","      7.95","E","     11.59","E","      4.30","E"
"UKE00105881","1961","57.205","-2.2039","65.0","DYCE, UK","      0.0","","       0.0","E","       177","E","        88","E","         0","E","        8","","         0","E","        76","E","         3","E","         9","E","         0","E","  -11.2","E,1230, ","   350"," ,E,1229, ","  24.4"," ,E,0808, ","   23.6","E,0630, ","-1.6","E,1030","-3.7","E,1109","-4.7","E,1203","-9.3","E,1208","-9.3","E,1208","-1.9","E,0530","-2.3","E,0408","-5.2","E,0404","-9.6","E,0116","-9.6","E,0116","    3665.1","1","    3665.1","E","    713.3"," ,E","      7.95","E","     11.82","E","      4.08","E"
"UKE00105881","1962","57.205","-2.2039","65.0","DYCE, UK","      0.0","","       0.0","E","       195","E","        89","E","         6","E","       31","","         0","E","        81","E","         0","E","         3","E","         0","E","  -10.6","E,0104, ","   320"," ,E,0101, ","  32.6"," ,E,0112, ","   24.4","E,0606, ","-0.6","E,1013","-2.3","E,1113","-6.5","E,1116","-7.8","E,1120","-9.8","E,1230","-0.9","E,0519","-3.6","E,0416","-4.5","E,0404","-6.9","E,0317","-10.5","E,0316","    3989.9","9","    3989.9","E","    887.4"," ,E","      7.10","E","     10.69","E","      3.50","E"
"UKE00105881","1963","57.205","-2.2039","65.0","DYCE, UK","      0.0","","       0.0","E","       194","E","        92","E","         4","E","       41","","         0","E","        83","E","         7","E","         5","E","         0","E","  -12.3","E,0118, ","   150"," ,E,0101, ","  34.6"," ,E,0804, ","   22.2","E,0731, ","-5.6","E,1115","-5.6","E,1115","-5.6","E,1115","-7.3","E,1222","","","-1.2","E,0416","-3.0","E,0409","-6.0","E,0303","-7.4","E,0224","-11.1","E,0124","    4130.8","8","    4130.8","E","    855.4"," ,E","      6.98","E","     10.53","E","      3.45","E"
"UKE00105881","1964","57.205","-2.2039","65.0","DYCE, UK","      0.0","","       0.0","E","       162","E","        59","E","         3","E","        4","","         0","E","        66","E","         1","E","         9","E","         0","E","  -11.7","E,1226, ","    70"," ,E,1204, ","  50.2"," ,E,0324, ","   26.8","E,0802, ","-0.3","E,0930","-2.3","E,1108","-11.7","E,1226","-11.7","E,1226","-11.7","E,1226","-0.1","E,0604","-4.9","E,0307","-4.9","E,0307","","","","","    3673.4","4","    3673.4","E","    602.7"," ,E","      7.93","E","     11.73","E","      4.12","E"
"UKE00105881","1965","57.205","-2.2039","65.0","DYCE, UK","      0.0","","       0.0","E","       198","E","        93","E","         2","E","       25","","         0","E","        93","E","         2","E","         4","E","         0","E","  -15.8","E,0302, ","   140"," ,E,0305, ","  31.9"," ,E,0917, ","   23.6","E,0628, ","-1.2","E,1013","-7.6","E,1115","-7.6","E,1115","-7.6","E,1115","-9.7","E,1229","-0.6","E,0520","-3.3","E,0402","-7.2","E,0306","-7.2","E,0306","-15.8","E,0302","    3938.1","1","    3938.1","E","    730.3"," ,E","      7.08","E","     10.67","E","      3.49","E"
"UKE00105881","1966","57.205","-2.2039","65.0","DYCE, UK","      0.0","","       0.0","E","       208","E","       102","E","         5","E","        4","","         0","E","        86","E","         1","E","         8","E","         0","E","  -13.6","E,0215, ","    70"," ,E,0220, ","  43.5"," ,E,0623, ","   22.9","E,0720, ","-3.9","E,1005","-3.9","E,1005","-6.5","E,1111","-7.1","E,1215","","","-0.8","E,0528","-2.3","E,0420","-5.8","E,0417","-6.8","E,0414","-10.5","E,0217","    4036.1","1","    4036.1","E","    894.0"," ,E","      7.45","E","     10.99","E","      3.90","E"
"UKE00105881","1967","57.205","-2.2039","65.0","DYCE, UK","      0.0","","       0.0","E","       178","E","        92","E","         3","E","        6","","         0","E","        62","E","         1","E","        12","E","         0","E","   -9.9","E,1220, ","   220"," ,E,1210, ","  41.6"," ,E,0505, ","   23.4","E,0709, ","-0.4","E,1018","-2.6","E,1117","-5.6","E,1122","-9.9","E,1220","-9.9","E,1220","-1.6","E,0503","-4.4","E,0423","-4.4","E,0423","","","","","    3717.4","4","    3717.4","E","    883.5"," ,E","      8.14","E","     11.92","E","      4.36","E"
"UKE00105881","1968","57.205","-2.2039","65.0","DYCE, UK","      0.0","","       0.0","E","       160","E","        85","E","         4","E","       17","","         0","E","        83","E","         1","E","         6","E","         0","E","  -10.7","E,0109, ","   120"," ,E,1229,+","  38.3"," ,E,0504, ","   22.5","E,0819, ","-0.8","E,1104","-5.5","E,1105","-5.5","E,1105","","","","","-1.3","E,0518","-4.4","E,0414","-4.4","E,0414","-8.8","E,0221","-10.7","E,0109","    3900.1","1","    3900.1","E","    781.6"," ,E","      7.44","E","     11.01","E","      3.88","E"
"UKE00105881","1969","57.205","-2.2039","65.0","DYCE, UK","      6.2","","       6.2","E","       187","E","        83","E","         4","E","       24","","         1","E","        89","E","         3","E","        21","E","         0","E","  -18.2","E,0218, ","   240"," ,E,0216,+","  41.2"," ,E,0503, ","   27.4","E,0713, ","-1.5","E,1105","-2.7","E,1109","-4.7","E,1114","-7.6","E,1212","","","0.0","E,0428","-2.2","E,0419","-5.5","E,0327","-13.1","E,0219","-13.1","E,0219","    3908.4","4","    3908.4","E","    835.6"," ,E","      7.52","E","     11.21","E","      3.83","E"
"UKE00105881","1970","57.205","-2.2039","65.0","DYCE, UK","      0.2","","       0.2","E","       205","E","        95","E","         3","E","       24","","         0","E","        88","E","         1","E","        12","E","         0","E","  -11.9","E,0106, ","   100"," ,E,0305,+","  83.9"," ,E,0724, ","   24.6","E,0619, ","-0.1","E,0915","-2.8","E,1114","","","","","","","-0.3","E,0430","-4.8","E,0414","-4.8","E,0414","-8.7","E,0217","-9.1","E,0108","    3808.4","4","    3808.4","E","    913.3"," ,E","      7.47","E","     11.11","E","      3.82","E"
"UKE00105881","1971","57.205","-2.2039","65.0","DYCE, UK","      0.0","","       0.0","E","       142","E","        57","E","         2","E","        4","","         0","E","        60","E","         0","E","        14","E","         0","E","   -7.7","E,0216, ","    90"," ,E,1119, ","  27.6"," ,E,0804, ","   25.4","E,0706, ","-2.4","E,1013","-2.4","E,1013","-4.5","E,1118","-7.6","E,1129","","","0.0","E,0428","-4.6","E,0318","-4.6","E,0318","-7.7","E,0216","","","    3754.0","0","    3754.0","E","    565.1"," ,E","      8.21","E","     12.13","E","      4.29","E"
"UKE00105881","1972","57.205","-2.2039","65.0","DYCE, UK","      0.0","","       0.0","E","       165","E","        69","E","         0","E","        4","","         0","E","        55","E","         0","E","         8","E","         0","E","  -10.4","E,1209, ","   130"," ,E,0131, ","  23.3"," ,E,0111, ","   23.7","E,0716, ","-0.9","E,0908","-2.3","E,1105","-6.9","E,1203","-6.9","E,1203","-10.4","E,1209","-0.3","E,0420","-3.6","E,0330","-5.1","E,0313","-8.8","E,0131","","","    3583.9","9","    3583.9","E","    599.8"," ,E","      7.83","E","     11.51","E","      4.15","E"
