"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"UKE00107663","1961","49.4331","-2.6","101.0","GUERNSEY AIRPORT, UK","","","","","       163","E","        93","E","         0","E","","","","","         0","E","        19","E","         0","E","","","  22.5"," ,E,1203, ","   30.6","E,0901, ","","","","","","","","","","","","","","","","","    792.6"," ,E","","","     14.14","E","",""
"UKE00107663","1962","49.4331","-2.6","101.0","GUERNSEY AIRPORT, UK","","","","","       173","E","        90","E","         3","E","         0","E","        20","E","","","","","","","   -2.8","E,0227, ","  31.0"," ,E,1229, ","","","-0.6","E,1224","","","0.0","E,0317","-2.8","E,0227","","","","","","","","","    801.6"," ,E","","","","","      7.73","E"
"UKE00107663","1963","49.4331","-2.6","101.0","GUERNSEY AIRPORT, UK","      3.5","","       3.5","E","       177","E","        93","E","         0","E","         0","E","        39","E","         3","E","        10","E","         0","E","   -7.8","E,0120, ","  22.7"," ,E,0102, ","   25.2","E,0729, ","-0.8","E,1215","-3.3","E,1224","0.0","E,0228","-2.8","E,0225","-5.0","E,0202","-6.7","E,0121","    2951.6","6","    2951.6","E","    798.3"," ,E","      9.61","E","     11.90","E","      7.31","E"
"UKE00107663","1964","49.4331","-2.6","101.0","GUERNSEY AIRPORT, UK","      6.5","","       6.5","E","       153","E","        87","E","         2","E","         0","E","        11","E","         0","E","        16","E","         0","E","   -2.0","E,1228,+","  27.6"," ,E,1103, ","   26.2","E,0825, ","-2.0","E,1228","","","0.0","E,0309","","","","","","","    2783.2","2","    2783.2","E","    819.3"," ,E","     10.73","E","     13.12","E","      8.34","E"
"UKE00107663","1965","49.4331","-2.6","101.0","GUERNSEY AIRPORT, UK","      2.4","","       2.4","E","       178","E","       106","E","         2","E","         0","E","         7","E","         0","E","         6","E","         0","E","   -2.0","E,0303, ","  29.1"," ,E,1219, ","   25.7","E,0811, ","","","","","0.0","E,0308","","","","","","","    2679.1","1","    2679.1","E","   1022.2"," ,E","     10.35","E","     12.72","E","      7.98","E"
"UKE00107663","1966","49.4331","-2.6","101.0","GUERNSEY AIRPORT, UK","      0.7","","       0.7","E","       192","E","       113","E","         3","E","         0","E","         7","E","         0","E","         7","E","         0","E","   -4.6","E,0119, ","  36.4"," ,E,1014, ","   23.0","E,0819, ","","","","","-4.5","E,0120","-4.5","E,0120","-4.5","E,0120","","","    2580.1","1","    2580.1","E","   1048.5"," ,E","     11.20","E","     13.42","E","      8.98","E"
"UKE00107663","1967","49.4331","-2.6","101.0","GUERNSEY AIRPORT, UK","","","","","       178","E","       109","E","         0","E","         0","E","         6","E","         0","E","        10","E","         0","E","   -1.6","E,0108, ","  23.0"," ,E,1222, ","   25.8","E,0712, ","-0.1","E,1209","","","-0.6","E,0215","","","","","","","","","","","    911.3"," ,E","     10.70","E","     13.09","E","      8.31","E"
"UKE00107663","1968","49.4331","-2.6","101.0","GUERNSEY AIRPORT, UK","","","","","       158","E","        97","E","         2","E","         0","E","         3","E","         0","E","         9","E","         0","E","   -3.7","E,1214, ","  43.4"," ,E,1011, ","   29.5","E,0630, ","-3.7","E,1214","-3.7","E,1214","","","","","","","","","    2745.0","0","    2745.0","E","    884.9"," ,E","     10.48","E","     12.81","E","      8.15","E"
"UKE00107663","1969","49.4331","-2.6","101.0","GUERNSEY AIRPORT, UK","      8.7","","       8.7","E","       162","E","        91","E","         2","E","         0","E","        13","E","         0","E","        16","E","         0","E","   -3.0","E,0209, ","  59.0"," ,E,0706, ","   28.6","E,0807, ","0.0","E,1228","","","-0.4","E,0219","-2.5","E,0216","","","","","","","","","    812.4"," ,E","     10.79","E","     13.33","E","      8.25","E"
"UKE00107663","1970","49.4331","-2.6","101.0","GUERNSEY AIRPORT, UK","      4.9","","       4.9","E","       181","E","       110","E","         3","E","         0","E","        11","E","         0","E","        13","E","         0","E","   -3.0","E,1227, ","  46.8"," ,E,0616, ","   26.3","E,0705, ","-1.2","E,1225","-3.0","E,1227","-0.3","E,0306","","","","","","","    2625.0","0","    2625.0","E","    899.0"," ,E","     10.61","E","     12.99","E","      8.24","E"
