"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"UKE00108854","1960","54.085","-4.6331","16.0","RONALDSWAY, UK","      0.9","","       0.9","E","       186","E","       112","E","         2","E","         0","E","        29","E","         0","E","         7","E","         0","E","   -3.3","E,1221, ","  31.6"," ,E,0706, ","   22.8","E,0625,+","-1.1","E,1209","-2.2","E,1220","","","","","","","0.0","E,0309","-2.8","E,0223","","","","","","","","","    977.7"," ,E","      9.81","E","     12.50","E","      7.11","E"
"UKE00108854","1961","54.085","-4.6331","16.0","RONALDSWAY, UK","      0.0","","       0.0","E","       162","E","        95","E","         3","E","         0","E","        20","E","         0","E","         1","E","         0","E","   -9.1","E,1231, ","  33.1"," ,E,0807, ","   21.2","E,0831, ","-2.2","E,1203","-2.2","E,1203","-9.1","E,1231","-9.1","E,1231","-9.1","E,1231","-0.2","E,0204","-2.7","E,0111","","","","","    2949.8","8","    2949.8","E","    884.1"," ,E","      9.79","E","     12.20","E","      7.37","E"
"UKE00108854","1962","54.085","-4.6331","16.0","RONALDSWAY, UK","      0.0","","       0.0","E","       165","E","        93","E","         0","E","         0","E","        32","E","         0","E","         0","E","         0","E","   -6.6","E,0102, ","  20.7"," ,E,1116,+","   19.2","E,0830, ","-1.9","E,1027","-3.3","E,1229","","","","","","","-0.5","E,0414","-2.3","E,0328","-4.4","E,0315","","","    3316.3","3","    3316.3","E","    737.2"," ,E","      8.76","E","     11.41","E","      6.10","E"
"UKE00108854","1963","54.085","-4.6331","16.0","RONALDSWAY, UK","      0.0","","       0.0","E","       157","E","        87","E","         1","E","         0","E","        48","E","         0","E","         6","E","         0","E","   -6.7","E,1220,+","  48.1"," ,E,0816, ","   23.3","E,0608, ","-1.8","E,1116","-2.2","E,1117","-6.7","E,1220","-6.7","E,1220","","","-0.6","E,0323","-3.7","E,0223","-4.4","E,0222","-6.7","E,0113","    3528.9","9","    3528.9","E","    730.5"," ,E","      8.49","E","     11.19","E","      5.79","E"
"UKE00108854","1964","54.085","-4.6331","16.0","RONALDSWAY, UK","      0.0","","       0.0","E","       157","E","        85","E","         2","E","         0","E","        18","E","         0","E","         4","E","         0","E","   -5.1","E,1226, ","  28.1"," ,E,0817, ","   21.6","E,0803, ","-2.0","E,1130","-2.6","E,1225","-5.1","E,1226","","","","","-0.6","E,0327","-3.7","E,0206","","","","","    3217.1","1","    3217.1","E","    782.9"," ,E","      9.49","E","     12.14","E","      6.83","E"
"UKE00108854","1965","54.085","-4.6331","16.0","RONALDSWAY, UK","      0.0","","       0.0","E","       181","E","        98","E","         2","E","         0","E","        36","E","         0","E","         0","E","         0","E","   -6.7","E,0302, ","  33.0"," ,E,0321, ","   20.4","E,0812, ","-4.5","E,1122","-4.5","E,1122","-4.5","E,1122","","","","","-0.5","E,0422","-2.5","E,0307","-4.9","E,0303","-6.7","E,0302","    3274.4","4","    3274.4","E","    924.2"," ,E","      8.80","E","     11.56","E","      6.05","E"
"UKE00108854","1966","54.085","-4.6331","16.0","RONALDSWAY, UK","      0.5","","       0.5","E","       184","E","       108","E","         2","E","         0","E","        16","E","         0","E","         4","E","         0","E","   -4.8","E,0115, ","  32.8"," ,E,0813, ","   23.2","E,0720, ","-0.4","E,1103","","","","","","","","","-1.2","E,0403","-4.8","E,0115","-4.8","E,0115","","","    3278.7","7","    3278.7","E","    982.8"," ,E","      9.32","E","     11.94","E","      6.69","E"
"UKE00108854","1967","54.085","-4.6331","16.0","RONALDSWAY, UK","","","","","       194","E","       105","E","         3","E","         0","E","        18","E","         0","E","         3","E","         0","E","   -4.0","E,1209, ","  27.9"," ,E,0818, ","   22.3","E,0711, ","-0.4","E,1104","-2.7","E,1208","","","","","","","-1.4","E,0503","-3.2","E,0401","","","","","    3154.0","0","    3154.0","E","    936.2"," ,E","      9.59","E","     12.18","E","      6.99","E"
"UKE00108854","1968","54.085","-4.6331","16.0","RONALDSWAY, UK","      0.0","","       0.0","E","       155","E","        95","E","         6","E","         0","E","        29","E","         0","E","         5","E","         0","E","   -3.5","E,0224, ","  70.8"," ,E,1031, ","   23.4","E,0613, ","-1.2","E,1104","","","","","","","","","-2.2","E,0408","-2.2","E,0408","","","","","","","","","   1052.0"," ,E","      9.44","E","     12.24","E","      6.64","E"
"UKE00108854","1969","54.085","-4.6331","16.0","RONALDSWAY, UK","      0.0","","       0.0","E","       160","E","        86","E","         4","E","         0","E","        41","E","         0","E","         4","E","         0","E","   -7.4","E,0216, ","  29.8"," ,E,0909, ","   24.8","E,0714, ","-0.3","E,1114","-2.5","E,1126","","","","","","","-0.5","E,0404","-3.0","E,0328","-4.8","E,0218","-7.4","E,0216","    3176.8","8","    3176.8","E","    783.6"," ,E","      9.14","E","     11.94","E","      6.35","E"
"UKE00108854","1970","54.085","-4.6331","16.0","RONALDSWAY, UK","      4.4","","       4.4","E","       188","E","        94","E","         1","E","         0","E","        29","E","         0","E","        15","E","         0","E","   -4.7","E,0206, ","  27.5"," ,E,0412, ","   25.4","E,0608, ","-1.0","E,1208","-2.8","E,1231","","","","","","","0.0","E,0408","-3.3","E,0227","-4.7","E,0206","","","    3111.5","5","    3111.5","E","    860.2"," ,E","      9.55","E","     12.33","E","      6.77","E"
"UKE00108854","1971","54.085","-4.6331","16.0","RONALDSWAY, UK","      0.0","","       0.0","E","       157","E","        80","E","         3","E","         0","E","        15","E","         0","E","         4","E","         0","E","   -2.4","E,1110,+","  38.5"," ,E,0423, ","   22.0","E,0710,+","-2.4","E,1110","-2.4","E,1110","","","","","","","-0.5","E,0428","-2.4","E,0101","","","","","    3104.0","0","    3104.0","E","    755.6"," ,E","      9.94","E","     12.85","E","      7.04","E"
"UKE00108854","1972","54.085","-4.6331","16.0","RONALDSWAY, UK","      0.4","","       0.4","E","       166","E","        91","E","         1","E","         0","E","        16","E","         0","E","         5","E","         0","E","   -5.0","E,0131, ","  28.2"," ,E,1119, ","   24.3","E,0719,+","-0.7","E,1021","-3.2","E,1118","","","","","","","-1.4","E,0305","-2.2","E,0201","-5.0","E,0131","","","    2961.0","0","    2961.0","E","    795.9"," ,E","      9.40","E","     12.25","E","      6.55","E"
"UKE00108854","1973","54.085","-4.6331","16.0","RONALDSWAY, UK","      1.1","","       1.1","E","       170","E","        88","E","         3","E","         0","E","        31","E","         0","E","         5","E","         0","E","   -4.6","E,0215, ","  29.3"," ,E,1009, ","   24.8","E,0814, ","-0.9","E,1117","-2.7","E,1202","","","","","","","-3.0","E,0429","-3.0","E,0429","-4.6","E,0215","","","    3098.8","8","    3098.8","E","    754.5"," ,E","      9.57","E","     12.53","E","      6.62","E"
"UKE00108854","1974","54.085","-4.6331","16.0","RONALDSWAY, UK","      0.0","","       0.0","E","       174","E","       107","E","         1","E","         0","E","        11","E","         0","E","         1","E","         0","E","   -2.2","E,0306, ","  27.2"," ,E,0912, ","   24.4","E,0620, ","-1.0","E,1030","","","","","","","","","-0.6","E,0430","-2.2","E,0306","","","","","    3066.2","2","    3066.2","E","    835.2"," ,E","      9.54","E","     12.37","E","      6.71","E"
"UKE00108854","1975","54.085","-4.6331","16.0","RONALDSWAY, UK","      3.0","","       3.0","E","       163","E","        78","E","         2","E","         0","E","        14","E","         0","E","        16","E","         0","E","   -2.2","E,1213, ","  26.9"," ,E,1023, ","   25.3","E,0807, ","-0.4","E,1121","-2.2","E,1213","","","","","","","-0.5","E,0409","","","","","","","    3182.7","7","    3182.7","E","    705.5"," ,E","      9.89","E","     12.85","E","      6.93","E"
"UKE00108854","1976","54.085","-4.6331","16.0","RONALDSWAY, UK","     23.3","","      23.3","E","       170","E","       100","E","         5","E","         0","E","        20","E","         0","E","        24","E","         0","E","   -3.9","E,1203, ","  35.2"," ,E,1105, ","   27.2","E,0702, ","-3.9","E,1203","-3.9","E,1203","","","","","","","-0.3","E,0428","-3.4","E,0309","","","","","    2986.9","9","    2986.9","E","    931.9"," ,E","      9.76","E","     12.51","E","      7.02","E"
"UKE00108854","1977","54.085","-4.6331","16.0","RONALDSWAY, UK","      0.2","","       0.2","E","       187","E","       102","E","         3","E","         0","E","        23","E","         0","E","         8","E","         0","E","   -4.4","E,0129, ","  57.1"," ,E,1030, ","   24.8","E,0705, ","-2.6","E,1126","-2.6","E,1126","","","","","","","-1.5","E,0409","-4.1","E,0130","-4.4","E,0129","","","    3188.7","7","    3188.7","E","    909.2"," ,E","      9.51","E","     12.25","E","      6.76","E"
