"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"UK000000000","1881","52.42","-1.83","78.0","CET CENTRAL ENGLAND, UK","     10.5","","      10.5","E","         0","E","        66","E","        12","E","        27","E","         0","E","  -13.0","E,0121, ","   29.2","E,0704, ","-0.9","E,1016","-3.3","E,1031","-4.6","E,1224","","","","","-0.5","E,0511","-2.7","E,0404","-4.5","E,0327","-9.4","E,0126","-9.4","E,0126","","","","","      8.55","E","     12.26","E","      4.84","E"
"UK000000000","1882","52.42","-1.83","78.0","CET CENTRAL ENGLAND, UK","      0.2","","       0.2","E","         0","E","        25","E","         1","E","        15","E","         0","E","   -6.7","E,1211, ","   24.4","E,0811, ","-0.7","E,1026","-3.8","E,1118","-4.6","E,1210","-6.7","E,1211","","","-0.6","E,0416","-2.2","E,0202","","","","","","","    3211.6","6","    3211.6","E","      9.45","E","     13.14","E","      5.77","E"
"UK000000000","1883","52.42","-1.83","78.0","CET CENTRAL ENGLAND, UK","      0.4","","       0.4","E","         0","E","        44","E","         0","E","        26","E","         0","E","   -6.4","E,0324,+","   24.7","E,0701, ","-0.3","E,1107","-2.6","E,1113","","","","","","","0.0","E,0505","-3.0","E,0328","-4.5","E,0325","","","","","    3420.6","6","    3420.6","E","      9.01","E","     12.83","E","      5.20","E"
"UK000000000","1884","52.42","-1.83","78.0","CET CENTRAL ENGLAND, UK","     20.4","","      20.4","E","         0","E","        26","E","         0","E","        47","E","         0","E","   -3.8","E,1125, ","   29.6","E,0810, ","0.0","E,1122","-3.8","E,1125","","","","","","","-0.2","E,0424","-2.2","E,0423","","","","","","","    3198.5","5","    3198.5","E","      9.83","E","     13.76","E","      5.91","E"
"UK000000000","1885","52.42","-1.83","78.0","CET CENTRAL ENGLAND, UK","      6.1","","       6.1","E","         0","E","        58","E","         0","E","        28","E","         0","E","   -6.3","E,1211, ","   28.8","E,0725, ","-0.6","E,1115","-5.0","E,1208","-5.0","E,1208","","","","","-0.1","E,0512","-2.3","E,0405","-4.5","E,0221","","","","","    3294.5","5","    3294.5","E","      8.58","E","     12.45","E","      4.72","E"
"UK000000000","1886","52.42","-1.83","78.0","CET CENTRAL ENGLAND, UK","      4.9","","       4.9","E","         0","E","        74","E","         2","E","        35","E","         0","E","   -8.7","E,0107, ","   27.9","E,0829, ","-0.6","E,1108","-3.6","E,1202","-6.2","E,1203","-7.3","E,1220","","","-1.1","E,0501","-2.2","E,0317","-8.0","E,0307","-8.0","E,0307","","","    3636.0","0","    3636.0","E","      8.70","E","     12.25","E","      5.14","E"
"UK000000000","1887","52.42","-1.83","78.0","CET CENTRAL ENGLAND, UK","     11.8","","      11.8","E","         0","E","        87","E","         2","E","        58","E","         0","E","   -6.9","E,0101, ","   28.6","E,0702, ","-1.0","E,1012","-3.7","E,1026","-5.1","E,1117","","","","","-1.5","E,0418","-2.2","E,0417","-4.6","E,0319","-6.8","E,0314","","","    3461.1","1","    3461.1","E","      8.28","E","     12.35","E","      4.22","E"
"UK000000000","1888","52.42","-1.83","78.0","CET CENTRAL ENGLAND, UK","      0.9","","       0.9","E","         0","E","        86","E","         0","E","        10","E","         0","E","   -5.5","E,0130, ","   27.2","E,0624, ","0.0","E,1002","-2.7","E,1210","","","","","","","-0.5","E,0410","-2.5","E,0407","-4.7","E,0225","","","","","    3680.8","8","    3680.8","E","      8.21","E","     11.73","E","      4.69","E"
"UK000000000","1889","52.42","-1.83","78.0","CET CENTRAL ENGLAND, UK","      1.0","","       1.0","E","         0","E","        57","E","         1","E","        37","E","         0","E","   -6.1","E,0212, ","   24.9","E,0729,+","-1.4","E,1127","-3.1","E,1128","-4.8","E,1229","","","","","-2.0","E,0328","-3.8","E,0305","-5.0","E,0304","","","","","    3397.6","6","    3397.6","E","      9.00","E","     12.61","E","      5.39","E"
"UK000000000","1890","52.42","-1.83","78.0","CET CENTRAL ENGLAND, UK","      0.0","","       0.0","E","         0","E","        67","E","        13","E","        17","E","         0","E","  -12.7","E,1222, ","   24.1","E,0804, ","-0.5","E,1027","-2.8","E,1028","-4.7","E,1127","-8.5","E,1214","-12.7","E,1222","-0.2","E,0413","-7.3","E,0304","-7.3","E,0304","-7.3","E,0304","","","    3317.6","6","    3317.6","E","      8.74","E","     12.52","E","      4.96","E"
"UK000000000","1891","52.42","-1.83","78.0","CET CENTRAL ENGLAND, UK","      0.8","","       0.8","E","         0","E","        78","E","         8","E","        23","E","         0","E","  -11.2","E,0119, ","   26.5","E,0909, ","-0.3","E,1031","-4.6","E,1220","-4.6","E,1220","-8.0","E,1224","","","-0.6","E,0519","-3.2","E,0331","-6.5","E,0312","-11.2","E,0119","-11.2","E,0119","    3687.7","7","    3687.7","E","      8.50","E","     12.30","E","      4.70","E"
"UK000000000","1892","52.42","-1.83","78.0","CET CENTRAL ENGLAND, UK","      0.6","","       0.6","E","         0","E","        82","E","         8","E","        20","E","         0","E","   -9.2","E,1227, ","   25.8","E,0702, ","-0.6","E,1019","-3.1","E,1026","-5.1","E,1225","-7.7","E,1226","-9.2","E,1227","-0.7","E,0507","-2.5","E,0419","-5.2","E,0314","-8.8","E,0219","","","    3487.0","0","    3487.0","E","      8.18","E","     12.03","E","      4.32","E"
"UK000000000","1893","52.42","-1.83","78.0","CET CENTRAL ENGLAND, UK","     37.3","","      37.3","E","         0","E","        49","E","         4","E","        51","E","         0","E","   -8.7","E,0105, ","   29.7","E,0817, ","-0.2","E,1030","-2.6","E,1101","-5.9","E,1202","","","","","-0.1","E,0415","-4.5","E,0319","-4.5","E,0319","-8.7","E,0105","","","    3286.6","6","    3286.6","E","      9.99","E","     14.29","E","      5.69","E"
"UK000000000","1894","52.42","-1.83","78.0","CET CENTRAL ENGLAND, UK","      2.0","","       2.0","E","         0","E","        33","E","         5","E","        13","E","         0","E","  -10.8","E,0106, ","   27.5","E,0705,+","-1.6","E,1022","","","","","","","","","0.0","E,0327","-4.3","E,0222","-4.6","E,0221","-7.2","E,0108","-9.8","E,0107","    3197.9","9","    3197.9","E","      9.30","E","     12.83","E","      5.77","E"
"UK000000000","1895","52.42","-1.83","78.0","CET CENTRAL ENGLAND, UK","      5.9","","       5.9","E","         0","E","        79","E","        14","E","        48","E","         0","E","  -13.6","E,0208, ","   27.4","E,0529, ","-0.9","E,1018","-3.8","E,1024","","","","","","","-0.6","E,0415","-2.4","E,0305","-5.3","E,0218","-7.1","E,0217","-9.3","E,0214","    3468.9","9","    3468.9","E","      8.67","E","     12.65","E","      4.69","E"
"UK000000000","1896","52.42","-1.83","78.0","CET CENTRAL ENGLAND, UK","","","","","         0","E","        45","E","         0","E","        32","E","         0","E","   -4.4","E,0226, ","   27.1","E,0614, ","0.0","E,1020","-3.3","E,1106","","","","","","","-0.4","E,0331","-2.2","E,0227","-4.4","E,0226","","","","","","","","","      9.32","E","     13.07","E","      5.57","E"
"UK000000000","1897","52.42","-1.83","78.0","CET CENTRAL ENGLAND, UK","","","","","         0","E","        33","E","         1","E","        36","E","         0","E","   -6.4","E,1223, ","   28.7","E,0803, ","-0.9","E,1203","-6.4","E,1223","-6.4","E,1223","","","","","0.0","E,0411","-3.1","E,0330","-5.4","E,0124","","","","","    3424.6","6","    3424.6","E","      9.43","E","     13.06","E","      5.79","E"
"UK000000000","1898","52.42","-1.83","78.0","CET CENTRAL ENGLAND, UK","     22.4","","      22.4","E","         0","E","        36","E","         0","E","        42","E","         0","E","   -3.1","E,0221, ","   27.6","E,0916, ","-0.9","E,1122","-2.9","E,1123","","","","","","","-0.1","E,0406","-2.7","E,0405","","","","","","","","","","","     10.05","E","     13.76","E","      6.34","E"
"UK000000000","1899","52.42","-1.83","78.0","CET CENTRAL ENGLAND, UK","     18.7","","      18.7","E","         0","E","        55","E","         2","E","        62","E","         0","E","   -8.2","E,1214, ","   29.1","E,0824, ","0.0","E,1019","-2.9","E,1203","-8.2","E,1214","-8.2","E,1214","","","-0.7","E,0417","-3.3","E,0325","-5.5","E,0324","","","","","    2941.6","6","    2941.6","E","      9.69","E","     13.78","E","      5.61","E"
"UK000000000","1900","52.42","-1.83","78.0","CET CENTRAL ENGLAND, UK","     23.5","","      23.5","E","         0","E","        38","E","         0","E","        37","E","         0","E","   -8.4","E,0208, ","   29.3","E,0718, ","-1.0","E,1111","","","","","","","","","-2.2","E,0426","-2.2","E,0426","-4.7","E,0318","-6.7","E,0213","","","    3204.1","1","    3204.1","E","      9.57","E","     13.28","E","      5.86","E"
"UK000000000","1901","52.42","-1.83","78.0","CET CENTRAL ENGLAND, UK","     20.6","","      20.6","E","         0","E","        66","E","         4","E","        42","E","         0","E","   -7.3","E,0214, ","   29.9","E,0718, ","-1.5","E,1103","-2.5","E,1104","-6.5","E,1116","","","","","-5.0","E,0329","-5.0","E,0329","-5.0","E,0329","-7.3","E,0214","","","    3177.4","4","    3177.4","E","      9.07","E","     13.01","E","      5.13","E"
"UK000000000","1902","52.42","-1.83","78.0","CET CENTRAL ENGLAND, UK","      4.2","","       4.2","E","         0","E","        44","E","         2","E","        19","E","         0","E","   -9.1","E,0213, ","   27.8","E,0627, ","-0.3","E,1118","-4.1","E,1204","-6.3","E,1207","","","","","-0.6","E,0514","-3.6","E,0218","-6.4","E,0217","-9.1","E,0213","-9.1","E,0213","    3279.9","9","    3279.9","E","      8.83","E","     12.36","E","      5.31","E"
"UK000000000","1903","52.42","-1.83","78.0","CET CENTRAL ENGLAND, UK","      5.7","","       5.7","E","         0","E","        33","E","         1","E","        11","E","         0","E","   -6.1","E,1229, ","   25.8","E,0709, ","-0.7","E,1107","-2.3","E,1130","-6.1","E,1229","","","","","0.0","E,0423","-2.3","E,0418","-4.5","E,0116","","","","","    3253.2","2","    3253.2","E","      9.31","E","     12.67","E","      5.96","E"
