"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"UK000003026","1874","58.33","-6.32","9.0","STORNOWAY AIRPORT, UK","      0.0","","       0.0","G","","","","","","","","","         0","G","        60","G","         2","G","         2","G","         0","G","   -6.7","G,1223, ","","","","","   22.2","G,0718, ","-1.7","G,1111","-2.8","G,1202","-6.7","G,1223","-6.7","G,1223","","","0.0","G,0423","-3.3","G,0312","-5.0","G,0311","","","","","    3809.6","6","    3809.6","G","","","      7.45","G","     10.56","G","      4.34","G"
"UK000003026","1875","58.33","-6.32","9.0","STORNOWAY AIRPORT, UK","      0.0","","       0.0","G","","","","","","","","","         0","G","        64","G","         0","G","         1","G","         0","G","   -6.1","G,1207, ","","","","","   21.7","G,0720, ","0.0","G,0903","-2.8","G,1110","-4.4","G,1201","","","","","0.0","G,0423","-3.3","G,0306","-5.0","G,0305","","","","","    3813.0","0","    3813.0","G","","","      7.64","G","     10.87","G","      4.41","G"
"UK000003026","1876","58.33","-6.32","9.0","STORNOWAY AIRPORT, UK","      0.3","","       0.3","G","","","","","","","","","         0","G","        68","G","         0","G","        10","G","         0","G","   -6.7","G,0220, ","","","","","   23.3","G,0818,+","-1.7","G,1108","-2.2","G,1110","","","","","","","-2.8","G,0502","-2.8","G,0502","-5.0","G,0414","-6.7","G,0220","","","    3891.0","0","    3891.0","G","","","      7.49","G","     10.42","G","      4.56","G"
"UK000003026","1877","58.33","-6.32","9.0","STORNOWAY AIRPORT, UK","      0.0","","       0.0","G","","","","","","","","","         0","G","        84","G","         0","G","         3","G","         0","G","   -9.4","G,0103, ","","","","","   21.1","G,0617,+","-1.1","G,1016","-2.2","G,1124","-5.0","G,1225","","","","","-1.7","G,0508","-2.8","G,0505","-6.1","G,0301","-6.7","G,0228","-9.4","G,0103","    3869.0","0","    3869.0","G","","","      6.81","G","      9.91","G","      3.71","G"
"UK000003026","1878","58.33","-6.32","9.0","STORNOWAY AIRPORT, UK","      0.0","","       0.0","G","","","","","","","","","         0","G","        67","G","         0","G","         3","G","         0","G","   -5.6","G,1224,+","","","","","   21.1","G,0724,+","0.0","G,1029","-2.2","G,1208","-5.6","G,1216","","","","","0.0","G,0521","-2.2","G,0401","-4.4","G,0329","","","","","    3895.4","4","    3895.4","G","","","      7.79","G","     10.47","G","      5.11","G"
"UK000003026","1879","58.33","-6.32","9.0","STORNOWAY AIRPORT, UK","      0.0","","       0.0","G","","","","","","","","","         0","G","        65","G","         3","G","         0","G","         0","G","   -8.3","G,1218, ","","","","","   17.8","G,0813,+","0.0","G,1005","-2.8","G,1130","-5.6","G,1202","-8.3","G,1218","","","-1.1","G,0509","-3.9","G,0315","-5.0","G,0112","","","","","    4080.5","5","    4080.5","G","","","      6.63","G","      9.13","G","      4.14","G"
"UK000003026","1881","58.33","-6.32","9.0","STORNOWAY AIRPORT, UK","      0.0","","       0.0","G","","","","","","","","","         0","G","        74","G","         9","G","         1","G","         0","G","  -11.7","G,0117, ","","","","","   21.1","G,0528, ","-1.1","G,1016","-2.8","G,1212","","","","","","","0.0","G,0421","-2.2","G,0409","-6.7","G,0403","-6.7","G,0403","-9.4","G,0322","    3969.9","9","    3969.9","G","","","      6.96","G","      9.89","G","      4.03","G"
"UK000003026","1882","58.33","-6.32","9.0","STORNOWAY AIRPORT, UK","      0.0","","       0.0","G","","","","","","","","","         0","G","        44","G","         0","G","         1","G","         0","G","   -6.1","G,1209, ","","","","","   22.2","G,0519, ","0.0","G,1026","-3.9","G,1206","-6.1","G,1209","","","","","-1.1","G,0501","-3.3","G,0416","","","","","","","    3708.5","5","    3708.5","G","","","      7.91","G","     10.73","G","      5.08","G"
"UK000003026","1884","58.33","-6.32","9.0","STORNOWAY AIRPORT, UK","      0.0","","       0.0","G","","","","","","","","","         0","G","        38","G","         0","G","         7","G","         0","G","   -6.1","G,0126, ","","","","","   21.7","G,0809,+","0.0","G,1029","-2.8","G,1130","","","","","","","0.0","G,0427","-2.2","G,0202","-5.6","G,0127","","","","","    3852.0","0","    3852.0","G","","","      8.02","G","     10.96","G","      5.07","G"
"UK000003026","1885","58.33","-6.32","9.0","STORNOWAY AIRPORT, UK","      0.0","","       0.0","G","","","","","","","","","         0","G","        64","G","         0","G","         0","G","         0","G","   -6.7","G,0216, ","","","","","   20.0","G,0731,+","0.0","G,0927","-2.2","G,1023","-4.4","G,1206","","","","","-1.7","G,0510","-2.2","G,0321","-5.6","G,0218","-6.7","G,0216","","","    3833.0","0","    3833.0","G","","","      7.04","G","     10.02","G","      4.05","G"
"UK000003026","1886","58.33","-6.32","9.0","STORNOWAY AIRPORT, UK","      0.0","","       0.0","G","","","","","","","","","         0","G","        74","G","         1","G","         1","G","         0","G","   -6.7","G,0118, ","","","","","   23.9","G,0721, ","-0.6","G,1105","-3.3","G,1202","-4.4","G,1217","","","","","0.0","G,0531","-4.4","G,0314","-4.4","G,0314","-6.7","G,0118","","","    4067.5","5","    4067.5","G","","","      7.05","G","     10.20","G","      3.91","G"
"UK000003026","1887","58.33","-6.32","9.0","STORNOWAY AIRPORT, UK","      0.0","","       0.0","G","","","","","","","","","         0","G","        66","G","         0","G","         3","G","         0","G","   -4.4","G,1211, ","","","","","   21.1","G,0826,+","-0.6","G,1012","-2.2","G,1208","-4.4","G,1211","","","","","0.0","G,0426","-3.9","G,0316","","","","","","","    3814.0","0","    3814.0","G","","","      7.55","G","     10.62","G","      4.49","G"
"UK000003026","1888","58.33","-6.32","9.0","STORNOWAY AIRPORT, UK","      0.0","","       0.0","G","","","","","","","","","         0","G","        58","G","         0","G","         3","G","         0","G","   -6.7","G,0215, ","","","","","   23.9","G,0626, ","-0.6","G,1004","-2.8","G,1127","","","","","","","0.0","G,0707","-2.8","G,0327","-5.0","G,0224","-6.7","G,0215","","","    4033.8","8","    4033.8","G","","","      7.19","G","     10.15","G","      4.23","G"
"UK000003026","1889","58.33","-6.32","9.0","STORNOWAY AIRPORT, UK","      0.0","","       0.0","G","","","","","","","","","         0","G","        45","G","         1","G","         0","G","         0","G","   -6.7","G,0211,+","","","","","   20.6","G,0731, ","-0.6","G,1026","-2.2","G,1028","","","","","","","-1.1","G,0411","-3.9","G,0302","-6.7","G,0211","-6.7","G,0211","","","    3685.0","0","    3685.0","G","","","      7.96","G","     10.94","G","      4.98","G"
"UK000003026","1890","58.33","-6.32","9.0","STORNOWAY AIRPORT, UK","      0.0","","       0.0","G","","","","","","","","","         0","G","        46","G","         0","G","         1","G","         0","G","   -5.6","G,0309,+","","","","","   21.1","G,0524, ","0.0","G,1026","-3.3","G,1206","","","","","","","-2.2","G,0414","-2.2","G,0414","-5.6","G,0309","","","","","    3639.9","9","    3639.9","G","","","      8.01","G","     10.99","G","      5.03","G"
"UK000003026","1891","58.33","-6.32","9.0","STORNOWAY AIRPORT, UK","      0.0","","       0.0","G","","","","","","","","","         0","G","        69","G","         2","G","         2","G","         0","G","   -8.9","G,0313,+","","","","","   21.7","G,0622, ","-3.9","G,0830","-3.9","G,0830","","","","","","","-1.1","G,0520","-2.2","G,0412","-8.9","G,0313","-8.9","G,0313","-8.9","G,0313","    3892.2","2","    3892.2","G","","","      7.36","G","     10.47","G","      4.26","G"
"UK000003026","1892","58.33","-6.32","9.0","STORNOWAY AIRPORT, UK","      0.0","","       0.0","G","","","","","","","","","         0","G","        98","G","         5","G","         0","G","         0","G","  -11.1","G,0220,+","","","","","   20.0","G,0608, ","0.0","G,1018","-2.8","G,1025","","","","","","","-1.1","G,0508","-3.3","G,0419","-4.4","G,0414","-6.7","G,0312","-11.1","G,0220","    4097.8","8","    4097.8","G","","","      6.49","G","      9.67","G","      3.31","G"
"UK000003026","1893","58.33","-6.32","9.0","STORNOWAY AIRPORT, UK","      0.3","","       0.3","G","","","","","","","","","         0","G","        57","G","         1","G","         7","G","         0","G","   -6.7","G,1202, ","","","","","   24.4","G,0618, ","-0.6","G,1031","-2.2","G,1119","-5.6","G,1201","-6.7","G,1202","","","0.0","G,0502","-3.9","G,0318","-5.6","G,0227","","","","","    3813.1","1","    3813.1","G","","","      8.12","G","     11.27","G","      4.98","G"
"UK000003026","1894","58.33","-6.32","9.0","STORNOWAY AIRPORT, UK","      5.3","","       5.3","G","","","","","","","","","         0","G","        48","G","         0","G","         7","G","         0","G","   -5.6","G,0215, ","","","","","   24.4","G,0702, ","-1.1","G,1023","","","","","","","","","-1.1","G,0522","-5.6","G,0215","-5.6","G,0215","","","","","    3716.0","0","    3716.0","G","","","      8.03","G","     11.04","G","      5.01","G"
"UK000003026","1895","58.33","-6.32","9.0","STORNOWAY AIRPORT, UK","      0.0","","       0.0","G","","","","","","","","","         0","G","        81","G","         3","G","         7","G","         0","G","  -14.4","G,1127, ","","","","","   23.3","G,0602, ","-0.6","G,1004","-2.2","G,1124","-14.4","G,1127","-14.4","G,1127","-14.4","G,1127","0.0","G,0408","-3.9","G,0314","-4.4","G,0303","-7.2","G,0212","-8.9","G,0211","    3780.2","2","    3780.2","G","","","      7.44","G","     10.75","G","      4.13","G"
"UK000003026","1896","58.33","-6.32","9.0","STORNOWAY AIRPORT, UK","      0.0","","       0.0","G","","","","","","","","","         0","G","        37","G","         0","G","         2","G","         0","G","   -5.6","G,0314, ","","","","","   22.2","G,0511, ","-1.1","G,1011","-5.0","G,1201","-5.0","G,1201","","","","","0.0","G,0329","-2.8","G,0315","-5.6","G,0314","","","","","    3584.7","7","    3584.7","G","","","      8.16","G","     11.07","G","      5.24","G"
"UK000003026","1897","58.33","-6.32","9.0","STORNOWAY AIRPORT, UK","      0.8","","       0.8","G","","","","","","","","","         0","G","        62","G","         1","G","        11","G","         0","G","   -5.6","G,0201,+","","","","","   23.9","G,0805,+","0.0","G,1104","-3.3","G,1116","","","","","","","0.0","G,0502","-2.2","G,0403","-5.6","G,0201","","","","","    4051.4","4","    4051.4","G","","","      7.62","G","     10.79","G","      4.46","G"
"UK000003026","1898","58.33","-6.32","9.0","STORNOWAY AIRPORT, UK","      0.0","","       0.0","G","","","","","","","","","         0","G","        38","G","         0","G","         4","G","         0","G","   -3.3","G,0221, ","","","","","   22.2","G,0904, ","-2.8","G,1123","-2.8","G,1123","","","","","","","0.0","G,0514","-2.8","G,0309","","","","","","","    3601.8","8","    3601.8","G","","","      8.04","G","     11.26","G","      4.81","G"
"UK000003026","1899","58.33","-6.32","9.0","STORNOWAY AIRPORT, UK","      0.9","","       0.9","G","","","","","","","","","         0","G","        52","G","         0","G","        13","G","         0","G","   -5.6","G,0324, ","","","","","   23.9","G,0824,+","0.0","G,1203","-2.2","G,1226","","","","","","","-1.7","G,0422","-2.8","G,0418","-4.4","G,0325","","","","","    3758.0","0","    3758.0","G","","","      8.18","G","     11.54","G","      4.81","G"
"UK000003026","1900","58.33","-6.32","9.0","STORNOWAY AIRPORT, UK","      0.0","","       0.0","G","","","","","","","","","         0","G","        44","G","         1","G","         2","G","         0","G","   -7.8","G,0318, ","","","","","   23.3","G,0613, ","0.0","G,1016","","","","","","","","","0.0","G,0407","-4.4","G,0320","-4.4","G,0320","-7.8","G,0318","","","    3619.1","1","    3619.1","G","","","      7.81","G","     11.08","G","      4.55","G"
"UK000003026","1901","58.33","-6.32","9.0","STORNOWAY AIRPORT, UK","      0.0","","       0.0","G","","","","","","","","","         0","G","        64","G","         0","G","         9","G","         0","G","   -5.0","G,0329, ","","","","","   22.8","G,0707, ","-0.6","G,1022","-2.8","G,1123","-4.4","G,1223","","","","","0.0","G,0416","-2.2","G,0405","-5.0","G,0329","","","","","    3774.9","9","    3774.9","G","","","      8.02","G","     11.44","G","      4.61","G"
"UK000003026","1902","58.33","-6.32","9.0","STORNOWAY AIRPORT, UK","      0.3","","       0.3","G","","","","","","","","","         0","G","        50","G","         1","G","         3","G","         0","G","   -8.3","G,0201,+","","","","","   24.4","G,0626, ","0.0","G,1003","-2.8","G,1209","","","","","","","-0.6","G,0516","-2.2","G,0407","-6.1","G,0214","-6.7","G,0208","","","    3754.3","3","    3754.3","G","","","      7.77","G","     11.23","G","      4.31","G"
"UK000003026","1903","58.33","-6.32","9.0","STORNOWAY AIRPORT, UK","      0.0","","       0.0","G","","","","","","","","","         0","G","        44","G","         0","G","         2","G","         0","G","   -3.9","G,0111, ","","","","","   22.8","G,0815, ","0.0","G,1118","-2.8","G,1130","","","","","","","-0.6","G,0519","-2.2","G,0303","","","","","","","    3787.5","5","    3787.5","G","","","      7.62","G","     10.96","G","      4.28","G"
"UK000003026","1904","58.33","-6.32","9.0","STORNOWAY AIRPORT, UK","      0.0","","       0.0","G","","","","","","","","","         0","G","        52","G","         1","G","         5","G","         0","G","   -4.4","G,1211, ","","","","","   23.3","G,0531, ","0.0","G,0914","-2.2","G,1111","-4.4","G,1211","","","","","-1.1","G,0512","-3.3","G,0316","","","","","","","    3910.8","8","    3910.8","G","","","      7.88","G","     10.99","G","      4.78","G"
"UK000003026","1905","58.33","-6.32","9.0","STORNOWAY AIRPORT, UK","","","","","","","","","","","","","         0","G","        30","G","         0","G","         7","G","         0","G","   -3.9","G,0212, ","","","","","   24.4","G,0624,+","-1.1","G,1118","-2.8","G,1129","","","","","","","0.0","G,0412","-3.3","G,0409","","","","","","","","","","","","","      8.21","G","     11.19","G","      5.23","G"
"UK000003026","1906","58.33","-6.32","9.0","STORNOWAY AIRPORT, UK","","","","","","","","","","","","","         0","G","        59","G","         4","G","         5","G","         0","G","   -7.2","G,0315, ","","","","","   25.0","G,0901, ","0.0","G,1019","-2.2","G,1214","-4.4","G,1229","","","","","-1.1","G,0511","-3.3","G,0502","-7.2","G,0315","-7.2","G,0315","","","    3786.9","9","    3786.9","G","","","      7.86","G","     11.08","G","      4.64","G"
"UK000003026","1907","58.33","-6.32","9.0","STORNOWAY AIRPORT, UK","      0.0","","       0.0","G","","","","","","","","","         0","G","        44","G","         1","G","         2","G","         0","G","   -5.0","G,0213,+","","","","","   23.3","G,0715, ","-0.6","G,1008","","","","","","","","","0.0","G,0405","-2.2","G,0312","-5.0","G,0213","","","","","","","","","","","      7.72","G","     10.52","G","      4.91","G"
"UK000003026","1908","58.33","-6.32","9.0","STORNOWAY AIRPORT, UK","      0.0","","       0.0","G","","","","","","","","","         0","G","        29","G","         0","G","         3","G","         0","G","   -3.9","G,0425,+","","","","","   23.9","G,0529, ","0.0","G,1120","","","","","","","","","-3.9","G,0425","-3.9","G,0425","","","","","","","    3799.5","5","    3799.5","G","","","      8.47","G","     11.23","G","      5.71","G"
"UK000003026","1909","58.33","-6.32","9.0","STORNOWAY AIRPORT, UK","      0.0","","       0.0","G","","","","","","","","","         0","G","        57","G","         2","G","         0","G","         0","G","   -7.2","G,0305, ","","","","","   20.0","G,0701, ","-2.8","G,1114","-2.8","G,1114","-5.0","G,1219","","","","","0.0","G,0516","-5.0","G,0319","-5.0","G,0319","-6.7","G,0307","","","    3551.7","7","    3551.7","G","","","      7.63","G","     10.44","G","      4.82","G"
"UK000003026","1910","58.33","-6.32","9.0","STORNOWAY AIRPORT, UK","      0.0","","       0.0","G","","","","","","","","","         0","G","        39","G","         2","G","         2","G","         0","G","   -8.9","G,0127, ","","","","","   22.2","G,0608, ","-0.6","G,1106","-2.2","G,1110","","","","","","","0.0","G,0510","-3.9","G,0129","-8.3","G,0128","-8.3","G,0128","-8.9","G,0127","    3786.3","3","    3786.3","G","","","      7.95","G","     10.73","G","      5.16","G"
"UK000003026","1911","58.33","-6.32","9.0","STORNOWAY AIRPORT, UK","      0.9","","       0.9","G","","","","","","","","","         0","G","        26","G","         0","G","        10","G","         0","G","   -3.3","G,1127, ","","","","","   25.6","G,0602, ","-0.6","G,1028","-2.8","G,1125","","","","","","","0.0","G,0417","-2.2","G,0322","","","","","","","    3605.0","0","    3605.0","G","","","      8.37","G","     11.34","G","      5.41","G"
"UK000003026","1912","58.33","-6.32","9.0","STORNOWAY AIRPORT, UK","      0.0","","       0.0","G","","","","","","","","","         0","G","        40","G","         7","G","         0","G","         0","G","   -9.4","G,0205, ","","","","","   18.9","G,0628,+","0.0","G,1022","-3.3","G,1128","-6.1","G,1129","-8.9","G,1202","-8.9","G,1202","-1.1","G,0412","-7.2","G,0206","-7.2","G,0206","-7.2","G,0206","-9.4","G,0205","    3657.4","4","    3657.4","G","","","      7.78","G","     10.53","G","      5.04","G"
"UK000003026","1913","58.33","-6.32","9.0","STORNOWAY AIRPORT, UK","      0.0","","       0.0","G","","","","","","","","","         0","G","        27","G","         0","G","         0","G","         0","G","   -5.0","G,1206, ","","","","","   19.4","G,0826, ","-1.1","G,1205","-5.0","G,1206","-5.0","G,1206","","","","","0.0","G,0412","-2.2","G,0401","","","","","","","    3670.1","1","    3670.1","G","","","      8.34","G","     11.04","G","      5.63","G"
"UK000003026","1914","58.33","-6.32","9.0","STORNOWAY AIRPORT, UK","      0.0","","       0.0","G","","","","","","","","","         0","G","        27","G","         0","G","         6","G","         0","G","   -3.3","G,1225,+","","","","","   22.8","G,0814, ","-1.1","G,1114","-2.2","G,1221","","","","","","","0.0","G,0328","","","","","","","","","    3467.0","0","    3467.0","G","","","      8.47","G","     11.30","G","      5.63","G"
"UK000003026","1915","58.33","-6.32","9.0","STORNOWAY AIRPORT, UK","      0.0","","       0.0","G","","","","","","","","","         0","G","        40","G","         0","G","         0","G","         0","G","   -5.0","G,1205, ","","","","","   20.6","G,0909, ","0.0","G,1111","-2.8","G,1118","-5.0","G,1205","","","","","0.0","G,0514","-4.4","G,0318","-4.4","G,0318","","","","","    3672.0","0","    3672.0","G","","","      7.77","G","     10.51","G","      5.04","G"
"UK000003026","1916","58.33","-6.32","9.0","STORNOWAY AIRPORT, UK","      0.0","","       0.0","G","","","","","","","","","         0","G","        33","G","         0","G","         2","G","         0","G","   -3.3","G,0329, ","","","","","   22.2","G,0722, ","0.0","G,1017","","","","","","","","","-1.7","G,0406","-2.2","G,0330","","","","","","","    3801.0","0","    3801.0","G","","","      8.02","G","     10.65","G","      5.39","G"
