"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"UK000044841","1931","53.77","-0.37","2.0","HULL, UK","       204","I","        83","I","         3","I","  33.0"," ,I,0904, ","    795.0"," ,I"
"UK000044841","1932","53.77","-0.37","2.0","HULL, UK","       194","I","        71","I","         1","I","  42.2"," ,I,0521, ","    571.1"," ,I"
"UK000044841","1933","53.77","-0.37","2.0","HULL, UK","       172","I","        69","I","         3","I","  57.1"," ,I,1010, ","    603.5"," ,I"
"UK000044841","1934","53.77","-0.37","2.0","HULL, UK","       171","I","        64","I","         0","I","  23.9"," ,I,0828, ","    544.9"," ,I"
"UK000044841","1935","53.77","-0.37","2.0","HULL, UK","       159","I","        83","I","         1","I","  30.7"," ,I,0924, ","    662.4"," ,I"
"UK000044841","1936","53.77","-0.37","2.0","HULL, UK","       219","I","        97","I","         6","I","  54.1"," ,I,0603, ","    964.1"," ,I"
"UK000044841","1937","53.77","-0.37","2.0","HULL, UK","       183","I","        78","I","         2","I","  43.7"," ,I,1202, ","    752.7"," ,I"
"UK000044841","1938","53.77","-0.37","2.0","HULL, UK","       169","I","        78","I","         1","I","  34.8"," ,I,0828, ","    670.5"," ,I"
"UK000044841","1939","53.77","-0.37","2.0","HULL, UK","       180","I","        75","I","         4","I","  41.1"," ,I,0619, ","    733.8"," ,I"
"UK000044841","1940","53.77","-0.37","2.0","HULL, UK","       186","I","        72","I","         2","I","  47.0"," ,I,0710, ","    670.6"," ,I"
"UK000044841","1941","53.77","-0.37","2.0","HULL, UK","       186","I","        73","I","         0","I","  24.4"," ,I,1009,+","    647.9"," ,I"
"UK000044841","1942","53.77","-0.37","2.0","HULL, UK","       186","I","        76","I","         0","I","  16.3"," ,I,0924, ","    572.4"," ,I"
"UK000044841","1943","53.77","-0.37","2.0","HULL, UK","       164","I","        72","I","         1","I","  27.2"," ,I,0910, ","    526.8"," ,I"
"UK000044841","1944","53.77","-0.37","2.0","HULL, UK","       195","I","        81","I","         2","I","  27.9"," ,I,0710, ","    715.3"," ,I"
"UK000044841","1945","53.77","-0.37","2.0","HULL, UK","       183","I","        65","I","         0","I","  16.3"," ,I,0622, ","    498.6"," ,I"
"UK000044841","1946","53.77","-0.37","2.0","HULL, UK","       202","I","        86","I","         1","I","  39.4"," ,I,0920, ","    797.0"," ,I"
"UK000044841","1947","53.77","-0.37","2.0","HULL, UK","       164","I","        66","I","         1","I","  31.0"," ,I,0312, ","    510.3"," ,I"
"UK000044841","1948","53.77","-0.37","2.0","HULL, UK","       162","I","        69","I","         5","I","  43.9"," ,I,0602, ","    626.8"," ,I"
"UK000044841","1949","53.77","-0.37","2.0","HULL, UK","       132","I","        60","I","         0","I","  19.8"," ,I,0405, ","    493.2"," ,I"
"UK000044841","1950","53.77","-0.37","2.0","HULL, UK","       197","I","        88","I","         2","I","  38.1"," ,I,0807, ","    786.1"," ,I"
"UK000044841","1951","53.77","-0.37","2.0","HULL, UK","       183","I","        81","I","         3","I","  50.3"," ,I,0806, ","    706.4"," ,I"
"UK000044841","1952","53.77","-0.37","2.0","HULL, UK","       182","I","        70","I","         1","I","  34.5"," ,I,0731, ","    607.2"," ,I"
"UK000044841","1953","53.77","-0.37","2.0","HULL, UK","       147","I","        69","I","         0","I","  21.8"," ,I,0616, ","    544.8"," ,I"
"UK000044841","1954","53.77","-0.37","2.0","HULL, UK","       177","I","        93","I","         2","I","  30.2"," ,I,1105, ","    795.8"," ,I"
"UK000044841","1955","53.77","-0.37","2.0","HULL, UK","       138","I","        62","I","         1","I","  29.5"," ,I,0517, ","    514.6"," ,I"
"UK000044841","1956","53.77","-0.37","2.0","HULL, UK","       179","I","        81","I","         2","I","  29.5"," ,I,0801, ","    667.7"," ,I"
"UK000044841","1957","53.77","-0.37","2.0","HULL, UK","       166","I","        78","I","         0","I","  24.6"," ,I,1103, ","    633.9"," ,I"
"UK000044841","1958","53.77","-0.37","2.0","HULL, UK","       174","I","        95","I","         0","I","  23.1"," ,I,0224, ","    727.0"," ,I"
"UK000044841","1959","53.77","-0.37","2.0","HULL, UK","       127","I","        70","I","         0","I","  15.0"," ,I,1026, ","    450.4"," ,I"
"UK000044841","1960","53.77","-0.37","2.0","HULL, UK","       180","I","        90","I","         2","I","  25.9"," ,I,1203, ","    774.5"," ,I"
"UK000044841","1961","53.77","-0.37","2.0","HULL, UK","       171","I","        84","I","         0","I","  19.0"," ,I,0712, ","    675.4"," ,I"
"UK000044841","1962","53.77","-0.37","2.0","HULL, UK","       155","I","        69","I","         1","I","  30.7"," ,I,0806, ","    534.1"," ,I"
"UK000044841","1963","53.77","-0.37","2.0","HULL, UK","       187","I","        80","I","         3","I","  50.8"," ,I,0628, ","    687.6"," ,I"
"UK000044841","1964","53.77","-0.37","2.0","HULL, UK","       153","I","        59","I","         1","I","  39.4"," ,I,0314, ","    455.2"," ,I"
"UK000044841","1965","53.77","-0.37","2.0","HULL, UK","       210","I","        91","I","         0","I","  24.6"," ,I,0908, ","    748.4"," ,I"
"UK000044841","1966","53.77","-0.37","2.0","HULL, UK","       192","I","        88","I","         2","I","  31.2"," ,I,0207, ","    787.7"," ,I"
"UK000044841","1967","53.77","-0.37","2.0","HULL, UK","       173","I","        74","I","         2","I","  30.2"," ,I,1016, ","    586.5"," ,I"
"UK000044841","1968","53.77","-0.37","2.0","HULL, UK","       177","I","        88","I","         4","I","  70.4"," ,I,0911, ","    798.0"," ,I"
"UK000044841","1969","53.77","-0.37","2.0","HULL, UK","       187","I","        83","I","         1","I","  45.5"," ,I,0728, ","    830.1"," ,I"
"UK000044841","1970","53.77","-0.37","2.0","HULL, UK","       181","I","        89","I","         1","I","  26.7"," ,I,0412, ","    654.4"," ,I"
"UK000044841","1971","53.77","-0.37","2.0","HULL, UK","       137","I","        65","I","         1","I","  29.7"," ,I,0423, ","    578.0"," ,I"
"UK000044841","1972","53.77","-0.37","2.0","HULL, UK","       157","I","        71","I","         1","I","  30.5"," ,I,0908, ","    514.4"," ,I"
"UK000044841","1973","53.77","-0.37","2.0","HULL, UK","       135","I","        57","I","         2","I","  46.4"," ,I,0715, ","    569.2"," ,I"
"UK000044841","1974","53.77","-0.37","2.0","HULL, UK","       155","I","        77","I","         1","I","  27.4"," ,I,1007, ","    660.0"," ,I"
"UK000044841","1975","53.77","-0.37","2.0","HULL, UK","       136","I","        61","I","         1","I","  29.4"," ,I,1201, ","    512.2"," ,I"
"UK000044841","1976","53.77","-0.37","2.0","HULL, UK","       150","I","        64","I","         2","I","  31.1"," ,I,0924, ","    598.9"," ,I"
"UK000044841","1977","53.77","-0.37","2.0","HULL, UK","       176","I","        84","I","         0","I","  21.5"," ,I,0502, ","    633.6"," ,I"
"UK000044841","1978","53.77","-0.37","2.0","HULL, UK","       175","I","        84","I","         3","I","  31.0"," ,I,0505, ","    726.1"," ,I"
"UK000044841","1979","53.77","-0.37","2.0","HULL, UK","       177","I","        80","I","         1","I","  26.9"," ,I,0813, ","    786.4"," ,I"
"UK000044841","1980","53.77","-0.37","2.0","HULL, UK","       186","I","        86","I","         2","I","  42.3"," ,I,0814, ","    831.7"," ,I"
"UK000044841","1981","53.77","-0.37","2.0","HULL, UK","       184","I","        85","I","         2","I","  37.0"," ,I,0424, ","    755.9"," ,I"
"UK000044841","1982","53.77","-0.37","2.0","HULL, UK","       157","I","        79","I","         3","I","  67.4"," ,I,0622, ","    681.1"," ,I"
"UK000044841","1983","53.77","-0.37","2.0","HULL, UK","       164","I","        74","I","         3","I","  40.7"," ,I,1209, ","    712.5"," ,I"
"UK000044841","1984","53.77","-0.37","2.0","HULL, UK","       158","I","        87","I","         3","I","  30.1"," ,I,0803, ","    707.8"," ,I"
"UK000044841","1985","53.77","-0.37","2.0","HULL, UK","       179","I","        87","I","         2","I","  34.8"," ,I,0514, ","    712.9"," ,I"
"UK000044841","1986","53.77","-0.37","2.0","HULL, UK","       187","I","        82","I","         1","I","  46.8"," ,I,0825, ","    714.5"," ,I"
"UK000044841","1987","53.77","-0.37","2.0","HULL, UK","       173","I","        75","I","         2","I","  29.4"," ,I,0916, ","    718.6"," ,I"
"UK000044841","1988","53.77","-0.37","2.0","HULL, UK","       162","I","        80","I","         0","I","  19.8"," ,I,1129, ","    563.3"," ,I"
"UK000044841","1989","53.77","-0.37","2.0","HULL, UK","       128","I","        56","I","         1","I","  34.0"," ,I,0730, ","    506.7"," ,I"
"UK000044841","1990","53.77","-0.37","2.0","HULL, UK","       155","I","        64","I","         1","I","  33.7"," ,I,1207, ","    515.6"," ,I"
"UK000044841","1991","53.77","-0.37","2.0","HULL, UK","       124","I","        57","I","         2","I","  42.0"," ,I,0928, ","    457.6"," ,I"
"UK000044841","1992","53.77","-0.37","2.0","HULL, UK","       166","I","        78","I","         2","I","  28.5"," ,I,0703, ","    728.1"," ,I"
"UK000044841","1993","53.77","-0.37","2.0","HULL, UK","       152","I","        81","I","         2","I","  50.0"," ,I,1113, ","    710.9"," ,I"
"UK000044841","1994","53.77","-0.37","2.0","HULL, UK","       154","I","        78","I","         1","I","  42.9"," ,I,0914, ","    673.3"," ,I"
"UK000044841","1995","53.77","-0.37","2.0","HULL, UK","       141","I","        71","I","         2","I","  27.2"," ,I,0910, ","    578.1"," ,I"
"UK000044841","1996","53.77","-0.37","2.0","HULL, UK","       146","I","        72","I","         3","I","  30.3"," ,I,0806, ","    603.1"," ,I"
"UK000044841","1997","53.77","-0.37","2.0","HULL, UK","       150","I","        82","I","         0","I","  24.2"," ,I,1008,+","    654.0"," ,I"
"UK000044841","1998","53.77","-0.37","2.0","HULL, UK","       174","I","        89","I","         3","I","  38.6"," ,I,0602, ","    735.4"," ,I"
"UK000044841","1999","53.77","-0.37","2.0","HULL, UK","       173","I","        82","I","         1","I","  34.6"," ,I,0607, ","    731.1"," ,I"
