"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"UK000047811","1838","54.35","-6.65","62.0","ARMAGH, UK","","","","","       141","E","        91","E","         2","E","","","","","","","","","","","","","  34.9"," ,E,0619, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    765.7"," ,E","","","","","",""
"UK000047811","1839","54.35","-6.65","62.0","ARMAGH, UK","","","","","       175","E","        86","E","         5","E","","","","","","","","","","","","","  36.9"," ,E,1023, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    787.6"," ,E","","","","","",""
"UK000047811","1840","54.35","-6.65","62.0","ARMAGH, UK","","","","","       161","E","        76","E","         2","E","","","","","","","","","","","","","  31.7"," ,E,0720, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    635.7"," ,E","","","","","",""
"UK000047811","1841","54.35","-6.65","62.0","ARMAGH, UK","","","","","       186","E","        84","E","         2","E","","","","","","","","","","","","","  27.6"," ,E,0927, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    729.1"," ,E","","","","","",""
"UK000047811","1843","54.35","-6.65","62.0","ARMAGH, UK","","","","","       158","E","        84","E","         5","E","","","","","","","","","","","","","  34.5"," ,E,1119, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    850.3"," ,E","","","","","",""
"UK000047811","1844","54.35","-6.65","62.0","ARMAGH, UK","      1.5","","       1.5","E","       149","E","        70","E","         3","E","         0","E","        53","E","         1","E","        14","E","         0","E","   -4.6","E,0226, ","  31.1"," ,E,0913, ","   24.8","E,0901, ","-0.2","E,1111","","","","","","","","","0.0","E,0518","-2.6","E,0317","-4.6","E,0226","","","","","","","","","    625.1"," ,E","      9.20","E","     12.95","E","      5.44","E"
"UK000047811","1845","54.35","-6.65","62.0","ARMAGH, UK","      0.3","","       0.3","E","       161","E","        85","E","         5","E","         0","E","        32","E","         0","E","         8","E","         0","E","   -6.4","E,0316, ","  47.0"," ,E,0627, ","   25.2","E,0612, ","-0.9","E,1113","","","","","","","","","-0.1","E,0406","-4.3","E,0319","-6.4","E,0316","","","","","    3406.3","3","    3406.3","E","    851.4"," ,E","      9.01","E","     12.75","E","      5.28","E"
"UK000047811","1846","54.35","-6.65","62.0","ARMAGH, UK","     29.0","","      29.0","E","       168","E","        96","E","         3","E","         0","E","        28","E","         2","E","        45","E","         0","E","   -7.6","E,1212, ","  34.2"," ,E,0923, ","   28.3","E,0618, ","-1.1","E,1127","-2.5","E,1128","-4.4","E,1210","-7.6","E,1212","","","-0.1","E,0320","-3.4","E,0319","","","","","","","    3056.4","4","    3056.4","E","    810.6"," ,E","     10.40","E","     14.13","E","      6.67","E"
"UK000047811","1847","54.35","-6.65","62.0","ARMAGH, UK","     12.0","","      12.0","E","       181","E","        82","E","         0","E","         0","E","        36","E","         0","E","        37","E","         0","E","   -5.8","E,0212, ","  22.1"," ,E,0612, ","   27.1","E,0714, ","-0.3","E,1206","-3.1","E,1230","","","","","","","0.0","E,0414","-3.2","E,0310","-5.8","E,0212","","","","","    3182.3","3","    3182.3","E","    702.4"," ,E","      9.61","E","     13.37","E","      5.84","E"
"UK000047811","1848","54.35","-6.65","62.0","ARMAGH, UK","      2.4","","       2.4","E","       159","E","        88","E","         2","E","         0","E","        40","E","         0","E","        25","E","         0","E","   -7.3","E,0128, ","  28.0"," ,E,0820, ","   26.1","E,0713, ","-0.4","E,1017","-2.2","E,1019","","","","","","","-0.3","E,0429","-2.7","E,0215","-7.3","E,0128","-7.3","E,0128","","","    3131.7","7","    3131.7","E","    790.0"," ,E","      9.19","E","     13.15","E","      5.23","E"
