"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"UKE00105003","1898","52.245","0.1031","26.0","CAMBRIDGE NIAB, UK","       139","E","        65","E","         0","E","  16.0"," ,E,0806, ","    457.9"," ,E"
"UKE00105003","1900","52.245","0.1031","26.0","CAMBRIDGE NIAB, UK","       169","E","        62","E","         0","E","  21.3"," ,E,1230, ","    507.5"," ,E"
"UKE00105003","1901","52.245","0.1031","26.0","CAMBRIDGE NIAB, UK","       128","E","        48","E","         2","E","  30.0"," ,E,0630, ","    428.9"," ,E"
"UKE00105003","1902","52.245","0.1031","26.0","CAMBRIDGE NIAB, UK","       145","E","        55","E","         1","E","  32.0"," ,E,0530, ","    401.8"," ,E"
"UKE00105003","1903","52.245","0.1031","26.0","CAMBRIDGE NIAB, UK","       169","E","        86","E","         2","E","  59.4"," ,E,0723, ","    775.4"," ,E"
"UKE00105003","1904","52.245","0.1031","26.0","CAMBRIDGE NIAB, UK","       164","E","        59","E","         2","E","  37.8"," ,E,0730, ","    448.1"," ,E"
"UKE00105003","1905","52.245","0.1031","26.0","CAMBRIDGE NIAB, UK","       180","E","        63","E","         1","E","  25.4"," ,E,0925, ","    486.7"," ,E"
"UKE00105003","1906","52.245","0.1031","26.0","CAMBRIDGE NIAB, UK","       171","E","        78","E","         1","E","  49.0"," ,E,0628, ","    568.2"," ,E"
"UKE00105003","1907","52.245","0.1031","26.0","CAMBRIDGE NIAB, UK","       169","E","        72","E","         0","E","  22.1"," ,E,0629, ","    540.2"," ,E"
"UKE00105003","1908","52.245","0.1031","26.0","CAMBRIDGE NIAB, UK","       165","E","        60","E","         0","E","  22.9"," ,E,0423, ","    448.2"," ,E"
"UKE00105003","1909","52.245","0.1031","26.0","CAMBRIDGE NIAB, UK","       179","E","        70","E","         0","E","  19.0"," ,E,0429, ","    586.9"," ,E"
"UKE00105003","1910","52.245","0.1031","26.0","CAMBRIDGE NIAB, UK","       185","E","        68","E","         1","E","  34.8"," ,E,1011, ","    581.3"," ,E"
"UKE00105003","1911","52.245","0.1031","26.0","CAMBRIDGE NIAB, UK","       150","E","        66","E","         0","E","  22.9"," ,E,0623, ","    482.8"," ,E"
"UKE00105003","1912","52.245","0.1031","26.0","CAMBRIDGE NIAB, UK","       182","E","        89","E","         1","E","  43.9"," ,E,0826, ","    693.7"," ,E"
"UKE00105003","1913","52.245","0.1031","26.0","CAMBRIDGE NIAB, UK","       158","E","        58","E","         1","E","  30.0"," ,E,0617, ","    475.5"," ,E"
"UKE00105003","1914","52.245","0.1031","26.0","CAMBRIDGE NIAB, UK","       169","E","        70","E","         1","E","  35.8"," ,E,1228, ","    592.0"," ,E"
