"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"UKE00105880","1960","49.2167","-2.2","84.0","JERSEY AIRPORT, UK","","","","","       203","E","       119","E","         3","E","","","","","         0","E","        20","E","         0","E","","","  28.4"," ,E,0809, ","   26.7","E,0602, ","","","","","","","","","","","","","","","","","","","","","","","   1088.2"," ,E","","","     14.05","E","",""
"UKE00105880","1961","49.2167","-2.2","84.0","JERSEY AIRPORT, UK","","","","","       154","E","        89","E","         1","E","","","","","","","","","","","","","  28.2"," ,E,0714, ","","","","","","","","","","","","","","","","","","","","","","","","","    819.3"," ,E","","","","","",""
"UKE00105880","1962","49.2167","-2.2","84.0","JERSEY AIRPORT, UK","      1.5","","       1.5","E","       160","E","        94","E","         3","E","         0","E","        22","E","         1","E","        14","E","         0","E","   -4.3","E,1225, ","  33.7"," ,E,1229, ","   25.7","E,0831, ","-0.2","E,1205","-4.3","E,1225","","","","","-0.4","E,0318","-3.2","E,0227","","","","","","","","","","","    831.8"," ,E","     10.32","E","     12.91","E","      7.73","E"
"UKE00105880","1963","49.2167","-2.2","84.0","JERSEY AIRPORT, UK","","","","","       166","E","        98","E","         1","E","         0","E","        49","E","         7","E","        18","E","         0","E","  -10.9","E,0120, ","  47.1"," ,E,0901, ","   27.0","E,0728, ","-0.3","E,1209","-3.7","E,1215","-4.6","E,1224","","","-0.6","E,0324","-2.4","E,0226","-4.5","E,0203","-7.5","E,0202","-9.5","E,0121","","","","","    765.2"," ,E","      9.70","E","     12.23","E","      7.17","E"
"UKE00105880","1964","49.2167","-2.2","84.0","JERSEY AIRPORT, UK","     12.9","","      12.9","E","       146","E","        72","E","         4","E","         0","E","        16","E","         0","E","        21","E","         0","E","   -2.6","E,0123, ","  39.1"," ,E,1007, ","   28.0","E,0824, ","-0.2","E,1222","-2.5","E,1228","","","","","-0.3","E,0310","-2.4","E,0307","","","","","","","","","","","    796.8"," ,E","     10.72","E","     13.42","E","      8.02","E"
"UKE00105880","1965","49.2167","-2.2","84.0","JERSEY AIRPORT, UK","","","","","       181","E","       108","E","         3","E","         0","E","        15","E","","","","","","","   -2.6","E,0222, ","  33.8"," ,E,0904, ","","","-2.4","E,1115","-2.4","E,1115","","","","","-0.4","E,0309","-2.2","E,0303","","","","","","","    2647.5","5","    2647.5","E","    982.0"," ,E","","","","","      7.71","E"
"UKE00105880","1966","49.2167","-2.2","84.0","JERSEY AIRPORT, UK","","","","","       201","E","       123","E","         4","E","         0","E","         7","E","         1","E","        14","E","         0","E","   -7.6","E,0119, ","  37.6"," ,E,1027, ","   24.8","E,0809, ","","","","","","","","","-6.2","E,0120","-6.2","E,0120","-6.2","E,0120","-7.6","E,0119","","","","","","","   1023.2"," ,E","     11.30","E","     13.77","E","      8.83","E"
"UKE00105880","1967","49.2167","-2.2","84.0","JERSEY AIRPORT, UK","      8.5","","       8.5","E","       180","E","       106","E","         0","E","         0","E","         9","E","         0","E","        23","E","         0","E","   -3.7","E,0109, ","  24.8"," ,E,1104, ","   27.2","E,0710, ","-1.7","E,1209","","","","","","","-2.2","E,0215","-2.2","E,0215","","","","","","","    2573.0","0","    2573.0","E","    911.6"," ,E","     10.91","E","     13.54","E","      8.28","E"
"UKE00105880","1968","49.2167","-2.2","84.0","JERSEY AIRPORT, UK","","","","","       158","E","        90","E","         2","E","         0","E","         9","E","         0","E","        13","E","         0","E","   -5.0","E,1214, ","  27.8"," ,E,1011, ","   31.2","E,0629, ","-0.1","E,1213","-5.0","E,1214","-5.0","E,1214","","","0.0","E,0226","","","","","","","","","    2641.0","0","    2641.0","E","    785.1"," ,E","     10.69","E","     13.37","E","      8.00","E"
"UKE00105880","1969","49.2167","-2.2","84.0","JERSEY AIRPORT, UK","     13.7","","      13.7","E","       169","E","        87","E","         3","E","         0","E","        17","E","         0","E","        28","E","         0","E","   -3.7","E,0215, ","  62.3"," ,E,0706, ","   30.9","E,0806, ","-0.1","E,1207","","","","","","","-0.4","E,0308","-2.4","E,0216","","","","","","","","","","","    768.6"," ,E","     11.04","E","     13.88","E","      8.20","E"
"UKE00105880","1970","49.2167","-2.2","84.0","JERSEY AIRPORT, UK","","","","","       194","E","       107","E","         3","E","         0","E","        18","E","         0","E","        25","E","         0","E","   -8.4","E,1227, ","  49.6"," ,E,0803, ","   28.2","E,0704, ","-2.3","E,1225","-2.3","E,1225","-8.4","E,1227","-8.4","E,1227","-0.5","E,0409","","","","","","","","","    2525.8","8","    2525.8","E","    939.7"," ,E","     10.87","E","     13.66","E","      8.07","E"
"UKE00105880","1971","49.2167","-2.2","84.0","JERSEY AIRPORT, UK","     23.9","","      23.9","E","       129","E","        76","E","         1","E","         0","E","         9","E","         0","E","        33","E","         0","E","   -4.7","E,0307, ","  33.1"," ,E,1105, ","   29.5","E,0707, ","","","","","","","","","-0.8","E,0313","-3.0","E,0308","-4.7","E,0307","","","","","","","","","    659.5"," ,E","     11.11","E","     14.06","E","      8.16","E"
"UKE00105880","1972","49.2167","-2.2","84.0","JERSEY AIRPORT, UK","      0.0","","       0.0","E","       171","E","        89","E","         4","E","         0","E","         7","E","         0","E","        11","E","         0","E","   -3.8","E,0130, ","  37.4"," ,E,1116, ","   23.2","E,0716, ","-1.3","E,1220","","","","","","","-2.7","E,0131","-2.7","E,0131","","","","","","","    2550.7","7","    2550.7","E","    830.7"," ,E","     10.37","E","     13.05","E","      7.69","E"
