"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"UKE00105917","1960","51.185","0.9481","56.0","WYE, UK","      4.5","","       4.5","E","","","","","","","         0","E","        63","E","         3","E","        38","E","         0","E","   -8.3","E,0114, ","","","   26.7","E,0617,+","-0.6","E,1013","-2.2","E,1208","","","","","","","-0.6","E,0503","-2.2","E,0308","-4.4","E,0224","-8.3","E,0114","","","","","","","","","      9.53","E","     13.63","E","      5.42","E"
"UKE00105917","1961","51.185","0.9481","56.0","WYE, UK","","","","","       142","E","        81","E","         1","E","         0","E","        54","E","         2","E","        51","E","         1","E","   -6.1","E,1226,+","  30.2"," ,E,1127, ","   32.2","E,0630, ","-1.7","E,1110","-3.9","E,1124","-6.1","E,1218","","","","","0.0","E,0528","-2.8","E,0320","","","","","","","    2999.4","4","    2999.4","E","    672.2"," ,E","     10.46","E","     14.74","E","      6.17","E"
"UKE00105917","1962","51.185","0.9481","56.0","WYE, UK","      0.0","","       0.0","E","       150","E","        66","E","         0","E","         0","E","        77","E","         5","E","        35","E","         0","E","   -7.8","E,1205,+","  24.6"," ,E,0806, ","   23.9","E,0902,+","-2.2","E,1101","-2.2","E,1101","-6.1","E,1204","-7.8","E,1205","","","-1.1","E,0603","-5.6","E,0325","-5.6","E,0325","-6.7","E,0306","","","","","","","    629.6"," ,E","      8.81","E","     12.70","E","      4.92","E"
"UKE00105917","1963","51.185","0.9481","56.0","WYE, UK","      1.1","","       1.1","E","       159","E","        92","E","         0","E","         0","E","        89","E","        26","E","        27","E","         0","E","  -11.1","E,0124, ","  24.9"," ,E,0523, ","   25.6","E,0722, ","-0.6","E,1114","-2.2","E,1121","-6.1","E,1209","-7.2","E,1224","","","-1.7","E,0427","-3.3","E,0401","-4.4","E,0302","-7.8","E,0225","-9.4","E,0126","    3520.5","5","    3520.5","E","    752.3"," ,E","      8.55","E","     12.03","E","      5.07","E"
"UKE00105917","1964","51.185","0.9481","56.0","WYE, UK","","","","","       147","E","        76","E","         2","E","         0","E","        56","E","","","","","","","  -10.0","E,1229, ","  34.8"," ,E,1014, ","","","0.0","E,1010","-2.2","E,1111","-5.0","E,1129","-10.0","E,1229","-10.0","E,1229","-1.7","E,0407","-3.3","E,0310","-4.4","E,0221","-6.7","E,0114","","","    3086.8","8","    3086.8","E","    628.7"," ,E","","","","","      5.77","E"
"UKE00105917","1965","51.185","0.9481","56.0","WYE, UK","","","","","       181","E","        94","E","         2","E","","","","","","","","","","","","","  57.2"," ,E,0903, ","","","","","","","","","","","","","","","","","","","","","","","","","","","    767.0"," ,E","","","","","",""
"UKE00105917","1966","51.185","0.9481","56.0","WYE, UK","      7.5","","       7.5","E","       191","E","       113","E","         2","E","         0","E","        41","E","         3","E","        40","E","         0","E","  -11.7","E,0119, ","  35.6"," ,E,1003, ","   26.7","E,0614,+","-0.1","E,1129","-5.0","E,1226","-5.0","E,1226","","","","","-0.6","E,0415","-3.3","E,0314","-8.9","E,0120","-8.9","E,0120","-8.9","E,0120","","","","","   1015.2"," ,E","      9.84","E","     13.66","E","      6.01","E"
"UKE00105917","1967","51.185","0.9481","56.0","WYE, UK","     13.9","","      13.9","E","       174","E","        81","E","         1","E","         0","E","        49","E","         0","E","        43","E","         0","E","   -7.8","E,1209, ","  39.6"," ,E,1103, ","   27.8","E,0731, ","-2.2","E,1107","-2.2","E,1107","-4.4","E,1208","-7.8","E,1209","","","-2.8","E,0503","-2.8","E,0503","-5.6","E,0109","","","","","    3096.4","4","    3096.4","E","    801.4"," ,E","      9.81","E","     13.64","E","      5.99","E"
"UKE00105917","1968","51.185","0.9481","56.0","WYE, UK","      5.3","","       5.3","E","       175","E","        87","E","         3","E","         0","E","        66","E","         1","E","        22","E","         0","E","  -10.6","E,0113, ","  33.3"," ,E,0914, ","   30.6","E,0630, ","-1.1","E,1109","-4.4","E,1110","-4.4","E,1110","-8.3","E,1214","","","-0.1","E,0412","-3.9","E,0409","-10.6","E,0113","-10.6","E,0113","-10.6","E,0113","    3098.5","5","    3098.5","E","    780.7"," ,E","      9.40","E","     12.98","E","      5.83","E"
"UKE00105917","1969","51.185","0.9481","56.0","WYE, UK","     27.4","","      27.4","E","       163","E","        88","E","         3","E","         0","E","        74","E","         3","E","        53","E","         0","E","   -9.4","E,0214, ","  44.7"," ,E,0728, ","   29.4","E,0810, ","-1.1","E,1105","-2.8","E,1106","-4.4","E,1129","-7.2","E,1201","","","0.0","E,0430","-3.3","E,0420","-4.4","E,0309","-8.3","E,0215","-9.4","E,0214","    3106.8","8","    3106.8","E","    747.5"," ,E","      9.57","E","     13.59","E","      5.55","E"
"UKE00105917","1970","51.185","0.9481","56.0","WYE, UK","     19.1","","      19.1","E","       170","E","        82","E","         0","E","         0","E","        69","E","         2","E","        58","E","         0","E","  -11.1","E,0310, ","  24.6"," ,E,1118,+","   28.3","E,0706, ","-3.3","E,1116","-3.3","E,1116","","","","","","","-0.6","E,0428","-2.2","E,0409","-11.1","E,0310","-11.1","E,0310","-11.1","E,0310","    3025.8","8","    3025.8","E","    709.3"," ,E","      9.75","E","     13.75","E","      5.75","E"
