"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"UKE00105927","1960","51.1767","0.8481","115.0","ALICE HOLT LODGE, UK","      6.1","","       6.1","E","         0","E","        59","E","         2","E","        33","E","         0","E","   -7.2","E,0114, ","   26.1","E,0618,+","-0.6","E,1013","-2.2","E,1228","","","","","","","-0.6","E,0427","-2.8","E,0322","-5.0","E,0224","-7.2","E,0114","","","","","","","      9.60","E","     13.47","E","      5.74","E"
"UKE00105927","1961","51.1767","0.8481","115.0","ALICE HOLT LODGE, UK","","","","","","","","","         5","E","        50","E","         0","E","","","   31.7","E,0630, ","","","","","","","","","","","","","","","","","","","","","    2998.0","0","    2998.0","E","","","     14.31","E","",""
"UKE00105927","1962","51.1767","0.8481","115.0","ALICE HOLT LODGE, UK","      0.0","","       0.0","E","         0","E","        77","E","        10","E","        17","E","         0","E","  -10.0","E,1205, ","   24.4","E,0708, ","-1.7","E,1027","-4.4","E,1116","-4.4","E,1116","-7.8","E,1204","-10.0","E,1205","-1.1","E,0502","-2.2","E,0501","-6.7","E,0325","-6.7","E,0325","","","","","","","      8.34","E","     12.38","E","      4.30","E"
"UKE00105927","1963","51.1767","0.8481","115.0","ALICE HOLT LODGE, UK","      0.0","","       0.0","E","         0","E","        90","E","        27","E","        26","E","         0","E","  -13.3","E,0123, ","   26.7","E,0729, ","-1.7","E,1121","-2.8","E,1208","-4.4","E,1215","-8.3","E,1224","","","-2.8","E,0413","-2.8","E,0413","-4.4","E,0304","-7.2","E,0227","-8.9","E,0224","    3685.2","2","    3685.2","E","      8.19","E","     11.88","E","      4.51","E"
"UKE00105927","1964","51.1767","0.8481","115.0","ALICE HOLT LODGE, UK","","","","","         0","E","        61","E","         0","E","        56","E","         0","E","   -9.4","E,1229, ","   27.8","E,0716, ","-0.6","E,1011","-2.2","E,1129","-5.0","E,1130","-9.4","E,1229","-9.4","E,1229","-0.6","E,0408","-3.3","E,0311","-5.0","E,0207","-6.7","E,0114","","","    3131.8","8","    3131.8","E","      9.33","E","     13.34","E","      5.32","E"
"UKE00105927","1965","51.1767","0.8481","115.0","ALICE HOLT LODGE, UK","      0.3","","       0.3","E","         0","E","        72","E","         1","E","        26","E","         0","E","  -10.6","E,0307, ","   26.1","E,0513, ","0.0","E,1017","-2.2","E,1104","-5.0","E,1114","-6.7","E,1115","","","-0.1","E,0520","-3.3","E,0311","-4.4","E,0308","-10.6","E,0307","-10.6","E,0307","","","","","      8.86","E","     12.88","E","      4.84","E"
"UKE00105927","1966","51.1767","0.8481","115.0","ALICE HOLT LODGE, UK","      1.7","","       1.7","E","         0","E","        44","E","         5","E","        38","E","         0","E","  -11.1","E,0119, ","   27.2","E,0608, ","-0.6","E,1103","-3.3","E,1104","-5.6","E,1226","","","","","-0.6","E,0415","-2.2","E,0325","-8.3","E,0120","-8.3","E,0120","-11.1","E,0119","    3080.5","5","    3080.5","E","      9.61","E","     13.48","E","      5.75","E"
"UKE00105927","1967","51.1767","0.8481","115.0","ALICE HOLT LODGE, UK","","","","","         0","E","        52","E","","","","","","","   -8.9","E,1209, ","","","-1.7","E,1107","-2.2","E,1109","-8.9","E,1209","-8.9","E,1209","-8.9","E,1209","-3.3","E,0503","-3.3","E,0503","-4.4","E,0401","-6.7","E,0109","","","    3193.3","3","    3193.3","E","","","","","      5.73","E"
"UKE00105927","1968","51.1767","0.8481","115.0","ALICE HOLT LODGE, UK","      8.4","","       8.4","E","         0","E","        74","E","         2","E","        36","E","         0","E","   -7.8","E,0113, ","   30.6","E,0630, ","-0.6","E,1105","-3.3","E,1110","-7.2","E,1214","-7.2","E,1214","","","-0.1","E,0413","-2.2","E,0411","-4.4","E,0408","-7.8","E,0113","","","","","","","      9.25","E","     12.95","E","      5.55","E"
"UKE00105927","1969","51.1767","0.8481","115.0","ALICE HOLT LODGE, UK","     20.8","","      20.8","E","         0","E","        74","E","         2","E","        49","E","         0","E","   -7.2","E,0215,+","   28.3","E,0810,+","-0.1","E,1106","-4.4","E,1118","-4.4","E,1118","","","","","-1.7","E,0429","-3.9","E,0420","-4.4","E,0309","-7.2","E,0215","","","    3108.9","9","    3108.9","E","      9.41","E","     13.44","E","      5.39","E"
