"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"UKE00107650","1960","51.4789","0.4489","25.0","HEATHROW, UK","     16.3","","      16.3","E","       181","E","        88","E","         2","E","        2","","         0","E","        36","E","         0","E","        55","E","         0","E","   -5.0","E,0114, ","    50"," ,E,0115, ","  37.9"," ,E,1008, ","   28.9","E,0604, ","0.0","E,1013","","","","","","","","","0.0","E,0418","-3.9","E,0224","-4.4","E,0217","","","","","","","","","    735.5"," ,E","     10.56","E","     14.27","E","      6.84","E"
"UKE00107650","1961","51.4789","0.4489","25.0","HEATHROW, UK","","","","","       131","E","        77","E","         0","E","        0","","","","","","         0","E","        68","E","         1","E","","","     0"," ,E,1231,+","  23.8"," ,E,1110, ","   33.8","E,0630, ","","","","","","","","","","","","","","","","","","","","","    2703.2","2","    2703.2","E","    558.9"," ,E","","","     15.17","E","",""
"UKE00107650","1962","51.4789","0.4489","25.0","HEATHROW, UK","      2.3","","       2.3","E","       132","E","        65","E","         2","E","       10","","         0","E","        63","E","         4","E","        41","E","         0","E","  -12.8","E,0101, ","   160"," ,E,0101, ","  52.2"," ,E,0726, ","   25.5","E,0608, ","-0.1","E,1027","-4.0","E,1116","-6.1","E,1204","-7.4","E,1226","","","-1.9","E,0328","-4.6","E,0325","-4.6","E,0325","-12.2","E,0102","-12.2","E,0102","","","","","    558.4"," ,E","      9.39","E","     13.39","E","      5.39","E"
"UKE00107650","1963","51.4789","0.4489","25.0","HEATHROW, UK","      9.1","","       9.1","E","       151","E","        65","E","         1","E","       31","","         0","E","        78","E","        12","E","        37","E","         0","E","  -13.2","E,0124, ","   180"," ,E,0103, ","  26.9"," ,E,1117, ","   28.2","E,0729, ","-0.3","E,1121","-4.3","E,1209","-4.6","E,1220","","","","","-1.2","E,0401","-2.7","E,0324","-4.5","E,0226","-11.6","E,0126","-11.6","E,0126","    3291.6","6","    3291.6","E","    522.5"," ,E","      9.33","E","     13.02","E","      5.63","E"
"UKE00107650","1964","51.4789","0.4489","25.0","HEATHROW, UK","     52.3","","      52.3","E","       123","E","        59","E","         2","E","        1","","         0","E","        38","E","         0","E","        71","E","         0","E","   -7.1","E,1229, ","    70"," ,E,0316, ","  29.9"," ,E,0314, ","   30.1","E,0825, ","-0.1","E,1013","-4.9","E,1130","-4.9","E,1130","-7.1","E,1229","","","-0.4","E,0407","-3.0","E,0221","-5.1","E,0207","","","","","    2872.3","3","    2872.3","E","    500.6"," ,E","     10.43","E","     14.39","E","      6.48","E"
"UKE00107650","1965","51.4789","0.4489","25.0","HEATHROW, UK","      6.8","","       6.8","E","       167","E","        81","E","         2","E","        3","","         0","E","        56","E","         1","E","        41","E","         0","E","   -7.4","E,0303, ","   100"," ,E,0305, ","  38.0"," ,E,0925, ","   27.4","E,0513, ","-0.9","E,1023","-3.6","E,1114","-4.6","E,1115","-7.1","E,1228","","","-0.1","E,0310","-3.4","E,0309","-5.5","E,0307","-7.4","E,0303","","","    2788.2","2","    2788.2","E","    671.0"," ,E","      9.83","E","     13.72","E","      5.95","E"
"UKE00107650","1966","51.4789","0.4489","25.0","HEATHROW, UK","     15.9","","      15.9","E","       159","E","        85","E","         2","E","        0","","         0","E","        33","E","         3","E","        46","E","         0","E","   -6.8","E,0119, ","    10"," ,E,0414,+","  36.8"," ,E,0829, ","   28.3","E,0609, ","-0.3","E,1104","-4.5","E,1226","-4.5","E,1226","","","","","0.0","E,0415","-3.7","E,0320","-6.4","E,0120","-6.8","E,0119","","","    2761.5","5","    2761.5","E","    761.2"," ,E","     10.50","E","     14.26","E","      6.74","E"
"UKE00107650","1967","51.4789","0.4489","25.0","HEATHROW, UK","","","","","       154","E","        78","E","         3","E","        2","","         0","E","        39","E","         1","E","        59","E","         0","E","   -7.3","E,1209, ","    50"," ,E,1210, ","  53.7"," ,E,0722, ","   30.0","E,0716, ","-2.0","E,1109","-2.2","E,1117","-7.3","E,1209","-7.3","E,1209","","","-0.9","E,0503","-2.7","E,0401","-5.4","E,0109","","","","","    2885.3","3","    2885.3","E","    698.4"," ,E","     10.51","E","     14.34","E","      6.67","E"
"UKE00107650","1968","51.4789","0.4489","25.0","HEATHROW, UK","     18.0","","      18.0","E","       141","E","        83","E","         2","E","        5","","         0","E","        53","E","         1","E","        46","E","         1","E","   -7.8","E,0110, ","    90"," ,E,0113,+","  39.6"," ,E,0915, ","   32.6","E,0630, ","-0.2","E,1105","-4.5","E,1214","-4.5","E,1214","","","","","-2.6","E,0408","-2.6","E,0408","-5.4","E,0204","-7.8","E,0110","","","","","","","    755.3"," ,E","     10.26","E","     13.86","E","      6.66","E"
"UKE00107650","1969","51.4789","0.4489","25.0","HEATHROW, UK","     70.5","","      70.5","E","       139","E","        68","E","         3","E","        2","","         0","E","        52","E","         1","E","        70","E","         0","E","   -6.8","E,0208, ","    80"," ,E,0220, ","  57.0"," ,E,0802, ","   31.8","E,0715, ","-2.7","E,1118","-2.7","E,1118","","","","","","","-0.2","E,0420","-2.8","E,0328","-5.0","E,0309","-6.8","E,0208","","","    2821.1","1","    2821.1","E","    563.8"," ,E","     10.51","E","     14.45","E","      6.56","E"
