"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"UKE00156836","2013","51.1614","-1.7531","126.0","BOSCOMBE DOWN, UK","     45.4","","      45.4","E","       154","E","        92","E","         1","E","         0","E","        63","E","         2","E","        62","E","         0","E","   -4.8","E,0314, ","  66.7"," ,E,1223, ","   30.2","E,0712, ","-0.2","E,1113","-2.7","E,1120","","","","","-0.1","E,0421","-2.5","E,0406","-4.8","E,0314","","","","","","","    817.6"," ,E","      9.80","E","     13.84","E","      5.75","E"
"UKE00156836","2014","51.1614","-1.7531","126.0","BOSCOMBE DOWN, UK","     31.2","","      31.2","E","       186","E","       114","E","         1","E","         0","E","        32","E","         0","E","        68","E","         0","E","   -7.2","E,1230, ","  33.4"," ,E,0825, ","   28.8","E,0725, ","-0.7","E,1106","-2.3","E,1214","-7.2","E,1230","-7.2","E,1230","-2.0","E,0324","-2.8","E,0121","","","","","    2642.3","3","    2642.3","E","    944.9"," ,E","     11.12","E","     15.28","E","      6.95","E"
"UKE00156836","2015","51.1614","-1.7531","126.0","BOSCOMBE DOWN, UK","     11.3","","      11.3","E","       161","E","        75","E","         1","E","         0","E","        31","E","         0","E","        43","E","         0","E","   -5.5","E,0123, ","  28.6"," ,E,0703, ","   31.0","E,0630, ","-2.1","E,1122","-2.4","E,1123","","","","","-0.6","E,0427","-2.7","E,0305","-5.0","E,0124","","","    2743.7","7","    2743.7","E","    672.9"," ,E","     10.66","E","     14.80","E","      6.52","E"
"UKE00156836","2016","51.1614","-1.7531","126.0","BOSCOMBE DOWN, UK","     35.9","","      35.9","E","       164","E","        77","E","         4","E","         0","E","        46","E","         0","E","        60","E","         0","E","   -5.1","E,1201, ","  34.4"," ,E,0616, ","   31.6","E,0718, ","-0.9","E,1103","-2.5","E,1108","-4.7","E,1130","","","-0.2","E,0430","-3.5","E,0308","-4.8","E,0216","","","    2718.8","8","    2718.8","E","    739.1"," ,E","     10.49","E","     14.62","E","      6.37","E"
"UKE00156836","2017","51.1614","-1.7531","126.0","BOSCOMBE DOWN, UK","     34.2","","      34.2","E","       161","E","        83","E","         1","E","         0","E","        39","E","         0","E","        50","E","         0","E","   -4.6","E,0124, ","  33.6"," ,E,0711, ","   31.2","E,0620, ","-0.2","E,1109","-2.5","E,1125","-4.5","E,1212","","","-1.4","E,0427","-3.6","E,0125","-4.6","E,0124","","","    2623.3","3","    2623.3","E","    761.4"," ,E","     10.75","E","     14.86","E","      6.64","E"
"UKE00156836","2018","51.1614","-1.7531","126.0","BOSCOMBE DOWN, UK","","","","","       147","E","        88","E","         0","E","         0","E","        36","E","         1","E","        97","E","         0","E","   -6.6","E,0228, ","  24.8"," ,E,0826, ","   30.7","E,0725,+","-0.1","E,1027","-2.5","E,1127","","","","","-0.3","E,0501","-2.6","E,0319","-4.9","E,0302","","","","","","","    749.0"," ,E","     11.04","E","     15.49","E","      6.59","E"
"UKE00156836","2019","51.1614","-1.7531","126.0","BOSCOMBE DOWN, UK","     42.3","","      42.3","E","       168","E","        99","E","         2","E","         0","E","        37","E","         0","E","        71","E","         1","E","   -7.0","E,0203, ","  58.4"," ,E,0923, ","   32.6","E,0724, ","-0.8","E,1108","-3.0","E,1202","","","","","0.0","E,0414","-2.7","E,0403","-7.0","E,0203","-7.0","E,0203","    2667.0","0","    2667.0","E","    853.3"," ,E","     10.72","E","     14.99","E","      6.46","E"
"UKE00156836","2020","51.1614","-1.7531","126.0","BOSCOMBE DOWN, UK","     56.7","","      56.7","E","       170","E","        90","E","         6","E","         0","E","        28","E","         0","E","        74","E","         3","E","   -4.3","E,0121, ","  39.2"," ,E,1002, ","   33.3","E,0811, ","-0.3","E,1104","-2.6","E,1207","","","","","0.0","E,0515","-3.2","E,0122","","","","","    2621.6","6","    2621.6","E","    898.1"," ,E","     11.22","E","     15.50","E","      6.93","E"
"UKE00156836","2021","51.1614","-1.7531","126.0","BOSCOMBE DOWN, UK","     41.5","","      41.5","E","       147","E","        73","E","         3","E","         0","E","        53","E","         0","E","        59","E","         0","E","   -6.7","E,0101, ","  30.6"," ,E,1002, ","   30.8","E,0718, ","-0.4","E,1103","-3.3","E,1222","","","","","-0.2","E,0501","-2.3","E,0413","-4.9","E,0211","-6.7","E,0101","    2847.7","7","    2847.7","E","    741.1"," ,E","     10.57","E","     14.72","E","      6.42","E"
"UKE00156836","2022","51.1614","-1.7531","126.0","BOSCOMBE DOWN, UK","     92.1","","      92.1","E","       143","E","        73","E","         2","E","         0","E","        38","E","         2","E","        76","E","         4","E","   -7.3","E,1216, ","  28.4"," ,E,1102, ","   34.9","E,0718, ","-0.1","E,1201","-2.2","E,1207","-5.6","E,1209","-7.1","E,1215","-1.1","E,0410","-3.3","E,0403","-4.4","E,0106","","","    2568.6","6","    2568.6","E","    735.2"," ,E","     11.43","E","     15.94","E","      6.90","E"
