"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"UKE00156868","2013","54.0758","-2.8581","7.0","MORECAMBE NUMBER 2, UK","     28.9","","      28.9","E","       160","E","        98","E","         5","E","         0","E","        36","E","         0","E","        34","E","         0","E","   -3.6","E,0314, ","  29.2"," ,E,0804, ","   28.8","E,0718, ","-0.2","E,1104","","","","","","","-0.4","E,0410","-2.3","E,0331","","","","","","","    852.8"," ,E","      9.96","E","     12.80","E","      7.13","E"
"UKE00156868","2014","54.0758","-2.8581","7.0","MORECAMBE NUMBER 2, UK","","","","","       197","E","       119","E","         2","E","","","","","","","","","","","","","  31.4"," ,E,0704, ","","","","","","","","","","","","","","","","","    2535.9","9","    2535.9","E","    947.6"," ,E","","","","","",""
"UKE00156868","2016","54.0758","-2.8581","7.0","MORECAMBE NUMBER 2, UK","","","","","       186","E","       124","E","         4","E","         0","E","        21","E","         0","E","        26","E","         0","E","   -2.6","E,1126, ","  41.6"," ,E,0821, ","   30.6","E,0718, ","-1.8","E,1108","-2.6","E,1126","","","","","-0.6","E,0417","-2.4","E,0116","","","","","","","   1150.6"," ,E","     10.58","E","     13.47","E","      7.69","E"
"UKE00156868","2017","54.0758","-2.8581","7.0","MORECAMBE NUMBER 2, UK","     11.8","","      11.8","E","       219","E","       129","E","         3","E","         0","E","        23","E","         0","E","        16","E","         0","E","   -3.6","E,1212,+","  62.8"," ,E,1122, ","   27.8","E,0620, ","-0.2","E,1113","-3.6","E,1211","","","","","-0.2","E,0425","-2.8","E,0106","","","","","","","   1196.8"," ,E","     10.75","E","     13.53","E","      7.96","E"
"UKE00156868","2018","54.0758","-2.8581","7.0","MORECAMBE NUMBER 2, UK","     34.5","","      34.5","E","       180","E","        97","E","         2","E","         0","E","        21","E","         1","E","        47","E","         0","E","   -4.4","E,0301, ","  46.8"," ,E,1012, ","   29.1","E,0626, ","-0.9","E,1204","","","","","","","-0.3","E,0326","-2.2","E,0302","-4.4","E,0301","    2797.9","9","    2797.9","E","    877.4"," ,E","     10.75","E","     13.79","E","      7.72","E"
"UKE00156868","2019","54.0758","-2.8581","7.0","MORECAMBE NUMBER 2, UK","     32.1","","      32.1","E","       195","E","       114","E","         4","E","         0","E","        19","E","         0","E","        28","E","         0","E","   -4.8","E,0203, ","  31.6"," ,E,0727, ","   30.7","E,0724, ","-0.2","E,1118","-2.4","E,1202","","","","","-0.1","E,0204","-4.8","E,0203","-4.8","E,0203","    2591.0","0","    2591.0","E","   1249.4"," ,E","     10.70","E","     13.63","E","      7.76","E"
"UKE00156868","2020","54.0758","-2.8581","7.0","MORECAMBE NUMBER 2, UK","     34.6","","      34.6","E","       204","E","       135","E","         8","E","         0","E","        10","E","         0","E","        31","E","         0","E","   -2.9","E,1231, ","  51.6"," ,E,0810, ","   31.1","E,0730, ","-0.1","E,1208","-2.4","E,1225","","","","","-0.3","E,0414","","","","","    2674.5","5","    2674.5","E","   1310.6"," ,E","     10.89","E","     13.89","E","      7.89","E"
"UKE00156868","2021","54.0758","-2.8581","7.0","MORECAMBE NUMBER 2, UK","     27.1","","      27.1","E","       173","E","       101","E","        10","E","         0","E","        32","E","         0","E","        28","E","         0","E","   -3.9","E,0210, ","  40.4"," ,E,1230, ","   28.7","E,0907, ","-0.3","E,1128","-2.8","E,1129","","","","","-0.6","E,0413","-2.3","E,0213","","","    2911.4","4","    2911.4","E","   1199.2"," ,E","     10.55","E","     13.56","E","      7.55","E"
"UKE00156868","2022","54.0758","-2.8581","7.0","MORECAMBE NUMBER 2, UK","     35.9","","      35.9","E","       186","E","       114","E","         3","E","         0","E","        22","E","         0","E","        35","E","         1","E","   -7.5","E,1215, ","  27.4"," ,E,0730, ","   36.3","E,0718, ","-1.7","E,1207","-2.9","E,1208","-4.8","E,1209","-7.5","E,1215","-0.1","E,0321","","","","","    2443.7","7","    2443.7","E","   1035.2"," ,E","     11.30","E","     14.39","E","      8.22","E"
"UKE00156868","2023","54.0758","-2.8581","7.0","MORECAMBE NUMBER 2, UK","     50.8","","      50.8","E","       219","E","       137","E","         2","E","         0","E","        20","E","         0","E","        38","E","         0","E","   -4.3","E,0117, ","  41.8"," ,E,0618, ","   31.1","E,0611, ","-1.3","E,1125","-3.0","E,1129","","","","","-3.3","E,0315","-3.3","E,0315","","","    2498.6","6","    2498.6","E","   1318.2"," ,E","     11.43","E","     14.32","E","      8.54","E"
