"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"UKE00156880","2014","50.575","-1.2956","20.0","WIGHT ST CATHERINES POINT, UK","","","","","       171","E","       112","E","         1","E","         0","E","         0","E","         0","E","        25","E","         0","E","    1.2","E,1229, ","  25.6"," ,E,0523, ","   27.4","E,0723, ","","","","","","","","","","","","","    964.4"," ,E","     12.56","E","     14.84","E","     10.27","E"
"UKE00156880","2015","50.575","-1.2956","20.0","WIGHT ST CATHERINES POINT, UK","      6.4","","       6.4","E","       146","E","        88","E","         2","E","         0","E","         3","E","         0","E","         9","E","         0","E","   -0.7","E,0202, ","  31.8"," ,E,0724, ","   26.3","E,0630, ","","","","","0.0","E,0206","","","","","","","    721.1"," ,E","     11.78","E","     14.02","E","      9.54","E"
"UKE00156880","2016","50.575","-1.2956","20.0","WIGHT ST CATHERINES POINT, UK","     29.3","","      29.3","E","       139","E","        74","E","         2","E","         0","E","         0","E","         0","E","        20","E","         0","E","    0.6","E,0305, ","  26.4"," ,E,0801, ","   26.0","E,0823, ","","","","","","","","","    2268.2","2","    2268.2","E","    649.2"," ,E","     11.84","E","     14.07","E","      9.60","E"
"UKE00156880","2017","50.575","-1.2956","20.0","WIGHT ST CATHERINES POINT, UK","     18.0","","      18.0","E","       136","E","        70","E","         2","E","         0","E","         0","E","         0","E","        20","E","         0","E","    0.5","E,1212,+","  31.6"," ,E,0112, ","   25.8","E,0618, ","","","","","","","","","    2184.7","7","    2184.7","E","    696.4"," ,E","     11.95","E","     14.26","E","      9.64","E"
"UKE00156880","2018","50.575","-1.2956","20.0","WIGHT ST CATHERINES POINT, UK","     60.0","","      60.0","E","       131","E","        71","E","         1","E","         0","E","        13","E","         0","E","        47","E","         0","E","   -4.1","E,0228, ","  26.0"," ,E,1215, ","   28.4","E,0701, ","","","","","-0.8","E,0320","-3.6","E,0302","    2303.8","8","    2303.8","E","    631.1"," ,E","     12.08","E","     14.60","E","      9.56","E"
"UKE00156880","2019","50.575","-1.2956","20.0","WIGHT ST CATHERINES POINT, UK","","","","","       148","E","        91","E","         0","E","","","","","","","","","","","","","  22.4"," ,E,0923,+","","","","","","","","","","","    2150.3","3","    2150.3","E","    703.6"," ,E","","","","","",""
"UKE00156880","2020","50.575","-1.2956","20.0","WIGHT ST CATHERINES POINT, UK","","","","","       157","E","        76","E","         2","E","","","","","","","","","","","","","  34.2"," ,E,1002, ","","","","","","","","","","","","","","","    753.5"," ,E","","","","","",""
"UKE00156880","2021","50.575","-1.2956","20.0","WIGHT ST CATHERINES POINT, UK","     14.6","","      14.6","E","       134","E","        76","E","         2","E","         0","E","        14","E","         0","E","        20","E","         0","E","   -3.2","E,0110, ","  53.6"," ,E,0628, ","   25.4","E,0720, ","-0.4","E,1129","","","-0.9","E,0213","-3.2","E,0110","    2476.3","3","    2476.3","E","    723.2"," ,E","     11.33","E","     13.71","E","      8.96","E"
"UKE00156880","2022","50.575","-1.2956","20.0","WIGHT ST CATHERINES POINT, UK","     77.4","","      77.4","E","","","","","","","         0","E","         6","E","         0","E","        47","E","         0","E","   -2.2","E,1216,+","","","   28.4","E,0718, ","-1.2","E,1209","-2.2","E,1215","","","","","    2172.7","7","    2172.7","E","","","     12.54","E","     14.93","E","     10.14","E"
"UKE00156880","2023","50.575","-1.2956","20.0","WIGHT ST CATHERINES POINT, UK","     28.3","","      28.3","E","","","","","","","         0","E","         4","E","         0","E","        28","E","         0","E","   -2.0","E,1202, ","","","   25.6","E,0908, ","-0.3","E,1201","","","-0.8","E,0117","","","    2192.2","2","    2192.2","E","","","     12.17","E","     14.47","E","      9.88","E"
